player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,98.7,1226.5,9.6,0.4,179.2
George Kittle,SF,89.8,1206.5,7.2,0.1,163.5
Zach Ertz,PHI,87.1,927.3,7.0,0.3,134.0
O.J. Howard,TB,55.8,792.8,6.2,0.3,116.1
Evan Engram,NYG,69.4,822.4,5.5,0.2,114.7
Jared Cook,NO,62.3,780.4,5.8,0.2,112.6
Hunter Henry,LAC,55.5,703.0,6.3,0.2,107.9
Vance McDonald,PIT,60.1,670.9,5.1,0.3,97.0
David Njoku,CLE,52.3,616.3,4.8,0.1,90.0
Austin Hooper,ATL,61.3,598.8,4.6,0.1,87.4
Mark Andrews,BAL,48.9,625.3,4.0,0.2,86.4
Jordan Reed,WAS,62.5,628.2,4.0,0.3,86.3
Delanie Walker,TEN,54.2,599.4,4.3,0.2,85.0
Greg Olsen,CAR,47.3,564.9,4.5,0.1,83.2
Jimmy Graham,GB,51.3,551.5,4.2,0.1,79.8
Trey Burton,CHI,49.3,536.3,4.4,0.2,79.4
Kyle Rudolph,MIN,51.7,501.8,4.2,0.1,75.1
T.J. Hockenson,DET,49.5,526.0,3.8,0.3,74.8
Eric Ebron,IND,44.5,506.3,4.0,0.2,74.2
Tyler Eifert,CIN,43.2,484.9,3.9,0.1,71.8
Noah Fant,DEN,44.1,491.4,3.4,0.3,69.2
Jack Doyle,IND,49.2,466.3,3.7,0.2,68.2
Jason Witten,DAL,47.0,465.7,3.5,0.2,67.5
Chris Herndon IV,NYJ,37.3,445.7,3.9,0.2,67.2
Darren Waller,OAK,37.6,409.2,3.7,0.2,62.7
Dallas Goedert,PHI,34.8,363.7,3.8,0.1,59.0
Will Dissly,SEA,29.1,379.4,3.1,0.1,56.5
Mike Gesicki,MIA,35.4,357.0,2.3,0.1,49.0
Vernon Davis,WAS,28.3,337.3,2.4,0.1,47.7
Gerald Everett,LAR,29.1,314.8,2.6,0.1,46.7
Geoff Swaim,JAC,33.0,325.7,2.1,0.1,44.7
Cameron Brate,TB,23.9,264.9,2.4,0.1,40.8
Charles Clay,ARI,31.0,285.4,2.1,0.1,40.7
Benjamin Watson,NE,23.7,268.1,2.1,0.1,39.1
Irv Smith Jr.,MIN,24.9,267.4,2.0,0.2,38.3
Blake Jarwin,DAL,22.3,240.8,1.8,0.0,34.7
Ian Thomas,CAR,22.5,237.9,1.8,0.1,34.5
Nick Vannett,SEA,21.7,222.8,1.9,0.1,33.6
Dawson Knox,BUF,20.5,262.0,1.2,0.1,33.4
Jesse James,DET,22.0,225.2,1.8,0.0,33.1
Jace Sternberger,GB,20.0,204.0,2.0,0.0,32.4
Tyler Higbee,LAR,19.7,224.3,1.6,0.0,32.1
Hayden Hurst,BAL,18.8,224.0,1.5,0.1,31.3
C.J. Uzomah,CIN,21.3,222.8,1.4,0.1,30.8
Jeff Heuerman,DEN,21.0,209.4,1.6,0.1,30.5
Adam Shaheen,CHI,20.7,210.2,1.6,0.1,30.4
Tyler Kroft,BUF,18.6,207.6,1.5,0.0,29.4
Matt LaCosse,NE,20.4,210.9,1.2,0.0,28.4
Jordan Akins,HOU,17.6,201.6,1.3,0.1,27.7
Nick O'Leary,MIA,15.0,192.2,1.2,0.1,25.9
Jonnu Smith,TEN,16.7,178.9,1.2,0.0,24.9
Rhett Ellison,NYG,15.9,161.4,1.2,0.0,23.0
Josh Oliver,JAC,15.0,176.6,0.8,0.1,22.3
James O'Shaughnessy,JAC,15.6,158.7,1.0,0.0,22.1
Josh Hill,NO,13.7,139.5,1.4,0.1,21.9
Ed Dickson,SEA,14.0,143.8,1.2,0.0,21.6
Darren Fells,HOU,11.7,146.1,1.0,0.1,20.8
Virgil Green,LAC,13.9,142.0,1.0,0.1,19.9
Jordan Thomas,HOU,12.5,138.5,1.0,0.0,19.9
Maxx Williams,ARI,16.3,149.7,0.8,0.1,19.7
Xavier Grimble,PIT,11.5,134.2,1.0,0.1,19.2
Ryan Griffin,NYJ,14.7,138.7,0.9,0.0,19.0
Demetrius Harris,CLE,10.9,121.4,1.0,0.1,18.0
Eric Tomlinson,NYG,14.8,121.5,0.8,0.0,16.9
Robert Tonyan,GB,9.4,113.4,0.9,0.1,16.6
Daniel Brown,NYJ,10.9,112.7,0.7,0.0,15.2
Levine Toilolo,SF,9.9,103.4,0.8,0.0,15.1
Luke Stocker,ATL,8.5,87.4,1.0,0.1,14.6
Mo Alie-Cox,IND,8.8,95.5,0.7,0.1,13.9
Tommy Sweeney,BUF,8.8,97.7,0.5,0.1,12.7
Troy Fumagalli,DEN,9.1,94.0,0.5,0.1,12.2
Blake Bell,KC,7.7,77.0,0.7,0.1,11.8
Trevon Wesco,NYJ,7.6,82.5,0.6,0.1,11.6
Nick Boyle,BAL,9.4,92.1,0.4,0.1,11.6
Derek Carrier,OAK,7.0,74.9,0.7,0.1,11.5
Foster Moreau,OAK,7.4,75.6,0.5,0.1,10.2
Drew Sample,CIN,7.1,76.4,0.4,0.1,10.1
Jordan Leggett,TB,8.7,63.0,0.6,0.0,9.8
Anthony Firkser,TEN,5.8,65.8,0.5,0.0,9.7
Logan Paulsen,HOU,5.9,62.2,0.6,0.1,9.7
Jeremy Sprinkle,WAS,6.1,63.4,0.5,0.1,9.3
Dalton Schultz,DAL,7.0,72.8,0.3,0.1,8.8
Durham Smythe,MIA,6.0,65.3,0.4,0.1,8.7
