player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Dallas Cowboyshigh,,45.3,11.9,8.6,13.2,2.5,0.0,315.0,5688.0,121.3
Baltimore Ravenshigh,,45.6,12.1,9.0,13.2,1.0,0.0,305.0,5644.0,125.0
New York Jetshigh,,41.4,12.1,8.0,14.0,2.0,0.0,326.2,5619.0,114.0
Houston Texanshigh,,40.7,11.7,8.9,12.4,1.0,0.0,362.0,5970.2,92.7
Philadelphia Eagleshigh,,46.0,12.0,9.0,11.5,2.0,0.0,364.0,6125.0,89.6
Kansas City Chiefshigh,,44.1,10.0,8.9,13.6,2.0,0.0,324.0,5888.0,104.2
Pittsburgh Steelershigh,,44.0,11.5,8.9,14.2,2.0,0.0,335.0,5765.7,108.0
Cleveland Brownshigh,,45.0,11.4,8.0,12.7,2.8,0.0,314.6,5523.6,107.0
San Francisco 49ershigh,,42.0,12.8,7.9,11.8,2.0,0.0,288.0,5733.5,114.0
Buffalo Billshigh,,40.1,11.3,8.4,13.7,1.0,0.0,288.0,6041.3,79.0
Miami Dolphinshigh,,42.4,11.7,8.9,15.1,2.0,0.0,335.8,5789.2,100.0
Indianapolis Coltshigh,,40.7,11.6,8.4,14.4,2.0,0.0,374.1,5973.0,92.3
Cincinnati Bengalshigh,,42.0,11.5,9.0,13.2,1.0,0.0,341.1,5862.8,92.0
Los Angeles Chargershigh,,41.7,10.0,8.9,15.1,1.0,0.0,359.4,6102.8,77.9
Washington Commandershigh,,40.0,9.0,8.7,13.7,1.0,0.0,401.1,6066.5,78.0
Jacksonville Jaguarshigh,,37.0,11.7,8.4,10.7,2.0,0.0,355.5,5876.9,103.0
Green Bay Packershigh,,38.0,12.0,7.0,11.5,2.0,0.0,370.0,5964.1,94.9
New York Giantshigh,,36.0,11.8,8.7,16.0,2.0,0.0,388.0,6151.2,69.2
New Orleans Saintshigh,,37.0,11.9,8.8,9.7,2.0,0.0,336.0,5664.4,99.0
Seattle Seahawkshigh,,40.0,11.9,8.5,12.8,1.0,0.0,367.4,5923.2,93.0
Tampa Bay Buccaneershigh,,39.0,10.0,8.7,15.8,2.0,0.0,341.0,6091.4,77.2
Las Vegas Raidershigh,,40.3,9.0,8.0,12.3,2.0,0.0,376.0,5942.5,88.8
Minnesota Vikingshigh,,40.4,10.0,8.1,16.4,2.0,0.0,373.0,5917.3,91.7
Denver Broncoshigh,,38.0,9.0,8.7,13.5,1.0,0.0,378.0,6197.3,62.4
Atlanta Falconshigh,,36.0,11.0,8.4,13.5,1.0,0.0,343.3,5844.0,84.0
Detroit Lionshigh,,35.0,11.0,8.0,11.3,1.0,0.0,365.5,6055.0,89.0
Chicago Bearshigh,,34.0,12.2,8.0,12.8,1.0,0.0,344.0,5819.8,98.0
Los Angeles Ramshigh,,39.0,12.0,6.0,12.0,1.0,0.0,392.0,6271.6,63.7
Tennessee Titanshigh,,39.9,9.0,7.0,9.6,1.0,0.0,363.0,5989.8,79.0
New England Patriotshigh,,34.6,11.5,7.9,11.9,2.0,0.0,357.0,6157.0,62.9
Arizona Cardinalshigh,,35.0,11.0,7.0,10.5,2.0,0.0,396.0,6356.2,53.3
Carolina Panthershigh,,32.0,9.0,7.0,11.0,2.0,0.0,377.0,6024.1,76.0
