player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,82.0,972.0,7.1,1.0,240.2
Mark Andrews,BAL,81.1,1005.1,8.0,1.0,246.4
Kyle Pitts,ATL,60.8,790.1,3.0,1.0,180.9
Darren Waller,LV,68.5,856.3,4.0,1.0,189.1
Dalton Schultz,DAL,70.9,706.5,5.4,1.0,180.2
George Kittle,SF,66.2,814.0,4.9,1.0,183.6
Dallas Goedert,PHI,58.2,688.2,4.1,1.0,156.1
T.J. Hockenson,DET,64.0,605.2,4.0,1.0,156.8
Zach Ertz,ARI,58.8,594.7,3.8,1.0,146.9
Mike Gesicki,MIA,53.7,551.3,2.9,1.0,137.7
Hunter Henry,NE,47.0,555.0,4.5,0.2,137.0
Noah Fant,SEA,58.8,566.8,3.0,1.0,137.5
Pat Freiermuth,PIT,60.0,535.0,3.6,1.0,140.7
Tyler Higbee,LAR,52.2,502.3,4.0,1.0,136.4
Cole Kmet,CHI,46.5,486.7,3.0,1.0,128.6
Dawson Knox,BUF,42.0,520.0,5.1,0.3,137.4
David Njoku,CLE,47.4,553.5,3.6,1.0,133.4
Gerald Everett,LAC,46.0,482.0,4.0,2.0,127.2
Irv Smith Jr.,MIN,46.0,490.0,3.0,0.4,128.6
Evan Engram,JAC,48.0,474.9,2.8,1.0,119.0
Albert Okwuegbunam,DEN,39.3,416.2,2.7,2.0,107.0
Logan Thomas,WAS,35.9,383.8,3.6,1.0,109.5
Robert Tonyan,GB,43.0,483.0,4.0,0.3,120.9
Austin Hooper,TEN,37.3,404.8,2.4,1.0,105.8
Hayden Hurst,CIN,37.6,365.4,3.0,1.0,97.6
Brevin Jordan,HOU,32.1,352.9,2.3,0.3,90.5
Mo Alie-Cox,IND,28.0,369.0,2.0,0.3,85.5
Adam Trautman,NO,31.1,325.7,2.0,1.0,81.7
C.J. Uzomah,NYJ,23.7,228.0,1.7,0.1,69.8
Kyle Rudolph,TB,21.0,231.0,1.4,0.2,69.0
Cameron Brate,TB,16.2,143.5,1.9,0.2,60.1
Paul Quessenberry,HOU,37.0,334.0,2.0,1.0,82.4
Tyler Conklin,NYJ,24.0,232.0,1.5,0.2,70.0
Jonnu Smith,NE,16.9,154.9,1.1,0.2,55.7
Andrew Beck,DEN,27.9,295.3,2.9,0.0,74.9
Harrison Bryant,CLE,21.5,224.7,1.6,1.0,60.9
Dan Arnold,JAC,21.0,247.0,1.0,1.0,63.4
Tommy Tremble,CAR,16.4,163.3,1.3,0.3,51.6
Foster Moreau,LV,16.5,175.4,1.0,0.1,51.0
Geoff Swaim,TEN,19.0,191.0,1.9,0.1,57.2
O.J. Howard,BUF,17.0,178.0,1.0,0.2,46.6
Daniel Bellinger,NYG,19.0,177.0,1.0,0.2,57.9
James O'Shaughnessy,CHI,6.7,71.4,0.5,0.1,33.2
Jelani Woods,IND,13.0,134.6,1.0,1.0,41.8
Ricky Seals-Jones,NYG,9.0,87.0,0.0,0.1,31.7
Donald Parham Jr.,LAC,18.0,173.7,1.2,0.1,44.8
Pharaoh Brown,HOU,17.8,170.8,0.9,1.0,47.4
Durham Smythe,MIA,10.3,90.7,0.7,0.1,36.1
Anthony Firkser,ATL,9.2,87.8,0.6,1.0,34.5
Trey McBride,ARI,12.0,134.9,1.0,1.0,39.2
Cade Otton,TB,11.0,135.0,1.0,1.0,39.2
Taysom Hill,NO,10.0,95.0,2.0,1.0,38.8
