player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Reggie Gilliam,BUF,8.3,64.8,0.6,0.0,18.9
Stone Smartt,LAC,9.0,59.3,0.6,0.0,18.4
Will Mallory,IND,6.6,79.6,0.5,0.0,17.7
Jody Fortson,KC,6.1,96.4,0.4,0.5,17.2
Armani Rogers,WAS,7.3,74.2,0.4,0.1,16.9
Cole Turner,WAS,4.8,98.6,0.4,0.1,16.8
Johnny Mundt,MIN,6.9,74.5,0.4,0.0,16.7
Luke Farrell,JAC,6.5,75.8,0.4,0.0,16.6
Quintin Morris,BUF,5.7,78.4,0.4,0.1,16.1
Curtis Hodges,WAS,6.3,59.6,0.6,0.0,15.8
Chris Manhertz,DEN,5.6,69.0,0.4,0.0,15.1
Kevin Rader,TEN,5.5,66.0,0.4,0.1,14.7
Ross Dwelley,SF,3.6,73.3,0.6,0.0,14.4
Mitchell Wilcox,CIN,6.3,63.7,0.2,0.0,14.1
Anthony Firkser,NE,5.8,54.3,0.4,0.0,13.3
Eric Tomlinson,HOU,5.5,49.9,0.4,0.0,12.7
Shane Zylstra,DET,3.9,66.1,0.3,0.1,12.3
Grant Calcaterra,PHI,3.4,65.9,0.3,0.1,11.7
Nick Vannett,HOU,4.7,44.3,0.4,0.0,11.6
Giovanni Ricci,CAR,2.4,63.8,0.3,0.1,10.8
Jesper Horsted,LV,3.1,57.5,0.3,0.1,10.6
Charlie Woerner,SF,3.4,50.7,0.3,0.1,10.2
Dominique Dafney,TB,3.9,39.8,0.3,0.0,9.7
Tanner Conner,MIA,3.9,37.7,0.3,0.0,9.4
David Wells,TB,3.2,31.7,0.4,0.0,9.1
Devin Asiasi,CIN,2.4,52.9,0.2,0.1,9.0
Mason Schreck,HOU,3.6,35.2,0.2,0.0,8.6
Tommy Sweeney,NYG,3.7,34.0,0.3,0.0,8.6
Dalton Keene,HOU,3.6,35.1,0.2,0.0,8.6
Tyler Davis,GB,2.5,43.2,0.3,0.1,8.5
Chris Myarick,NYG,3.7,33.0,0.2,0.0,8.2
Noah Togiai,ARI,3.0,32.8,0.3,0.0,7.9
Feleipe Franks,ATL,3.1,29.0,0.2,0.0,7.3
Kaden Smith,WAS,3.2,29.2,0.2,0.0,7.2
Tyler Mabry,SEA,2.8,29.7,0.2,0.0,7.1
Parker Hesse,ATL,2.0,44.6,0.1,0.0,7.1
Pharaoh Brown,IND,1.9,30.4,0.1,0.1,5.4
Matt Sokol,NE,1.7,17.2,0.3,0.0,5.3
Sean McKeon,DAL,1.0,17.8,0.3,0.0,4.5
Hunter Kampmoyer,LAC,0.5,3.9,0.1,0.0,1.3
Ben Mason,BAL,0.3,2.0,0.0,0.0,0.4
Jacob Hollister,LV,0.0,23.5,0.5,0.0,0.0
MyCole Pruitt,ATL,0.0,30.6,0.4,0.0,0.0
Kendall Blanton,KC,0.0,35.0,0.3,0.0,0.0
Brayden Willis,SF,0.0,35.0,0.3,0.0,0.0
Tyree Jackson,PHI,0.0,91.0,0.3,0.1,0.0
