player,team,fgm,fga,xpm,fp_projection
Younghoe Koo,ATL,39.0,44.0,55.0,172.0
Justin Tucker,BAL,34.0,38.0,50.0,146.0
Harrison Butker,KC,34.0,38.0,48.6,148.0
Brandon Aubrey,DAL,34.0,38.0,43.0,146.0
Jake Elliott,PHI,31.0,34.0,52.0,145.0
Jason Myers,SEA,35.0,42.0,42.0,147.0
Ka'imi Fairbairn,HOU,34.0,39.0,43.0,145.0
Cameron Dicker,LAC,31.0,33.0,45.0,138.3
Blake Grupe,NO,31.0,37.0,49.0,142.0
Greg Zuerlein,NYJ,33.0,37.0,43.6,141.0
Evan McPherson,CIN,30.0,34.0,49.0,139.0
Tyler Bass,BUF,30.0,38.0,52.0,142.0
Cairo Santos,CHI,34.0,37.0,39.0,141.0
Jake Moody,SF,30.0,35.0,49.0,139.0
Matt Gay,IND,32.0,38.0,41.0,137.0
Jason Sanders,MIA,29.0,34.0,51.0,138.0
Chase McLaughlin,TB,29.0,34.0,41.0,133.6
Matt Prater,ARI,29.0,35.0,39.0,129.8
Dustin Hopkins,CLE,32.0,36.0,38.0,135.5
Cam Little,JAC,32.0,39.0,40.0,136.0
Jake Bates,DET,27.7,32.5,45.0,137.9
Joshua Karty,LAR,31.0,38.0,39.3,132.5
Nick Folk,TEN,29.2,32.8,33.3,134.5
Chris Boswell,PIT,28.6,32.8,33.0,129.6
Wil Lutz,DEN,28.0,34.0,36.0,120.0
Daniel Carlson,LV,28.8,32.9,34.0,128.6
Will Reichard,MIN,27.7,32.8,32.0,125.5
Eddy Pineiro,CAR,28.8,32.7,34.5,133.9
Graham Gano,NYG,27.9,32.9,32.0,122.1
Chad Ryland,NE,26.5,32.9,28.0,115.0
Anders Carlson,GB,27.0,32.6,38.4,129.4
Greg Joseph,GB,19.0,28.0,22.0,79.0
Cade York,WAS,23.0,29.0,38.0,107.0
