player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Jalen Hurts,PHI,561.3,363.0,3991.2,31.0,10.0,161.0,676.4,13.0,3.0,427.0
Josh Allen,BUF,618.8,400.3,4432.9,32.0,12.5,129.0,686.0,10.0,4.0,427.0
Lamar Jackson,BAL,502.6,331.6,3875.6,29.0,10.0,161.9,944.3,6.3,3.0,390.0
Patrick Mahomes II,KC,609.0,415.0,4599.6,33.2,9.2,81.0,421.0,3.2,2.0,394.3
Anthony Richardson,IND,550.1,351.2,3746.1,24.0,10.0,153.0,780.0,9.0,3.0,349.9
Dak Prescott,DAL,602.8,397.3,4363.5,34.0,11.0,56.0,230.0,2.1,2.0,367.3
C.J. Stroud,HOU,596.1,389.7,4776.8,33.0,9.0,46.0,195.0,3.0,3.0,351.7
Joe Burrow,CIN,594.0,405.0,4342.4,33.0,10.0,65.0,254.1,2.6,2.0,355.8
Kyler Murray,ARI,557.0,378.0,3794.7,27.0,11.0,123.8,672.6,6.5,0.0,344.1
Jordan Love,GB,595.6,387.9,4378.7,36.0,10.0,51.0,238.0,3.0,2.0,372.0
Brock Purdy,SF,539.7,360.9,4206.0,33.0,9.0,46.8,173.5,2.3,2.0,353.0
Jayden Daniels,WAS,588.0,365.3,3899.2,27.0,13.0,129.0,674.4,6.0,3.0,341.0
Trevor Lawrence,JAC,596.4,392.7,4190.7,28.0,11.9,70.0,318.0,5.0,4.0,340.6
Caleb Williams,CHI,571.8,378.6,4173.7,28.0,12.7,116.0,565.0,5.0,3.0,341.0
Justin Herbert,LAC,578.4,378.6,4125.1,28.0,9.0,79.8,338.8,3.0,2.0,330.0
Deshaun Watson,CLE,604.0,355.0,4022.0,28.0,10.6,95.5,444.8,4.2,3.0,322.5
Jared Goff,DET,601.3,400.1,4431.0,31.0,9.0,32.9,83.3,1.8,3.0,338.0
Tua Tagovailoa,MIA,594.8,401.8,4593.6,29.0,12.0,39.0,114.0,1.0,3.0,332.2
Kirk Cousins,ATL,570.3,383.7,4218.3,30.0,7.0,38.0,118.0,2.0,3.0,323.0
Baker Mayfield,TB,570.0,364.5,3999.3,29.0,11.0,54.0,207.4,2.0,3.0,319.6
Matthew Stafford,LAR,586.4,374.7,4331.4,29.0,10.0,25.7,77.9,1.0,1.0,306.1
Aaron Rodgers,NYJ,554.0,371.0,3950.7,27.2,6.9,40.5,187.9,2.1,2.0,306.2
Geno Smith,SEA,579.0,373.9,4076.1,28.0,10.0,57.0,235.0,2.2,3.0,299.1
Will Levis,TEN,549.2,348.3,3845.0,24.0,11.0,68.9,281.9,3.1,3.0,307.5
Daniel Jones,NYG,537.1,360.1,3619.7,20.0,7.0,106.0,556.0,4.5,3.0,279.6
Derek Carr,NO,571.4,381.5,4092.7,31.0,10.0,32.0,90.5,1.0,3.0,311.0
Sam Darnold,MIN,592.7,381.0,4130.0,25.0,12.0,52.0,248.0,3.1,2.0,289.5
Bo Nix,DEN,527.8,325.2,3381.9,24.0,11.0,90.3,401.9,5.0,3.0,264.1
Bryce Young,CAR,556.0,350.0,3684.5,20.1,11.0,45.9,267.4,2.0,3.0,286.3
Russell Wilson,PIT,490.8,320.6,3370.5,22.0,8.0,68.5,348.5,4.0,3.0,257.5
Gardner Minshew II,LV,529.9,333.2,3549.0,22.4,6.7,51.8,212.8,2.3,2.0,236.3
Drake Maye,NE,446.1,282.4,3461.0,20.0,6.4,60.0,288.2,3.0,1.0,242.3
Justin Fields,PIT,125.0,77.1,865.0,5.0,2.0,50.0,275.0,2.0,1.0,102.8
Taysom Hill,NO,5.0,4.0,38.0,0.0,0.0,80.0,403.0,6.0,1.0,109.0
Aidan O'Connell,LV,278.7,177.7,1926.9,10.0,1.0,26.0,74.4,1.3,0.0,135.1
Jacoby Brissett,NE,264.0,172.2,1891.1,7.4,2.0,27.2,111.6,1.1,1.0,109.3
Sam Howell,SEA,101.8,65.7,711.9,4.3,1.0,11.0,56.9,1.0,0.0,53.0
Drew Lock,NYG,111.3,69.5,780.8,6.0,1.0,10.0,40.4,0.5,0.0,60.4
Nick Mullens,MIN,151.4,98.8,1088.7,5.0,1.0,10.7,36.0,0.4,0.0,58.8
Jarrett Stidham,DEN,105.3,65.7,708.8,3.7,1.0,11.4,44.7,1.0,0.0,42.0
Michael Penix Jr.,ATL,68.2,41.6,470.9,3.6,0.0,4.8,38.0,1.0,0.0,32.2
Jake Browning,CIN,71.6,44.9,497.5,3.6,0.0,7.9,35.1,0.6,0.0,37.3
Jameis Winston,CLE,69.9,42.1,480.8,3.0,1.0,7.5,29.0,0.2,0.0,28.3
Josh Johnson,BAL,66.4,41.4,440.6,2.7,0.0,12.7,48.0,0.5,0.0,32.0
Case Keenum,HOU,72.2,44.7,473.3,3.6,1.0,5.9,19.0,0.2,0.0,31.6
Hendon Hooker,DET,68.1,44.1,459.2,2.8,1.0,6.1,26.0,0.3,0.0,30.2
Mitchell Trubisky,BUF,69.7,45.8,469.6,3.1,1.0,11.1,41.1,0.9,0.0,36.5
Sean Clifford,GB,67.3,42.5,467.3,3.5,1.0,6.9,26.1,0.2,0.0,32.5
Jimmy Garoppolo,LAR,68.6,45.4,541.6,3.5,0.0,4.0,17.0,0.2,0.0,33.3
Mason Rudolph,TEN,73.9,45.3,483.0,2.7,1.0,6.6,22.9,0.2,0.0,28.9
Joshua Dobbs,SF,62.2,40.8,438.8,3.4,0.0,7.0,36.4,0.5,0.0,33.8
Carson Wentz,KC,72.1,45.6,481.8,4.3,0.0,6.4,27.1,0.3,0.0,36.5
Tyson Bagent,CHI,69.7,45.1,482.8,2.9,1.0,7.7,33.1,0.5,0.0,32.8
Cooper Rush,DAL,72.4,46.2,511.8,3.9,1.0,6.3,16.1,0.2,0.0,34.5
Tyrod Taylor,NYJ,67.5,41.5,445.6,3.4,0.0,7.4,39.1,0.2,0.0,32.1
Joe Flacco,IND,64.4,39.9,455.0,3.0,0.0,5.0,20.0,0.2,0.0,35.9
Mac Jones,JAC,71.0,47.1,509.3,2.9,0.0,6.7,21.6,0.1,0.0,30.9
Marcus Mariota,WAS,71.7,44.0,487.9,2.0,1.0,12.5,69.8,0.5,0.0,32.3
Easton Stick,LAC,63.4,39.0,428.7,3.1,0.0,8.2,38.2,0.2,0.0,30.6
Kenny Pickett,PHI,66.7,43.1,463.1,2.9,1.0,9.2,26.0,0.5,0.0,32.1
Desmond Ridder,ARI,70.7,45.8,495.7,2.3,1.0,7.4,28.6,0.5,0.8,30.8
Kyle Trask,TB,70.3,43.7,473.8,3.2,0.0,6.9,27.6,0.2,0.0,31.6
Andy Dalton,CAR,70.1,45.1,481.8,2.6,0.0,5.4,19.8,0.2,0.0,28.7
Mike White,MIA,72.1,45.2,483.8,2.5,1.0,4.4,11.6,0.2,0.0,26.3
Spencer Rattler,NO,66.5,43.6,473.8,2.8,0.0,5.5,24.4,0.2,0.0,29.8
Tyler Huntley,CLE,0.0,0.0,202.0,1.0,1.0,0.0,24.0,0.0,0.0,12.5
Zach Wilson,DEN,0.0,0.0,200.0,1.0,1.0,0.0,17.0,0.0,0.0,11.7
Jaren Hall,MIN,0.0,0.0,174.0,1.0,1.0,0.0,26.0,0.0,0.0,11.6
Bailey Zappe,NE,0.0,0.0,200.0,1.0,1.0,0.0,15.0,0.0,0.0,11.5
Malik Willis,TEN,0.0,0.0,168.0,1.0,1.0,0.0,26.0,0.0,0.0,11.3
Tommy DeVito,NYG,0.0,0.0,190.0,1.0,1.0,0.0,17.0,0.0,0.0,11.3
Davis Mills,HOU,22.0,13.0,212.0,1.0,0.0,4.0,14.0,0.0,0.0,11.8
C.J. Beathard,JAC,0.0,0.0,186.0,1.0,1.0,0.0,15.0,0.0,0.0,10.9
Trey Lance,DAL,24.0,15.0,195.0,1.0,1.0,5.0,19.0,0.0,0.0,11.7
Kyle Allen,PIT,0.0,0.0,186.0,1.0,1.0,0.0,13.0,0.0,0.0,10.7
Jordan Travis,NYJ,0.0,0.0,188.0,1.0,1.0,0.0,10.0,0.0,0.0,10.5
Skylar Thompson,MIA,0.0,0.0,161.0,1.0,1.0,0.0,20.0,0.0,0.0,10.4
Taylor Heinicke,ATL,0.0,0.0,220.0,1.0,1.0,0.0,14.0,0.0,1.0,10.2
Clayton Tune,ARI,0.0,0.0,180.0,1.0,1.0,0.0,7.0,0.0,0.0,9.9
Michael Pratt,GB,16.0,11.0,190.0,1.0,0.0,2.0,12.0,0.0,0.0,10.8
Joe Milton III,NE,0.0,0.0,190.0,1.0,1.0,0.0,17.0,0.0,1.0,9.3
Stetson Bennett,LAR,0.0,0.0,92.0,1.0,0.0,0.0,13.0,0.0,0.0,9.0
Carter Bradley,LV,16.0,10.0,106.0,1.0,0.0,2.0,7.0,0.0,0.0,8.0
Sam Hartman,WAS,0.0,0.0,100.0,1.0,0.0,0.0,7.0,0.0,0.0,8.7
Tanner McKee,PHI,0.0,0.0,80.0,1.0,0.0,0.0,8.0,0.0,0.0,8.0
Sam Ehlinger,IND,0.0,0.0,76.0,1.0,0.0,0.0,8.0,0.0,0.0,7.8
Dorian Thompson-Robinson,CLE,0.0,0.0,87.0,0.0,0.0,0.0,13.0,0.0,0.0,4.8
Devin Leary,BAL,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
