player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,CAR,248.1,1056.2,9.9,78.2,658.8,2.6,4.0,338.2
Dalvin Cook,MIN,301.0,1379.9,11.0,46.0,385.0,1.0,4.0,307.7
Alvin Kamara,NO,177.0,813.0,7.5,76.9,646.4,3.0,3.0,300.0
Derrick Henry,TEN,323.0,1551.0,13.2,21.0,145.0,0.7,4.0,282.9
Austin Ekeler,LAC,146.0,654.0,3.0,73.9,600.1,2.8,2.0,264.8
Aaron Jones,GB,200.0,977.0,8.6,44.0,342.0,1.7,3.0,259.6
Saquon Barkley,NYG,241.0,1156.0,7.0,48.9,420.5,1.0,3.0,269.6
Ezekiel Elliott,DAL,271.1,1004.6,7.2,45.0,311.0,1.7,4.0,240.9
Joe Mixon,CIN,261.5,1047.5,7.1,43.4,339.0,1.8,3.0,240.1
Jonathan Taylor,IND,253.0,1026.0,8.0,32.8,258.5,0.9,3.0,223.7
Najee Harris,PIT,237.0,974.0,7.0,42.0,316.7,1.4,4.0,246.2
Nick Chubb,CLE,222.0,1110.0,10.0,23.0,197.0,0.0,3.0,228.3
D'Andre Swift,DET,162.0,707.0,5.5,49.0,359.0,2.0,3.0,224.8
Antonio Gibson,WAS,218.0,871.4,6.5,39.8,268.8,0.0,3.0,204.1
Chris Carson,SEA,210.0,978.0,6.0,39.7,290.0,1.9,3.0,229.3
Clyde Edwards-Helaire,KC,204.3,896.2,6.0,40.8,323.1,1.0,3.0,225.0
David Montgomery,CHI,228.0,935.0,6.0,34.0,282.0,1.0,3.0,209.4
Miles Sanders,PHI,196.0,922.0,5.0,34.0,244.0,1.0,2.0,193.0
James Robinson,JAC,202.0,886.0,6.0,26.0,182.0,1.0,2.0,199.7
Mike Davis,ATL,203.0,703.0,5.0,37.1,234.7,1.0,3.0,203.4
Josh Jacobs,LV,250.0,845.3,6.9,27.0,202.0,0.0,3.0,187.5
