player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Chicago Bears,,42.3,16.4,11.1,16.7,3.3,0.8,311.8,5192.4,118.8
Los Angeles Rams,,42.2,16.0,10.2,13.8,2.7,0.8,344.0,5690.5,112.5
Baltimore Ravens,,38.8,15.8,9.4,12.0,3.4,0.3,309.9,5234.1,110.0
Cleveland Browns,,40.7,15.7,10.1,14.4,2.5,0.3,355.4,5759.5,108.1
New Orleans Saints,,43.7,14.5,10.0,15.2,2.3,0.8,336.6,5708.5,108.0
Philadelphia Eagles,,40.9,13.8,10.2,13.7,2.8,1.3,340.5,5542.0,108.0
Los Angeles Chargers,,39.6,14.6,9.5,10.5,2.8,0.8,331.7,5464.3,106.1
Minnesota Vikings,,41.8,14.9,8.1,10.7,2.7,0.8,331.6,5287.2,105.2
Pittsburgh Steelers,,44.4,13.1,9.7,12.6,2.4,0.3,342.4,5580.7,105.0
New England Patriots,,37.7,15.6,9.0,11.6,2.8,0.8,321.6,5533.3,105.0
Jacksonville Jaguars,,40.4,13.6,9.5,10.1,2.8,0.8,334.2,5235.9,104.6
Carolina Panthers,,40.6,13.3,10.1,15.4,2.5,0.8,373.9,5779.4,103.9
Indianapolis Colts,,38.7,13.9,10.5,15.4,2.5,0.8,358.7,5694.8,103.7
Buffalo Bills,,35.4,15.6,10.2,15.3,2.5,0.3,348.0,5235.7,102.5
Denver Broncos,,40.4,13.1,9.8,13.3,2.4,0.8,354.5,5659.9,102.3
Houston Texans,,36.2,13.3,10.6,15.4,2.9,0.3,341.5,5704.1,102.0
Kansas City Chiefs,,39.0,13.5,9.7,12.6,2.2,0.8,379.3,5991.2,100.2
Arizona Cardinals,,40.5,12.2,9.5,15.3,2.4,0.8,393.7,5795.1,100.1
Seattle Seahawks,,37.4,13.3,10.0,11.9,2.4,0.3,349.1,5620.3,98.8
Washington Redskins,,41.4,13.2,9.1,13.8,2.0,0.3,374.1,5727.2,98.6
Dallas Cowboys,,36.8,12.8,10.9,13.2,2.2,0.3,345.1,5568.1,97.9
Tennessee Titans,,38.3,13.5,8.5,13.0,2.4,0.3,342.0,5577.2,97.4
Atlanta Falcons,,36.6,12.7,9.2,14.3,2.3,0.8,394.3,6011.9,95.3
New York Jets,,34.5,13.2,9.0,12.4,2.3,0.8,382.6,5793.2,94.1
Green Bay Packers,,37.1,12.7,8.7,9.1,2.2,0.2,388.1,5827.5,93.7
New York Giants,,34.6,13.4,8.9,10.4,2.1,0.8,391.5,5958.7,93.4
San Francisco 49ers,,36.4,10.8,9.8,14.2,2.5,0.3,406.2,5846.4,93.0
Detroit Lions,,36.2,11.6,9.0,11.6,2.3,0.7,375.1,5757.4,92.7
Cincinnati Bengals,,33.9,14.0,7.9,10.2,2.4,0.3,384.9,5936.8,92.7
Tampa Bay Buccaneers,,33.7,11.4,9.3,11.5,2.1,0.8,418.0,6197.2,89.2
Miami Dolphins,,29.6,12.8,7.6,9.3,2.5,0.8,407.6,6166.0,87.0
Oakland Raiders,,28.4,11.7,8.0,9.5,1.7,0.2,421.9,6160.5,78.3
