player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,118.0,1432.0,11.0,0.0,308.6
Mark Andrews,BAL,111.0,1426.9,10.0,0.0,296.8
Kyle Pitts,ATL,84.0,1178.0,6.0,0.0,208.0
Darren Waller,LV,90.0,1054.0,6.0,0.0,209.6
Dalton Schultz,DAL,85.9,1010.9,7.0,0.0,220.3
George Kittle,SF,83.0,1050.0,6.0,0.0,206.2
Dallas Goedert,PHI,68.0,899.0,6.0,0.0,189.5
T.J. Hockenson,DET,74.0,786.0,6.0,0.0,170.0
Zach Ertz,ARI,74.0,743.0,6.0,0.0,171.7
Mike Gesicki,MIA,74.0,830.0,5.0,0.0,168.5
Hunter Henry,NE,65.0,792.0,8.0,0.0,151.3
Noah Fant,SEA,63.0,743.0,4.6,0.0,158.7
Pat Freiermuth,PIT,66.0,668.0,8.0,0.0,164.2
Tyler Higbee,LAR,67.8,694.3,5.0,0.0,158.7
Cole Kmet,CHI,76.0,783.0,5.0,0.0,152.5
Dawson Knox,BUF,57.0,666.0,8.0,0.0,146.6
David Njoku,CLE,61.0,651.0,6.0,0.0,152.4
Gerald Everett,LAC,69.5,738.0,5.0,0.0,160.0
Irv Smith Jr.,MIN,53.7,653.3,5.1,0.0,144.0
Evan Engram,JAC,60.0,630.0,4.0,0.0,131.7
Albert Okwuegbunam,DEN,56.6,574.0,6.0,0.0,136.8
Logan Thomas,WAS,53.0,567.0,6.0,0.0,137.8
Robert Tonyan,GB,48.9,590.4,5.0,0.0,130.9
Austin Hooper,TEN,63.0,566.0,6.0,0.0,142.8
Hayden Hurst,CIN,51.6,531.7,5.0,0.0,120.0
Brevin Jordan,HOU,49.0,543.0,4.0,0.0,105.0
Mo Alie-Cox,IND,40.0,494.0,4.2,0.0,103.7
Adam Trautman,NO,41.6,505.9,4.0,0.0,107.2
C.J. Uzomah,NYJ,46.0,472.3,3.5,0.0,101.3
Kyle Rudolph,TB,45.0,465.0,5.0,0.0,104.4
Cameron Brate,TB,51.3,477.4,4.0,0.0,106.3
Paul Quessenberry,HOU,37.0,334.0,2.0,1.0,82.4
Tyler Conklin,NYJ,44.0,448.0,2.7,0.0,89.3
Jonnu Smith,NE,37.0,402.0,3.1,0.0,88.5
Andrew Beck,DEN,27.9,295.3,2.9,0.0,74.9
Harrison Bryant,CLE,37.0,393.0,5.0,0.0,94.7
Dan Arnold,JAC,34.7,411.1,2.5,0.0,83.5
Tommy Tremble,CAR,38.0,404.0,4.0,0.0,81.6
Foster Moreau,LV,34.7,399.0,5.0,0.0,94.3
Geoff Swaim,TEN,37.0,297.6,4.0,0.0,80.3
O.J. Howard,BUF,39.0,423.0,3.0,0.0,83.1
Daniel Bellinger,NYG,28.0,325.0,2.0,0.2,68.1
James O'Shaughnessy,CHI,37.5,446.4,2.0,0.0,80.0
Jelani Woods,IND,37.0,379.0,4.0,0.1,83.6
Ricky Seals-Jones,NYG,39.0,383.0,4.0,0.0,81.6
Donald Parham Jr.,LAC,23.0,255.0,3.0,0.0,61.6
Pharaoh Brown,HOU,34.0,290.0,2.0,0.0,58.5
Durham Smythe,MIA,36.0,366.0,2.0,0.0,67.1
Anthony Firkser,ATL,37.0,356.0,2.0,0.0,69.9
Trey McBride,ARI,37.0,355.0,3.0,0.1,73.4
Cade Otton,TB,35.0,343.0,3.0,0.1,72.0
Taysom Hill,NO,24.0,284.0,3.0,1.0,63.7
Greg Dulcich,DEN,24.0,246.0,2.0,0.0,54.2
Kylen Granson,IND,33.0,378.0,2.0,0.0,53.4
Jordan Akins,NYG,29.2,305.5,2.0,0.0,60.3
Josiah Deguara,GB,27.0,292.0,2.0,0.0,57.7
John Bates,WAS,31.0,395.0,2.0,0.0,63.1
Ian Thomas,CAR,25.0,242.0,1.1,0.0,48.8
Will Dissly,SEA,26.0,282.0,1.2,0.0,51.2
Marcedes Lewis,GB,28.0,262.0,2.0,0.0,54.7
Isaiah Likely,BAL,15.3,161.1,1.5,0.1,40.0
Charlie Kolar,BAL,21.0,250.0,2.0,0.0,21.1
Nick Boyle,BAL,21.0,189.0,2.0,0.0,45.1
Zach Davidson,MIN,14.0,148.0,1.0,0.0,0.0
Maxx Williams,ARI,36.0,401.0,2.0,0.0,66.4
Matt Bushman,KC,14.0,136.0,1.0,0.0,33.6
Ryan Griffin,CHI,20.0,195.0,2.0,0.0,44.8
Jake Ferguson,DAL,19.0,209.0,1.0,0.0,32.6
Jacob Harris,LAR,12.0,132.0,1.0,0.0,31.2
Nick Eubanks,CIN,12.0,125.0,1.0,0.0,30.5
Alize Mack,GB,12.0,122.0,1.0,0.0,30.2
Shaun Beyer,MIN,12.0,122.0,1.0,0.0,30.2
Tyler Kroft,SF,16.0,190.0,1.0,0.0,36.6
Zach Gentry,PIT,21.6,194.9,1.3,0.0,39.5
Drew Sample,CIN,14.0,170.0,1.0,0.0,28.0
Noah Gray,KC,14.0,145.0,1.2,0.0,31.6
Connor Heyward,PIT,11.6,116.2,0.7,0.1,27.3
Kenny Yeboah,NYJ,11.0,119.0,1.0,0.0,28.4
