player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Tampa Bay Buccaneers,,44.2,14.4,11.8,19.2,2.9,0.6,366.1,5557.5,114.9
Buffalo Bills,,43.3,16.3,10.0,15.4,2.8,0.6,331.5,5286.0,113.6
Pittsburgh Steelers,,48.9,14.3,10.3,15.6,2.5,0.2,391.5,5870.6,113.3
Green Bay Packers,,43.0,16.4,9.6,14.2,2.8,0.2,357.0,5599.5,112.5
Dallas Cowboys,,40.0,16.5,10.6,16.1,3.0,0.3,375.9,5845.2,112.4
Los Angeles Rams,,43.4,14.6,10.1,12.8,2.8,0.5,364.7,5675.2,110.8
New Orleans Saints,,43.9,15.0,9.8,14.0,2.6,0.2,339.0,5616.5,109.5
Miami Dolphins,,44.2,14.6,9.7,16.2,2.6,0.6,374.4,5698.9,109.4
San Francisco 49ers,,44.6,13.8,10.5,16.8,2.6,0.2,358.5,5514.2,109.0
Los Angeles Chargers,,42.1,13.9,10.8,17.5,2.7,0.6,394.9,5864.3,108.7
Indianapolis Colts,,35.9,15.2,11.2,17.7,2.7,0.9,365.3,5718.2,106.8
New England Patriots,,40.5,14.9,9.5,13.4,2.5,0.5,365.3,5718.5,105.7
Minnesota Vikings,,42.1,13.8,9.4,14.2,2.8,0.2,389.7,5874.3,105.5
Cleveland Browns,,42.8,14.4,8.9,13.5,2.5,0.5,369.3,5587.8,105.3
Kansas City Chiefs,,37.8,14.1,10.4,18.0,2.8,0.5,389.9,6012.5,104.7
Arizona Cardinals,,38.9,13.5,11.3,18.9,2.4,0.5,390.5,5838.8,103.8
Denver Broncos,,40.6,14.0,9.0,13.8,2.6,0.2,383.9,5842.7,102.5
Tennessee Titans,,41.8,13.7,8.8,13.1,2.5,0.2,361.0,5786.0,102.0
Cincinnati Bengals,,39.8,14.4,8.9,14.7,2.4,0.6,376.4,5919.9,101.9
Washington Commanders,,39.7,13.2,10.0,15.8,2.5,0.2,389.3,5881.2,101.8
Baltimore Ravens,,38.8,13.6,9.6,15.0,2.6,0.6,356.0,5778.3,101.8
Chicago Bears,,41.9,12.4,9.9,15.7,2.3,0.5,402.0,5818.2,101.6
Carolina Panthers,,39.4,12.7,9.9,13.7,2.4,0.2,408.1,5622.3,99.8
Philadelphia Eagles,,39.6,12.6,8.7,13.5,2.7,0.5,376.1,5760.7,99.3
New York Giants,,38.2,12.9,9.3,13.5,2.3,0.5,403.5,5794.4,97.2
Seattle Seahawks,,36.9,12.8,8.9,12.0,2.2,0.6,399.4,6088.1,94.5
Houston Texans,,35.4,12.5,9.4,14.9,2.3,0.2,433.1,6390.3,93.7
Jacksonville Jaguars,,38.9,11.8,8.4,11.1,2.2,0.5,427.4,6110.5,93.7
Las Vegas Raiders,,36.3,12.0,9.4,14.4,2.2,0.5,416.9,5794.4,93.4
New York Jets,,36.2,12.2,9.2,15.2,2.3,0.2,434.9,6219.1,93.2
Detroit Lions,,35.4,12.3,9.1,13.7,2.2,0.5,438.5,6245.5,92.5
Atlanta Falcons,,31.0,12.8,8.9,12.8,2.1,0.2,433.7,6123.5,87.6
