player,team,fgm,fga,xpm,fp_projection
Justin Tucker,BAL,29.9,34.2,39.9,129.8
Harrison Butker,KC,27.7,31.6,46.2,129.4
Daniel Carlson,LV,30.6,35.8,37.5,129.3
Matt Gay,LAR,29.2,34.4,41.3,128.9
Ryan Succop,TB,26.6,32.6,47.6,127.3
Tyler Bass,BUF,27.0,33.3,45.6,126.7
Greg Joseph,MIN,29.8,34.9,36.9,126.5
Matt Prater,ARI,27.2,33.8,43.5,125.3
Mason Crosby,GB,26.5,33.0,45.2,124.8
Evan McPherson,CIN,28.8,34.5,38.2,124.5
Nick Folk,NE,28.4,33.3,38.7,123.9
Rodrigo Blankenship,IND,28.1,34.0,38.4,122.8
Robbie Gould,SF,27.1,31.8,40.7,122.2
Brandon McManus,DEN,27.1,32.7,40.2,121.5
Dustin Hopkins,LAC,26.2,30.9,42.0,120.5
Chris Boswell,PIT,29.1,34.4,32.4,119.7
Randy Bullock,TEN,25.4,30.7,40.5,116.6
Younghoe Koo,ATL,27.6,31.4,33.4,116.3
Jake Elliott,PHI,27.8,32.4,32.5,115.9
Wil Lutz,NO,26.5,31.2,36.4,115.8
Jason Sanders,MIA,25.6,31.6,37.6,114.4
Graham Gano,NYG,27.4,32.5,30.5,112.7
Cairo Santos,CHI,26.3,31.9,33.6,112.4
Austin Seibert,DET,26.1,30.1,34.2,112.4
Joey Slye,WAS,25.9,31.4,32.1,109.7
Cade York,CLE,24.4,29.2,35.8,108.9
Zane Gonzalez,CAR,25.7,29.9,30.8,107.8
Eddy Pineiro,NYJ,24.0,28.0,35.0,107.0
Jason Myers,SEA,23.4,28.3,33.5,103.7
Ka'imi Fairbairn,HOU,24.4,29.0,30.1,103.2
Greg Zuerlein,NYJ,23.9,29.7,30.2,101.8
Ryan Santoso,JAC,23.8,29.1,28.4,99.8
Riley Patterson,DET,21.9,0.0,30.2,95.8
Brett Maher,DAL,19.2,30.7,35.0,92.5
Lirim Hajrullahu,DAL,13.0,16.0,19.5,58.5
