player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,CAR,238.6,1061.6,7.5,89.0,758.2,4.1,1.4,338.0
Jonathan Taylor,IND,326.1,1602.9,14.7,42.4,353.8,2.0,2.3,334.0
Austin Ekeler,LAC,221.0,983.5,9.4,74.4,664.8,5.3,1.5,325.0
Derrick Henry,TEN,366.2,1640.3,13.0,27.4,215.9,0.9,2.0,292.4
Alvin Kamara,NO,219.2,963.1,7.9,60.0,529.8,4.1,1.2,278.9
Najee Harris,PIT,298.5,1183.8,7.7,60.7,397.1,2.1,1.6,274.2
Joe Mixon,CIN,286.8,1202.4,9.8,47.1,342.1,2.6,1.6,272.3
Dalvin Cook,MIN,276.2,1241.8,9.8,44.9,334.3,1.5,2.5,265.3
Leonard Fournette,TB,227.3,949.9,9.0,61.1,416.7,2.1,1.3,261.9
Aaron Jones,GB,193.6,920.0,6.1,60.9,498.6,3.8,1.5,259.3
D'Andre Swift,DET,216.2,914.6,6.5,65.4,481.2,2.5,1.9,255.1
Saquon Barkley,NYG,244.9,1027.2,6.6,57.6,423.4,2.2,1.5,252.6
James Conner,ARI,226.5,927.4,10.3,44.1,358.5,2.3,1.6,245.1
Javonte Williams,DEN,231.7,1022.2,7.8,45.9,345.7,2.7,1.7,241.9
David Montgomery,CHI,240.8,967.6,7.6,45.1,349.4,1.9,1.4,230.6
Nick Chubb,CLE,246.1,1223.8,8.5,25.2,206.1,1.0,1.6,222.0
Ezekiel Elliott,DAL,232.3,970.9,8.1,40.8,278.2,1.8,2.1,221.1
Cam Akers,LAR,236.3,1027.5,7.1,34.9,280.8,1.6,3.3,211.3
Breece Hall,NYJ,219.6,960.3,6.2,40.4,320.9,1.6,2.0,211.3
Josh Jacobs,LV,222.3,938.2,8.1,38.4,267.0,0.9,1.9,209.3
J.K. Dobbins,BAL,195.8,948.7,8.2,33.2,242.5,1.4,1.0,208.0
