player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,SF,191.7,872.6,6.3,66.0,547.5,2.5,1.0,277.0
Austin Ekeler,LAC,175.0,716.5,5.8,67.3,499.7,2.9,2.0,284.2
Saquon Barkley,NYG,233.1,1001.6,6.6,48.0,315.0,1.0,1.0,228.4
Tony Pollard,DAL,163.8,945.4,6.0,38.7,316.5,1.7,1.0,210.3
Bijan Robinson,ATL,215.8,1065.8,7.0,29.0,230.2,1.4,4.0,230.6
Josh Jacobs,LV,254.0,1098.5,9.0,33.0,228.6,0.0,1.4,213.8
Derrick Henry,TEN,276.0,1197.0,8.2,23.6,176.5,0.0,2.0,216.0
Nick Chubb,CLE,250.0,1235.0,8.0,24.0,208.0,0.8,1.5,208.2
Joe Mixon,CIN,202.2,800.0,5.5,41.1,284.5,1.7,1.0,204.0
Jonathan Taylor,IND,252.0,1157.0,7.0,22.2,164.7,0.0,3.0,192.5
Aaron Jones,GB,179.0,847.1,3.9,43.5,303.5,2.4,2.0,195.8
Najee Harris,PIT,238.0,857.0,5.7,32.6,213.0,1.7,2.0,180.3
Rhamondre Stevenson,NE,193.0,709.5,4.9,46.1,322.0,0.6,1.3,190.6
Travis Etienne Jr.,JAC,203.5,977.7,4.8,31.0,245.7,0.0,3.0,172.1
James Conner,ARI,179.6,685.8,6.0,36.0,276.6,1.0,1.2,185.0
Alexander Mattison,MIN,180.7,736.0,6.7,29.0,193.0,1.0,1.2,176.4
Jahmyr Gibbs,DET,147.0,644.0,6.0,37.0,249.9,1.1,3.0,174.5
Kenneth Walker III,SEA,204.0,866.0,7.4,20.2,141.0,0.0,1.0,161.9
Rachaad White,TB,167.8,621.0,1.8,43.0,288.0,1.0,4.0,147.1
Dameon Pierce,HOU,227.0,966.4,4.2,31.0,170.0,1.0,2.4,184.7
Breece Hall,NYJ,140.0,661.4,5.0,29.6,239.4,1.4,2.0,165.5
Miles Sanders,CAR,185.1,920.6,5.0,13.2,102.6,0.0,2.0,157.6
Alvin Kamara,NO,156.5,665.9,2.6,32.2,248.4,1.2,2.0,154.5
Cam Akers,LAR,201.0,752.0,5.4,20.0,176.3,0.0,3.0,136.1
David Montgomery,DET,171.0,641.0,4.2,28.6,220.0,0.7,1.4,157.6
Javonte Williams,DEN,158.0,717.0,3.0,26.0,179.1,1.0,2.0,140.8
J.K. Dobbins,BAL,123.6,794.0,6.0,18.6,145.0,0.0,1.0,158.0
