player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Saquon Barkley,NYG,270.3,1259.9,9.6,86.9,708.9,3.3,0.4,273.5
Christian McCaffrey,CAR,219.6,1046.0,7.1,95.7,822.8,5.0,1.1,257.3
Alvin Kamara,NO,188.6,899.5,9.7,86.6,772.6,4.9,0.7,253.5
Ezekiel Elliott,DAL,280.6,1233.6,9.2,64.4,489.7,2.5,1.4,239.7
David Johnson,ARI,259.3,1038.3,7.4,60.7,582.4,2.9,2.3,219.6
Le'Veon Bell,NYJ,253.7,1099.3,7.0,63.1,516.4,2.8,1.1,218.2
James Conner,PIT,239.5,1060.6,9.3,54.1,431.8,1.8,1.3,213.1
Todd Gurley,LAR,217.6,1010.7,9.6,45.1,408.2,2.2,0.9,211.0
Nick Chubb,CLE,253.3,1170.7,8.9,37.2,286.8,1.6,0.3,208.6
Joe Mixon,CIN,250.9,1150.0,8.3,48.1,365.5,1.3,0.8,207.5
Dalvin Cook,MIN,247.8,1125.2,6.4,58.3,447.3,2.3,2.5,203.9
Derrick Henry,TEN,263.5,1215.9,10.3,17.3,131.3,0.3,0.5,197.8
Chris Carson,SEA,243.5,1131.3,8.3,28.1,234.5,1.2,1.6,190.2
Kerryon Johnson,DET,221.8,1029.4,6.5,50.9,374.4,2.0,1.3,188.9
Leonard Fournette,JAC,252.9,998.0,7.5,43.7,360.5,1.4,0.4,188.7
Aaron Jones,GB,196.9,963.4,8.0,37.9,293.8,1.4,0.9,180.6
Devonta Freeman,ATL,210.8,888.6,7.3,45.8,369.2,1.9,1.0,178.9
Josh Jacobs,OAK,227.3,987.6,6.7,42.0,324.0,1.4,1.3,177.1
Marlon Mack,IND,235.3,1067.2,7.3,25.9,189.5,0.9,0.9,173.0
Sony Michel,NE,229.2,1063.8,9.4,10.2,76.9,0.4,0.9,170.8
David Montgomery,CHI,209.1,907.9,6.5,35.0,276.5,1.3,1.2,163.2
Damien Williams,KC,140.3,700.7,6.5,47.1,372.8,3.0,1.0,162.7
Melvin Gordon,LAC,163.9,768.8,6.5,39.2,348.7,2.2,0.4,162.6
Mark Ingram,BAL,219.7,905.6,6.8,32.6,253.7,0.9,1.3,159.3
Phillip Lindsay,DEN,179.2,856.3,6.2,33.5,244.4,0.9,0.2,152.3
Tevin Coleman,SF,173.9,792.0,5.1,33.6,300.8,1.5,0.4,147.5
Duke Johnson,HOU,141.6,639.9,3.6,51.2,456.0,2.3,0.6,144.0
Derrius Guice,WAS,164.8,764.2,5.4,29.7,236.4,0.9,1.1,135.8
James White,NE,71.0,296.6,2.5,74.7,655.8,4.1,0.2,134.7
Kenyan Drake,MIA,143.4,604.0,3.5,47.8,398.4,2.1,1.1,131.4
Austin Ekeler,LAC,125.7,564.8,3.5,41.6,384.4,2.0,0.7,126.5
Matt Breida,SF,143.0,605.9,3.7,33.5,299.3,1.5,0.6,120.4
Miles Sanders,PHI,164.7,633.7,4.4,31.9,244.1,1.3,0.8,120.2
Peyton Barber,TB,171.9,725.9,4.4,23.3,165.9,0.6,1.0,117.4
Tarik Cohen,CHI,72.8,306.8,1.9,58.2,533.4,3.0,0.9,111.4
Latavius Murray,NO,159.6,632.2,5.7,17.6,116.8,0.5,0.3,111.3
Devin Singletary,BUF,179.2,610.5,3.6,27.1,225.6,0.9,0.7,109.0
Kalen Ballage,MIA,135.3,650.8,3.8,26.4,196.9,0.5,1.3,108.2
Rashaad Penny,SEA,139.6,627.9,3.9,20.6,157.5,0.9,0.5,106.8
Jordan Howard,PHI,150.1,661.9,4.9,14.6,98.5,0.3,0.7,106.1
LeSean McCoy,KC,118.1,476.5,4.3,26.0,194.4,1.3,0.5,99.5
Frank Gore,BUF,128.6,632.3,3.4,15.2,125.7,0.4,0.6,97.7
Royce Freeman,DEN,168.3,607.2,3.9,17.0,116.9,0.3,0.7,96.2
Darrell Henderson,LAR,117.1,509.3,3.1,22.6,177.1,0.8,0.5,90.7
C.J. Anderson,DET,111.9,510.3,3.7,16.9,126.6,0.3,0.4,87.2
Dion Lewis,TEN,94.0,372.3,2.1,41.0,302.8,0.9,0.4,84.6
Jalen Richard,OAK,47.1,226.7,1.3,48.4,408.6,1.4,0.9,78.2
Ronald Jones II,TB,123.0,443.8,2.8,18.9,136.7,0.5,0.4,76.9
Jaylen Samuels,PIT,71.4,306.0,2.0,29.9,243.2,1.5,0.3,75.7
Jamaal Williams,GB,99.8,398.1,2.6,21.4,163.1,0.6,0.1,75.4
Ito Smith,ATL,85.8,379.5,2.6,24.7,173.8,0.9,0.4,75.2
Adrian Peterson,WAS,124.2,464.5,3.1,13.3,95.8,0.2,0.6,74.6
Giovani Bernard,CIN,77.7,289.8,1.7,37.5,291.8,0.8,0.2,72.6
Nyheim Hines,IND,70.2,291.6,1.3,36.8,283.2,1.2,0.3,72.1
Kareem Hunt,CLE,76.2,323.0,2.5,17.5,154.7,0.7,0.2,66.5
Chris Thompson,WAS,43.6,189.0,0.6,45.8,350.5,1.5,0.4,65.9
Gus Edwards,BAL,87.1,433.9,3.0,3.2,24.1,0.1,0.2,63.9
Justin Jackson,LAC,84.0,332.5,2.2,15.5,124.6,0.4,0.2,60.8
Damien Harris,NE,88.2,319.0,2.5,13.4,105.1,0.5,0.4,59.7
Carlos Hyde,HOU,118.4,377.8,2.4,9.6,65.6,0.1,0.5,58.7
Justice Hill,BAL,64.1,256.6,1.9,18.5,138.5,0.6,0.3,53.9
Ryquell Armstead,JAC,68.8,267.5,1.7,17.0,133.8,0.5,0.4,52.4
Alexander Mattison,MIN,70.4,280.4,1.8,14.8,104.6,0.5,0.4,51.7
Ty Montgomery,NYJ,64.1,227.5,1.4,19.1,153.0,0.8,0.2,51.1
T.J. Yeldon,BUF,47.3,192.7,1.0,23.6,202.5,0.7,0.3,48.9
Mike Davis,CHI,50.7,245.3,2.0,14.0,103.3,0.4,0.2,48.5
Tony Pollard,DAL,75.0,256.9,1.9,13.0,88.9,0.3,0.2,47.4
Chase Edmonds,ARI,52.3,230.6,1.4,14.3,116.6,0.3,0.3,44.0
Ty Johnson,DET,52.4,201.5,1.1,14.0,101.9,0.4,0.3,38.5
Darwin Thompson,KC,50.1,197.9,1.3,10.2,76.9,0.6,0.3,38.1
Devontae Booker,DEN,26.7,125.3,0.8,21.1,171.4,0.6,0.2,37.7
Alfred Blue,JAC,61.5,239.4,0.3,14.3,94.8,0.4,0.0,37.6
Devine Ozigbo,JAC,36.3,186.7,1.2,10.6,88.8,0.4,0.3,36.8
Dare Ogunbowale,TB,46.8,157.3,0.9,16.7,129.8,0.5,0.3,36.7
Corey Clement,PHI,30.3,151.4,1.1,15.2,113.2,0.5,0.1,35.5
Malcolm Brown,LAR,49.1,200.6,1.5,7.5,50.7,0.2,0.3,34.2
Wayne Gallman,NYG,42.0,190.3,1.1,8.7,68.0,0.2,0.4,33.0
Brian Hill,ATL,37.5,187.9,1.3,7.2,52.5,0.2,0.5,31.9
DeAndre Washington,OAK,51.9,180.6,1.1,7.4,59.7,0.1,0.2,31.0
Dontrell Hilliard,CLE,35.8,120.0,0.6,15.4,123.4,0.6,0.2,30.8
Jordan Scarlett,CAR,40.6,153.3,1.0,10.4,75.3,0.2,0.2,29.9
Kyle Juszczyk,SF,7.9,26.6,0.5,22.0,191.5,0.9,0.3,29.5
Rex Burkhead,NE,40.9,123.0,1.1,10.1,81.1,0.4,0.2,29.5
Bilal Powell,NYJ,27.6,169.6,0.8,8.4,67.2,0.2,0.2,29.1
Theo Riddick,DEN,10.5,87.5,0.4,17.7,131.8,0.5,0.2,26.9
Dexter Williams,GB,32.8,134.3,1.0,8.5,61.3,0.3,0.2,26.6
Darren Sproles,PHI,25.6,89.1,0.3,15.6,129.4,0.4,0.1,25.8
C.J. Prosise,SEA,15.7,69.0,0.3,14.4,119.3,0.7,0.1,24.8
Qadree Ollison,ATL,33.0,130.7,0.9,4.3,34.4,0.2,0.2,22.9
Raheem Mostert,SF,22.1,135.3,0.8,6.4,47.1,0.2,0.6,22.8
Alfred Morris,DAL,19.7,121.7,0.9,5.5,40.2,0.1,0.2,21.7
Reggie Bonnafon,CAR,20.1,100.3,0.8,6.9,51.4,0.3,0.2,21.1
Jordan Wilkins,IND,25.5,121.7,0.8,4.1,27.8,0.1,0.2,20.4
D.J. Foster,ARI,14.7,59.0,0.3,12.0,100.5,0.5,0.1,20.3
