name,team,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fp_projection
J.J. Nelson,ARI,2.1,14.2,0.1,30.9,505.5,4.0,1.5,89.0
Brandon LaFell,CIN,0.3,0.4,0.0,39.5,519.8,2.9,0.3,88.7
Josh Doctson,WAS,0.0,0.0,0.0,36.6,516.1,3.0,0.6,86.6
Tavon Austin,LAR,19.5,126.8,0.8,38.2,388.5,2.2,1.6,85.5
Jermaine Kearse,NYJ,0.0,0.0,0.0,38.5,501.9,2.6,0.3,84.5
Paul Richardson,SEA,0.7,3.1,0.0,35.9,490.1,2.9,0.2,84.4
Robert Woods,LAR,0.0,0.4,0.0,40.2,488.5,2.7,0.6,84.0
Cooper Kupp,LAR,0.0,0.0,0.0,39.8,473.5,2.1,0.6,78.6
Seth Roberts,OAK,0.0,0.2,0.0,33.5,414.8,3.5,0.3,78.5
John Ross,CIN,2.0,10.6,0.0,35.1,442.9,2.6,0.6,77.6
Nelson Agholor,PHI,2.7,14.4,0.1,38.3,436.9,2.2,0.5,76.7
Tyler Boyd,CIN,1.6,11.2,0.0,38.8,454.9,2.2,1.4,76.5
Curtis Samuel,CAR,12.7,65.2,0.4,29.6,381.0,2.5,0.6,75.6
Laquon Treadwell,MIN,0.3,1.0,0.0,34.2,403.7,2.4,0.6,70.9
ArDarius Stewart,NYJ,0.3,1.0,0.0,31.8,412.5,2.2,0.6,69.0
Danny Amendola,NE,0.7,4.6,0.0,35.1,381.2,2.8,2.1,69.0
Eli Rogers,PIT,0.5,3.3,0.0,30.3,384.6,2.5,0.4,68.4
Travis Benjamin,LAC,1.3,6.2,0.0,31.5,440.1,2.4,3.4,68.1
Adam Humphries,TB,2.7,16.0,0.0,33.8,373.9,2.0,0.3,67.6
Albert Wilson,KC,1.5,12.0,0.1,33.0,359.8,1.9,0.4,64.7
Markus Wheaton,CHI,0.1,0.8,0.0,28.8,395.4,2.1,1.1,64.4
Brandon Coleman,NO,0.0,0.0,0.0,28.0,358.2,2.2,0.3,62.7
Andre Holmes,BUF,0.0,0.0,0.0,25.7,348.3,2.6,0.3,62.5
Chris Godwin,TB,0.0,0.0,0.0,28.6,368.6,1.9,0.6,61.5
Will Fuller,HOU,0.5,3.3,0.0,27.5,356.3,1.9,0.2,60.9
Braxton Miller,HOU,3.6,21.4,0.1,29.2,318.5,1.9,0.3,59.7
Malcolm Mitchell,NE,0.0,0.1,0.0,26.6,334.3,2.1,0.3,58.5
Chester Rogers,IND,0.0,0.0,0.0,25.0,332.9,2.0,0.3,57.1
Jaron Brown,ARI,0.0,0.0,0.0,24.9,333.9,2.0,0.4,57.1
Mike Williams,LAC,0.0,0.0,0.0,24.5,324.7,2.0,0.6,55.8
Kamar Aiken,IND,0.0,0.0,0.0,24.9,318.5,2.0,0.4,55.7
Jaelen Strong,HOU,0.0,0.2,0.0,27.3,319.0,1.5,0.3,54.1
Charone Peake,NYJ,0.0,0.0,0.0,26.4,308.6,1.3,0.3,51.1
Dede Westbrook,JAC,0.0,0.0,0.0,22.9,291.1,1.7,0.7,49.1
Deonte Thompson,CHI,0.0,0.0,0.0,25.6,308.5,1.8,3.2,47.9
Taywan Taylor,TEN,0.0,0.0,0.0,21.2,271.7,1.7,0.6,46.8
Geronimo Allison,GB,0.0,-0.1,0.0,19.2,267.7,1.8,0.3,46.7
Brice Butler,DAL,0.0,0.0,0.0,17.7,252.4,2.1,0.3,45.9
Andre Ellington,ARI,20.4,87.4,0.5,25.8,181.1,0.4,0.0,45.5
JuJu Smith-Schuster,PIT,0.0,0.0,0.0,20.7,266.7,1.4,0.3,44.6
Aldrick Robinson,SF,1.3,7.7,0.0,18.1,256.4,1.4,0.4,43.5
Sammie Coates,CLE,1.2,6.7,0.0,18.0,279.0,1.1,0.3,43.4
Russell Shepard,CAR,1.2,4.3,0.0,18.0,252.3,1.4,0.3,42.4
Cordarrelle Patterson,OAK,5.5,43.4,0.1,19.6,199.2,1.3,0.4,41.6
Dontrelle Inman,LAC,0.0,0.0,0.0,17.9,249.5,1.3,0.5,40.4
Phillip Dorsett,NE,1.1,8.0,0.0,16.0,238.1,1.3,0.1,40.2
Michael Floyd,MIN,0.0,0.0,0.0,17.5,217.2,1.4,0.2,38.5
Chad Hansen,NYJ,0.0,0.0,0.0,18.0,237.0,1.1,0.6,38.1
Bennie Fowler,DEN,0.0,0.0,0.0,18.4,229.3,1.0,0.1,37.8
Justin Hardy,ATL,0.0,0.0,0.0,15.7,192.1,1.5,0.1,35.9
Jordan Taylor,DEN,0.0,0.0,0.0,16.1,220.8,1.4,1.5,35.8
TJ Jones,DET,0.1,0.2,0.0,16.7,214.3,1.3,0.9,35.7
Justin Hunter,PIT,0.0,0.0,0.0,12.8,176.7,1.7,0.2,33.9
Brian Quick,WAS,0.0,0.0,0.0,16.1,204.9,0.9,0.1,33.6
Trent Taylor,SF,1.0,5.8,0.0,15.2,190.1,0.8,0.1,31.9
Ricardo Louis,CLE,0.0,-0.1,0.0,17.2,199.1,0.7,0.3,31.9
Chad Williams,ARI,0.0,0.0,0.0,14.4,184.6,1.3,0.7,31.8
Roger Lewis,NYG,0.0,0.0,0.0,14.0,174.9,1.0,0.4,29.8
Demarcus Robinson,KC,0.0,0.0,0.0,12.0,156.0,0.9,0.1,26.8
Jalin Marshall,NYJ,0.0,0.0,0.0,14.5,171.1,1.0,1.7,26.8
Jarius Wright,MIN,0.1,0.5,0.0,14.9,168.1,0.3,0.2,25.7
Kasen Williams,CLE,0.0,-0.2,0.0,12.2,151.0,0.6,0.0,24.7
Michael Campanaro,BAL,2.3,13.5,0.0,11.6,132.6,0.6,0.1,24.3
Darrius Heyward-Bey,PIT,0.4,9.4,0.0,8.4,134.5,0.6,0.0,22.4
Jared Abbrederis,DET,0.2,2.3,0.0,12.3,141.3,0.3,0.0,22.2
Andre Roberts,ATL,0.0,0.0,0.0,8.8,117.5,0.7,0.5,19.5
