player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Michael Thomas,NO,6.4,75.4,0.3,0.0,0.0,0.0,0.1,19.9
Davante Adams,GB,5.3,66.8,0.5,0.0,0.0,0.0,0.0,17.9
Julio Jones,ATL,5.1,78.3,0.2,0.0,0.2,0.0,0.0,17.2
Tyreek Hill,KC,4.6,65.6,0.2,0.5,2.6,0.0,0.0,17.1
Chris Godwin,TB,4.4,66.4,0.3,0.0,0.2,0.0,0.0,15.7
Allen Robinson,CHI,5.4,66.4,0.2,0.0,0.2,0.0,0.0,15.3
D.J. Moore,CAR,4.8,66.3,0.0,0.5,3.0,0.0,0.1,15.7
DeAndre Hopkins,ARI,4.9,62.5,0.2,0.0,0.1,0.0,0.1,15.4
Mike Evans,TB,4.4,69.0,0.2,0.0,0.0,0.0,0.0,15.1
Kenny Golladay,DET,4.0,65.6,0.3,0.0,0.0,0.0,0.0,13.8
Robert Woods,LAR,4.6,60.4,0.0,0.6,4.0,0.0,0.0,14.4
Cooper Kupp,LAR,4.1,53.1,0.2,0.0,0.0,0.0,0.0,14.0
Tyler Lockett,SEA,3.9,55.5,0.2,0.3,0.8,0.0,0.0,13.9
Adam Thielen,MIN,4.7,63.7,0.2,0.2,0.9,0.0,0.1,14.2
Amari Cooper,DAL,4.2,58.4,0.2,0.0,0.0,0.0,0.0,14.3
Calvin Ridley,ATL,4.1,54.4,0.3,0.1,0.5,0.0,0.0,14.2
Keenan Allen,LAC,4.7,58.5,0.0,0.2,1.2,0.0,0.0,14.3
JuJu Smith-Schuster,PIT,4.4,50.6,0.3,0.0,0.0,0.0,0.0,11.8
DeVante Parker,MIA,3.8,53.5,0.1,0.0,0.0,0.0,0.0,12.4
Terry McLaurin,WAS,3.9,61.4,0.2,0.0,0.0,0.0,0.0,13.4
D.K. Metcalf,SEA,3.5,56.3,0.3,0.1,0.5,0.0,0.2,13.1
D.J. Chark,JAC,4.2,56.4,0.2,0.1,0.6,0.0,0.1,12.7
A.J. Brown,TEN,3.5,66.0,0.2,0.2,1.1,0.0,0.0,12.5
Courtland Sutton,DEN,4.0,60.8,0.1,0.0,0.2,0.0,0.0,13.0
Odell Beckham Jr.,CLE,4.3,55.3,0.1,0.0,0.0,0.0,0.1,12.0
A.J. Green,CIN,3.8,56.2,0.0,0.0,0.0,0.0,0.1,12.3
Michael Gallup,DAL,3.4,56.0,0.1,0.0,0.0,0.0,0.0,12.0
Stefon Diggs,BUF,3.9,53.3,0.2,0.3,1.8,0.0,0.0,12.6
T.Y. Hilton,IND,3.8,56.4,0.1,0.0,0.0,0.0,0.0,11.9
Diontae Johnson,PIT,4.0,46.2,0.1,0.1,0.7,0.0,0.1,12.6
Will Fuller,HOU,3.8,49.9,0.2,0.1,0.1,0.0,0.0,11.5
Jarvis Landry,CLE,4.3,50.7,0.0,0.0,0.0,0.0,0.1,12.0
Jamison Crowder,NYJ,3.9,45.8,0.0,0.0,0.0,0.0,0.1,11.3
Julian Edelman,NE,4.2,50.5,0.0,0.3,2.0,0.0,0.0,12.0
DeSean Jackson,PHI,3.2,53.1,0.0,0.2,1.2,0.0,0.0,12.4
Tyler Boyd,CIN,4.2,49.9,0.0,0.1,0.8,0.0,0.1,11.7
Marvin Jones,DET,3.3,51.2,0.1,0.0,0.0,0.0,0.0,11.5
Marquise Brown,BAL,3.7,49.2,0.2,0.0,0.0,0.0,0.0,11.3
Christian Kirk,ARI,3.6,41.5,0.0,0.1,0.4,0.0,0.0,11.2
Sterling Shepard,NYG,3.6,42.4,0.0,0.1,0.8,0.0,0.0,11.0
Anthony Miller,CHI,3.3,41.3,0.2,0.2,0.4,0.0,0.0,10.1
Brandin Cooks,HOU,3.4,48.0,0.0,0.3,1.9,0.0,0.0,10.4
