player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,112.3,1410.8,10.2,0.5,313.8
Darren Waller,LV,103.2,1215.5,7.7,0.6,269.8
George Kittle,SF,93.8,1167.8,6.4,0.4,248.0
Mark Andrews,BAL,71.5,853.4,7.8,0.6,202.8
T.J. Hockenson,DET,75.7,843.4,5.3,0.5,190.9
Logan Thomas,WAS,67.3,684.4,5.3,0.4,166.6
Kyle Pitts,ATL,61.2,721.2,5.5,0.8,164.5
Noah Fant,DEN,64.7,725.5,4.5,0.4,163.5
Tyler Higbee,LAR,59.5,673.6,5.1,0.4,156.7
Robert Tonyan,GB,55.3,609.8,6.4,0.1,154.6
Dallas Goedert,PHI,59.6,671.7,4.7,0.5,153.7
Mike Gesicki,MIA,55.6,646.2,5.4,0.4,151.5
Jared Cook,LAC,49.9,612.8,5.3,0.4,142.0
Eric Ebron,PIT,57.3,574.1,4.4,0.4,140.3
Jonnu Smith,NE,54.3,562.2,4.8,0.5,138.3
Evan Engram,NYG,57.9,585.1,3.6,0.4,137.1
Austin Hooper,CLE,52.2,541.5,4.6,0.4,133.2
Anthony Firkser,TEN,52.2,558.7,4.0,0.1,131.6
Rob Gronkowski,TB,42.0,531.0,5.5,0.1,127.7
Blake Jarwin,DAL,46.5,524.8,3.7,0.4,120.1
Hunter Henry,NE,46.8,508.0,3.5,0.4,118.1
Jordan Akins,HOU,47.6,495.6,3.0,0.1,115.2
Cole Kmet,CHI,48.4,464.8,3.5,0.8,114.1
Zach Ertz,PHI,45.2,480.0,3.1,0.4,111.1
Dawson Knox,BUF,40.1,453.7,4.0,0.4,108.4
Hayden Hurst,ATL,42.5,442.6,3.3,0.0,106.3
Gerald Everett,SEA,41.9,428.0,3.7,0.4,106.1
Adam Trautman,NO,35.9,397.2,3.0,0.4,92.7
C.J. Uzomah,CIN,36.4,357.8,3.2,0.1,91.3
Jack Doyle,IND,34.5,364.5,3.2,0.1,89.8
Tommy Hudson,TEN,34.9,361.5,2.5,0.0,86.0
Tyler Conklin,MIN,33.8,342.2,2.7,0.1,83.9
Dan Arnold,CAR,30.3,388.2,2.5,0.4,83.5
Donald Parham Jr.,LAC,28.0,340.3,2.5,0.1,76.9
Ryan Izzo,NYG,25.0,417.0,2.0,1.0,76.7
O.J. Howard,TB,27.0,348.1,2.5,0.5,76.2
Mo Alie-Cox,IND,29.1,315.4,2.4,0.4,74.2
Juwan Johnson,NO,29.1,315.9,2.0,0.2,72.2
Will Dissly,SEA,27.7,287.3,2.6,0.1,71.8
Albert Okwuegbunam,DEN,26.8,310.8,2.2,0.1,70.8
Chris Herndon IV,MIN,28.6,295.7,2.3,1.1,70.0
Dalton Schultz,DAL,27.8,282.1,2.3,0.1,69.3
Jimmy Graham,CHI,26.0,271.8,2.6,0.1,68.9
Jacob Hollister,JAC,29.5,270.3,2.0,0.5,67.3
