player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection

Jacksonville Jaguars,,46.3,17.4,11.1,17.4,4.1,0.9,297.4,4835.9,129.6
Los Angeles Rams,,43.5,16.3,10.5,16.3,3.7,0.6,333.4,5503.7,120.1
Philadelphia Eagles,,37.8,16.6,11.6,19.0,3.9,0.5,311.4,5151.1,118.4
Baltimore Ravens,,38.1,17.1,11.3,17.4,3.7,0.2,316.3,5141.6,117.5
Los Angeles Chargers,,41.1,16.0,10.7,15.5,3.5,0.5,320.4,5349.0,116.5
Minnesota Vikings,,42.0,15.8,9.7,13.6,3.5,0.9,299.5,4826.9,116.0
Denver Broncos,,39.1,14.9,10.4,13.7,3.7,0.6,348.1,4770.0,112.9
Houston Texans,,41.2,14.4,10.4,14.3,3.3,0.5,367.4,5432.0,111.6
Carolina Panthers,,42.8,13.3,11.4,18.7,2.9,0.6,344.3,5356.3,111.0
Pittsburgh Steelers,,41.8,14.4,9.8,13.4,2.9,0.2,340.8,5325.0,107.9
Chicago Bears,,41.9,12.1,10.9,16.5,2.9,0.5,350.1,5321.0,106.5
New Orleans Saints,,35.4,16.1,9.4,13.4,3.2,0.2,362.8,5683.3,105.8
Arizona Cardinals,,37.4,14.0,10.3,17.4,3.1,0.5,356.8,5028.5,105.7
New England Patriots,,40.1,14.6,9.3,11.0,2.8,0.6,318.7,5813.0,105.4
Seattle Seahawks,,37.5,14.1,10.3,15.0,3.0,0.5,343.0,5257.3,105.4
Detroit Lions,,34.8,14.5,10.1,15.0,3.2,0.8,371.5,5635.2,104.9
Kansas City Chiefs,,32.2,14.5,11.1,16.7,3.2,0.5,361.6,5930.3,103.4
Green Bay Packers,,40.5,12.6,10.1,15.0,2.6,0.5,371.9,5613.7,102.6
Atlanta Falcons,,35.3,12.7,11.0,18.4,3.1,0.2,346.5,5499.3,101.6
Tennessee Titans,,38.0,13.6,9.7,14.1,2.6,0.6,345.3,5279.3,101.3
Washington Redskins,,37.5,14.6,8.7,13.7,2.7,0.2,373.4,5647.1,100.8
Tampa Bay Buccaneers,,29.8,14.0,11.3,18.4,3.0,0.5,388.6,6049.3,99.6
Dallas Cowboys,,36.0,12.3,11.3,19.0,2.5,0.2,341.8,5405.3,98.6
Buffalo Bills,,32.5,15.6,8.4,12.7,2.7,0.2,362.6,5582.6,96.9
Cincinnati Bengals,,35.9,14.1,8.3,9.5,2.3,0.2,348.2,5558.7,94.8
Miami Dolphins,,34.1,12.3,8.8,14.4,2.6,0.5,376.5,5556.3,93.0
New York Giants,,31.2,13.8,9.4,14.3,2.3,0.5,378.3,5917.6,92.6
San Francisco 49ers,,30.6,12.1,9.6,13.6,2.2,0.5,389.4,5722.2,88.5
New York Jets,,32.5,12.5,9.3,14.4,1.9,0.2,368.2,5574.1,87.9
Oakland Raiders,,31.0,11.2,10.0,16.4,2.0,0.5,380.1,5806.4,86.3
Cleveland Browns,,32.1,11.9,8.5,12.9,1.9,0.2,396.8,5580.3,84.6
Indianapolis Colts,,29.4,12.0,8.3,14.0,2.0,0.5,395.9,5924.2,82.9
