name,team,rushing_att,rushing_yds,rushing_tds,receiving_rec,receiving_yds,receiving_tds,fumbles_lost,fp_projection
Marlon Mack,IND,55.7,223.4,1.5,16.9,131.6,0.5,0.7,63.1
Joe Williams,SF,71.2,292.4,1.7,13.8,105.4,0.3,1.5,62.8
Wendell Smallwood,PHI,79.4,326.0,1.8,11.4,85.6,0.1,1.2,62.0
Kyle Juszczyk,SF,6.5,25.1,0.2,26.7,214.1,1.4,0.0,60.4
Tarik Cohen,CHI,50.5,223.5,1.2,14.3,115.6,0.3,1.0,55.0
James Conner,PIT,56.2,226.4,2.1,9.3,71.7,0.1,0.5,51.3
Zach Zenner,DET,45.1,169.0,1.7,11.8,99.8,0.1,0.2,49.1
Branden Oliver,LAC,53.5,201.4,1.0,13.0,105.8,0.3,1.5,48.5
Alfred Morris,DAL,63.6,265.0,1.6,5.7,36.1,0.1,0.3,45.7
Andre Ellington,ARI,24.8,100.2,0.5,15.0,131.1,0.5,0.1,44.3
Javorius Allen,BAL,51.8,196.1,0.9,11.4,80.3,0.2,0.8,44.3
Donnel Pumphrey,PHI,46.8,189.3,0.8,11.5,88.3,0.3,1.2,43.6
Chris Ivory,JAC,55.9,222.9,1.4,9.7,75.1,0.1,2.4,43.3
Lance Dunbar,LAR,29.2,115.5,0.5,14.6,116.2,0.4,0.4,42.3
Orleans Darkwa,NYG,48.6,182.8,1.5,8.1,56.9,0.2,0.8,40.6
Kenyan Drake,MIA,39.4,171.2,1.0,9.8,74.1,0.2,0.7,40.0
Jeremy Langford,CHI,43.5,166.5,1.1,8.9,69.3,0.2,0.2,39.9
Wayne Gallman,NYG,46.4,179.0,1.2,7.8,59.7,0.1,0.9,37.3
Chris Johnson,ARI,57.7,232.7,1.4,3.3,25.1,0.1,0.8,36.2
Alfred Blue,HOU,44.3,175.6,0.7,9.0,59.2,0.2,0.9,36.2
Mike Tolbert,BUF,31.8,124.6,0.9,9.2,67.8,0.4,0.2,36.1
Elijah McGuire,NYJ,37.6,151.9,0.8,8.6,67.1,0.1,0.8,34.2
John Kuhn,NO,9.9,29.8,1.8,10.4,63.0,0.4,0.0,33.0
Aaron Ripkowski,GB,20.8,96.6,1.5,7.4,54.8,0.4,0.9,32.0
Elijah Hood,OAK,34.6,144.3,1.3,5.2,40.7,0.2,1.5,29.3
Aaron Jones,GB,32.2,127.1,0.9,5.8,46.5,0.1,0.1,29.0
Malcolm Brown,LAR,30.7,111.5,0.6,7.8,58.2,0.1,0.4,28.2
Kerwynn Williams,ARI,24.8,121.3,0.8,6.6,52.5,0.1,0.8,28.1
Benny Cunningham,CHI,15.9,68.9,0.2,9.1,69.4,0.0,0.1,23.8
Charcandrick West,KC,26.8,98.9,0.5,6.5,49.4,0.2,0.9,23.7
Jeremy McNichols,TB,23.0,91.3,0.5,5.7,43.0,0.1,0.2,22.2
Travaris Cadet,NO,3.3,13.7,0.0,10.9,81.0,0.1,0.1,21.0
Matt Asiata,DET,15.6,57.9,0.8,5.8,45.9,0.0,0.1,20.7
Andy Janovich,DEN,5.3,27.2,0.6,7.2,57.2,0.1,0.0,20.2
Jamize Olawale,OAK,9.8,38.4,0.3,6.5,58.6,0.2,0.0,19.1
Kenjon Barner,LAC,22.3,84.3,0.4,5.0,37.4,0.2,1.1,18.8
Andre Williams,LAC,28.3,104.5,0.6,2.0,17.0,0.1,0.0,18.0
Kenneth Farrow,LAC,19.6,69.6,0.5,4.6,31.1,0.0,0.2,17.2
Brian Hill,ATL,21.6,87.2,0.5,2.6,21.2,0.1,0.1,16.7
Shaun Draughn,NYG,17.7,65.8,0.3,4.5,35.2,0.1,0.1,16.7
Tyler Ervin,HOU,5.4,20.8,0.1,6.7,55.1,0.2,0.0,16.3
De'Angelo Henderson,DEN,16.9,64.4,0.3,3.6,37.1,0.0,0.1,15.4
Lorenzo Taliaferro,BAL,13.7,49.3,0.3,4.5,30.6,0.1,0.1,14.5
Terron Ward,ATL,15.2,62.5,0.3,3.1,27.1,0.0,0.1,13.9
Fozzy Whittaker,CAR,12.1,51.5,0.2,4.3,33.6,0.0,0.1,13.8
Dwayne Washington,DET,17.4,63.5,0.3,3.5,22.5,0.0,0.1,13.8
Fitzgerald Toussaint,PIT,15.8,59.8,0.1,3.9,32.7,0.0,0.1,13.7
Ka'Deem Carey,CHI,17.7,68.1,0.4,2.2,18.7,0.0,0.1,12.9
Josh Ferguson,IND,9.3,28.5,0.1,5.6,40.5,0.0,0.2,12.5
Cameron Artis-Payne,CAR,16.1,64.2,0.7,1.0,12.3,0.0,0.1,12.4
Patrick DiMarco,BUF,5.0,18.0,0.1,5.2,39.5,0.1,0.0,12.3
Alex Collins,SEA,15.5,62.5,0.2,2.5,22.5,0.0,0.3,11.7
Brandon Wilds,CLE,13.4,49.5,0.3,2.6,22.3,0.0,0.1,11.6
Darrel Young,CAR,4.4,18.6,0.2,3.9,33.6,0.2,0.0,11.5
Chris Carson,SEA,12.2,45.8,0.4,1.9,15.2,0.1,0.1,10.5
Derek Watt,LAC,3.9,15.9,0.2,3.5,38.6,0.0,0.0,9.9
Devante Mays,GB,10.0,41.0,0.3,2.0,16.0,0.1,0.1,9.9
Joe Banyard,BUF,9.8,33.6,0.1,3.7,21.8,0.0,0.0,9.9
Mack Brown,WAS,9.0,39.0,0.4,2.2,14.4,0.0,0.1,9.7
Peyton Barber,TB,10.7,45.0,0.3,2.0,14.3,0.0,0.2,9.3
C.J. Spiller,KC,7.2,26.2,0.0,3.3,26.3,0.1,0.1,9.1
Jonathan Grimes,JAC,5.5,28.0,0.1,3.5,26.0,0.1,0.2,9.1
John Crockett,OAK,10.0,40.0,0.2,2.0,12.0,0.1,0.1,8.8
Corey Grant,JAC,10.5,42.3,0.3,1.2,12.3,0.2,0.2,8.7
Bobby Rainey,BAL,9.1,36.8,0.2,2.5,15.0,0.0,0.2,8.5
Kapri Bibbs,SF,9.2,39.2,0.1,1.7,18.4,0.1,0.1,8.2
Jalston Fowler,TEN,5.0,16.3,0.1,2.5,23.5,0.1,0.0,7.6
Knile Davis,PIT,8.8,29.2,0.0,2.6,17.7,0.0,0.1,7.3
Akeem Hunt,HOU,6.5,32.0,0.1,2.1,14.0,0.0,0.1,7.2
Raheem Mostert,SF,6.4,26.8,0.2,2.1,14.0,0.0,0.2,7.0
Juwan Thompson,DEN,8.6,31.9,0.1,2.1,14.3,0.0,0.3,6.9
Brandon Bolden,NE,3.9,13.9,0.0,2.5,20.1,0.2,0.2,6.9
James Develin,NE,3.2,10.2,0.1,2.9,22.5,0.0,0.0,6.7
T.J. Logan,ARI,8.0,29.5,0.2,1.5,11.5,0.1,0.1,6.6
Rod Smith,DAL,3.4,12.0,0.1,2.4,16.5,0.1,0.0,6.5
Khalfani Muhammad,TEN,8.3,30.8,0.1,1.3,9.6,0.1,0.1,6.4
Keith Smith,DAL,4.2,16.1,0.2,2.2,14.2,0.0,0.0,6.1
Jay Prosch,HOU,2.8,9.9,0.1,2.5,21.7,0.0,0.0,6.0
Daniel Lasco,NO,6.3,21.7,0.1,2.3,13.6,0.0,0.1,5.9
Dan Vitale,CLE,3.1,11.1,0.1,2.5,16.2,0.0,0.0,5.5
Zach Line,NO,3.0,7.0,0.2,1.0,14.0,0.2,0.0,5.5
Troymaine Pope,IND,8.0,27.0,0.1,1.0,9.0,0.0,0.1,5.0
Anthony Sherman,KC,2.6,10.3,0.0,1.6,10.1,0.0,0.0,3.9
Marcus Murphy,NYJ,5.0,18.0,0.1,1.0,8.0,0.0,0.2,3.8
Roosevelt Nix,PIT,1.6,5.3,0.0,1.7,9.8,0.0,0.0,3.5
Taiwan Jones,BUF,2.0,5.0,0.0,1.0,14.0,0.1,0.2,3.1
Aaron Green,LAR,2.0,7.0,0.0,1.0,9.0,0.0,0.0,2.6
Marquez Williams,JAC,2.0,7.0,0.0,1.0,7.0,0.0,0.0,2.4
Michael Burton,CHI,1.0,1.0,0.0,1.0,8.0,0.1,0.2,2.1
Sam Rogers,LAR,2.0,5.0,0.0,1.0,6.0,0.0,0.0,2.1
Joe Kerridge,GB,4.4,14.7,0.1,2.8,16.6,0.0,0.0,0.0
Terrell Watson,PIT,8.0,33.9,0.2,3.2,21.3,0.0,0.0,0.0
Austin Johnson,TB,8.3,33.8,0.1,3.8,30.4,0.0,0.0,0.0
Storm Johnson,MIA,8.4,35.7,0.3,5.5,42.1,0.0,0.0,0.0
Cedric Peerman,CIN,15.8,55.9,0.3,7.0,43.5,0.0,0.0,0.0
Byron Marshall,PHI,8.3,32.8,0.2,3.3,19.4,0.0,0.0,0.0
Matt Jones,WAS,6.7,27.9,0.0,2.0,22.8,0.0,0.0,0.0
Senorise Perry,MIA,8.4,35.7,0.3,5.5,42.1,0.0,0.0,0.0
Ronnie Hillman,DAL,17.2,63.3,0.4,5.3,38.9,0.0,0.0,0.0
D.J. Foster,NE,12.0,45.9,0.2,2.7,18.6,0.0,0.0,0.0
Mike Davis,SEA,1.6,4.7,0.0,9.1,66.6,0.0,0.0,0.0
Ryan Hewitt,CIN,3.9,10.8,0.1,1.7,12.8,0.0,0.0,0.0
