player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,SF,218.7,1011.6,7.5,74.8,632.0,4.2,0.5,308.6
Austin Ekeler,LAC,191.4,862.8,9.4,77.5,601.1,3.9,1.5,300.8
Saquon Barkley,NYG,253.8,1133.9,7.9,52.4,373.1,1.7,0.7,259.3
Tony Pollard,DAL,222.8,1116.5,8.2,45.3,378.4,2.2,0.5,256.2
Bijan Robinson,ATL,247.9,1181.4,8.7,40.6,337.2,2.1,1.9,253.3
Josh Jacobs,LV,263.2,1228.9,9.8,39.8,292.7,0.8,1.2,253.3
Derrick Henry,TEN,307.8,1346.7,9.4,32.0,271.1,0.8,1.8,251.5
Nick Chubb,CLE,280.4,1373.8,9.1,28.2,234.8,1.1,1.1,248.2
Joe Mixon,CIN,228.7,954.9,7.4,50.0,367.3,2.2,0.6,238.4
Jonathan Taylor,IND,276.6,1265.2,8.3,32.5,229.8,1.0,2.1,233.5
Aaron Jones,GB,200.2,987.2,5.6,49.8,375.1,2.7,1.3,232.8
Najee Harris,PIT,263.2,1037.4,6.8,39.3,267.4,2.2,1.2,221.9
Rhamondre Stevenson,NE,208.0,935.2,5.7,50.6,361.6,1.3,1.0,220.6
Travis Etienne Jr.,JAC,218.6,1082.1,6.5,35.1,285.7,0.9,2.3,211.5
James Conner,ARI,214.0,913.3,6.8,41.0,297.9,1.3,0.8,209.0
Alexander Mattison,MIN,215.3,942.3,8.1,34.4,235.9,1.6,1.0,208.6
Jahmyr Gibbs,DET,178.7,784.1,6.6,44.5,351.2,2.0,1.5,206.3
Kenneth Walker III,SEA,228.9,1041.4,8.2,25.9,173.9,0.6,0.4,199.8
Rachaad White,TB,205.7,841.0,4.5,48.1,340.9,1.9,2.7,199.7
Dameon Pierce,HOU,255.3,1069.8,5.8,32.7,216.2,1.1,2.1,198.4
Breece Hall,NYJ,179.1,843.3,5.7,35.5,321.0,1.8,1.1,194.6
Miles Sanders,CAR,218.0,1013.6,6.1,29.6,208.4,0.7,1.4,189.8
Alvin Kamara,NO,175.8,724.8,3.8,42.5,373.2,1.8,1.1,183.6
Cam Akers,LAR,233.0,984.9,6.4,25.1,206.8,0.7,2.2,182.6
David Montgomery,DET,194.4,777.2,6.2,33.6,278.5,1.2,1.0,181.4
Javonte Williams,DEN,178.3,821.4,4.8,36.8,256.9,1.5,1.6,179.8
J.K. Dobbins,BAL,173.8,888.7,6.8,24.0,170.4,1.6,0.4,179.6
Isiah Pacheco,KC,196.7,936.9,6.8,24.3,199.7,0.7,1.9,179.5
James Cook,BUF,160.3,808.0,4.7,35.3,264.2,1.7,1.4,178.2
D'Andre Swift,PHI,118.0,554.5,4.8,39.9,328.4,1.8,0.8,165.9
Antonio Gibson,WAS,139.1,558.7,3.6,42.6,309.7,1.4,1.1,157.6
AJ Dillon,GB,166.9,728.5,5.6,25.0,198.3,0.7,0.7,154.6
Dalvin Cook,NYJ,175.7,728.7,4.4,27.2,202.7,1.0,1.5,149.7
Khalil Herbert,CHI,163.9,812.9,4.8,20.2,135.1,0.8,0.4,147.7
Samaje Perine,DEN,149.4,627.3,3.8,28.9,232.9,1.5,0.3,146.0
Brian Robinson Jr.,WAS,210.7,886.7,4.3,16.2,105.0,0.7,0.5,144.7
Jeff Wilson Jr.,MIA,134.9,627.2,4.4,22.1,170.1,1.1,1.3,132.0
Jamaal Williams,NO,160.7,658.6,5.3,14.1,105.4,0.5,0.7,123.6
Raheem Mostert,MIA,134.4,597.1,3.3,22.5,160.1,0.9,0.8,121.7
Rashaad Penny,PHI,158.0,760.8,5.2,8.3,56.4,0.2,0.7,121.2
Jerick McKinnon,KC,57.0,222.6,1.6,38.4,328.8,3.0,0.2,121.0
Zach Charbonnet,SEA,125.4,540.6,3.5,23.6,188.1,0.8,1.0,120.1
Elijah Mitchell,SF,140.7,639.6,4.1,13.1,94.8,0.8,0.3,115.1
Devin Singletary,HOU,128.8,546.1,2.8,24.4,175.8,0.4,1.2,113.4
Tyler Allgeier,ATL,148.4,689.2,3.4,11.8,90.9,0.5,0.3,112.5
Jaylen Warren,PIT,107.4,482.7,2.6,23.8,202.2,0.4,0.4,109.8
De'Von Achane,MIA,119.1,475.7,3.0,21.9,183.3,0.9,0.9,108.9
Ezekiel Elliott,NE,142.0,551.4,4.2,15.7,115.8,0.5,0.8,108.8
Damien Harris,BUF,123.1,548.8,3.9,16.9,116.1,0.4,0.7,107.8
Chuba Hubbard,CAR,112.1,524.3,3.1,17.6,155.2,0.5,0.7,105.7
Kenneth Gainwell,PHI,90.0,396.2,3.7,22.1,169.8,0.7,0.3,104.4
D'Onta Foreman,CHI,133.1,654.6,3.3,6.8,51.7,0.2,0.6,97.4
Tank Bigsby,JAC,108.5,434.8,2.7,17.9,142.3,0.7,0.9,94.6
Gus Edwards,BAL,119.5,564.0,3.2,6.8,58.7,0.2,0.9,87.1
Chase Edmonds,TB,81.6,358.3,1.8,20.2,162.2,0.8,0.4,86.9
Cordarrelle Patterson,ATL,72.5,309.1,2.4,19.5,158.6,0.8,0.2,85.1
Roschon Johnson,CHI,97.6,440.5,2.3,10.5,109.2,0.6,1.0,80.8
Tyjae Spears,TEN,90.7,357.0,1.9,15.3,128.1,0.6,0.8,76.9
Joshua Kelley,LAC,93.1,380.6,2.3,13.6,115.7,0.3,1.2,76.2
Clyde Edwards-Helaire,KC,77.3,325.3,2.1,13.2,115.2,0.9,0.3,75.0
Chase Brown,CIN,72.4,293.8,1.8,18.0,145.5,0.6,0.8,74.7
Kyren Williams,LAR,82.9,339.0,1.4,16.3,130.8,0.4,0.5,72.7
Ty Chandler,MIN,89.2,328.1,2.0,13.8,114.6,0.6,0.7,72.0
Jerome Ford,CLE,96.1,353.0,1.7,10.5,101.5,0.5,0.6,68.3
Keaontay Ingram,ARI,72.6,297.0,1.8,13.7,93.5,0.3,0.4,64.3
Kendre Miller,NO,84.3,301.4,1.6,11.4,112.4,0.5,0.8,63.8
Matt Breida,NYG,61.1,274.1,1.2,12.9,106.5,0.3,0.9,58.5
Latavius Murray,BUF,62.7,293.1,1.7,10.3,75.1,0.2,0.0,58.3
Abram Smith,MIN,0.0,173.4,1.2,16.2,126.5,0.6,0.1,56.9
Kenyan Drake,IND,55.2,231.3,1.2,13.0,98.4,0.2,0.2,54.1
Isaiah Spiller,LAC,70.5,274.3,1.2,9.5,82.1,0.3,0.3,53.5
Zamir White,LV,59.4,253.0,1.9,10.4,48.6,0.3,0.2,53.5
Deuce Vaughn,DAL,67.6,229.4,1.3,10.9,91.4,0.5,0.7,52.3
Zach Evans,LAR,62.1,235.4,1.3,9.8,91.4,0.4,0.5,51.9
Zack Moss,IND,64.6,286.2,1.2,9.2,61.2,0.2,0.5,51.6
Corey Clement,ARI,57.0,207.2,1.7,11.8,81.3,0.2,0.4,50.9
Ronald Jones II,DAL,63.1,299.1,1.8,4.4,41.4,0.1,0.5,49.3
JaMycal Hasty,JAC,36.9,180.2,1.0,12.9,95.6,0.4,0.2,48.4
Ameer Abdullah,LV,28.1,97.1,0.4,18.4,140.5,0.6,0.1,47.7
Eric Gray,NYG,50.0,212.6,1.1,8.5,71.6,0.4,0.8,44.5
Michael Carter,NYJ,42.1,157.4,0.6,11.8,119.4,0.3,0.3,44.3
Deon Jackson,IND,39.5,106.3,0.4,17.9,109.1,0.5,0.8,42.9
Melvin Gordon III,BAL,39.8,178.7,0.9,10.5,83.4,0.3,0.8,42.1
Hassan Haskins,TEN,39.7,152.3,0.5,12.9,89.6,0.4,0.2,42.0
Ke'Shawn Vaughn,TB,55.1,217.3,1.3,6.9,45.1,0.2,0.6,40.7
Raheem Blackshear,CAR,31.5,118.3,1.2,10.9,81.2,0.3,0.4,38.7
Chris Rodriguez Jr.,WAS,39.1,164.0,0.8,8.7,60.4,0.2,0.2,36.6
Ty Montgomery,NE,22.4,64.5,0.2,14.4,101.9,0.5,0.0,35.2
Jordan Mason,SF,51.7,233.6,0.9,2.9,33.0,0.1,0.2,35.1
Pierre Strong Jr.,NE,45.8,187.5,0.7,5.2,63.4,0.2,0.2,35.0
DeeJay Dallas,SEA,19.8,121.9,0.6,9.7,81.3,0.3,0.1,34.8
Chris Evans,CIN,36.4,128.1,0.5,9.9,75.4,0.3,0.2,34.7
Trayveon Williams,CIN,50.5,185.9,0.7,6.9,54.6,0.2,0.9,34.4
Kene Nwangwu,MIN,44.7,153.1,0.9,7.3,50.8,0.2,0.2,33.9
