ecp,ecp_tier,player,team,pos,bye,sos,ecp_vs_adp
468,15,Velus Jones Jr.,CHI,WR162,13,3 out of 5 stars,+80
469,15,Mike Boone,HOU,RB125,7,3 out of 5 stars,-
470,15,Tony Jones Jr.,DEN,RB126,9,4 out of 5 stars,-
471,15,Carson Wentz,FA,QB47,-,-,+11
472,15,KhaDarel Hodge,ATL,WR163,11,4 out of 5 stars,-
473,15,Brandon Bolden,LV,RB127,13,3 out of 5 stars,-
474,15,Sammy Watkins,FA,WR164,-,-,-
475,15,Trey Sermon,PHI,RB128,10,1 out of 5 stars,+71
476,15,Jarrett Stidham,DEN,QB48,9,4 out of 5 stars,-
477,16,Jalen Reagor,MIN,WR165,13,3 out of 5 stars,-37
478,16,Equanimeous St. Brown,CHI,WR166,13,3 out of 5 stars,-79
479,16,Zach Wilson,NYJ,QB49,7,2 out of 5 stars,-137
480,16,Tommy Tremble,CAR,TE63,7,3 out of 5 stars,-
481,16,Zane Gonzalez,SF,K43,9,2 out of 5 stars,-54
482,16,Shi Smith,CAR,WR167,7,4 out of 5 stars,+72
483,16,Byron Pringle,WAS,WR168,14,3 out of 5 stars,-27
484,16,Erik Ezukanma,MIA,WR169,10,3 out of 5 stars,-
485,16,Colby Parkinson,SEA,TE64,5,2 out of 5 stars,+13
486,16,Ashton Dulin,IND,WR170,11,4 out of 5 stars,-
487,16,Anthony McFarland Jr.,PIT,RB129,6,3 out of 5 stars,-
488,16,Elliott Fry,FA,K44,-,-,-
489,16,Davis Mills,HOU,QB50,7,3 out of 5 stars,-
490,16,Andy Dalton,CAR,QB51,7,4 out of 5 stars,+5
491,16,Derius Davis,LAC,WR171,5,3 out of 5 stars,-
492,16,Jonathan Ward,TEN,RB130,7,4 out of 5 stars,-
493,16,Quintez Cephus,DET,WR172,9,3 out of 5 stars,-
494,16,Marcus Mariota,PHI,QB52,10,3 out of 5 stars,-143
495,16,Malik Willis,TEN,QB53,7,4 out of 5 stars,+25
496,16,Travis Homer,CHI,RB131,13,5 out of 5 stars,-
497,16,John Bates,WAS,TE65,14,3 out of 5 stars,-10
498,16,Dare Ogunbowale,HOU,RB132,7,3 out of 5 stars,-
499,16,Mark Ingram II,FA,RB133,-,-,-9
500,16,James Mitchell,DET,TE66,9,3 out of 5 stars,+43
501,16,Brock Wright,DET,TE67,9,3 out of 5 stars,-91
502,16,Ty'Son Williams,ARI,RB134,14,3 out of 5 stars,-
503,16,Danny Gray,SF,WR173,9,3 out of 5 stars,+49
504,16,Jimmy Graham,NO,TE68,11,5 out of 5 stars,-179
505,16,Damien Williams,LV,RB135,13,3 out of 5 stars,-
506,16,Patrick Ricard,BAL,RB136,13,3 out of 5 stars,+33
507,16,Malik Cunningham,NE,QB54,11,2 out of 5 stars,-
508,16,Kendric Pryor,JAC,WR174,9,4 out of 5 stars,-
509,16,Mohamed Ibrahim,DET,RB137,9,5 out of 5 stars,-
510,16,Kendall Hinton,DEN,WR175,9,2 out of 5 stars,-
511,16,Hendon Hooker,DET,QB55,9,4 out of 5 stars,-110
512,16,Eric Saubert,MIA,TE69,10,2 out of 5 stars,-32
513,16,Snoop Conner,JAC,RB138,9,2 out of 5 stars,-
514,16,Jonathan Williams,WAS,RB139,14,3 out of 5 stars,+18
515,16,Alec Ingold,MIA,RB140,10,1 out of 5 stars,-78
516,16,Lew Nichols III,GB,RB141,6,4 out of 5 stars,-
517,16,Charlie Kolar,BAL,TE70,13,4 out of 5 stars,-
518,16,Brandon Powell,MIN,WR176,13,3 out of 5 stars,-
519,16,Zack Kuntz,NYJ,TE71,7,3 out of 5 stars,-
520,16,Racey McMath,TEN,WR177,7,3 out of 5 stars,-
521,16,Cameron Latu,SF,TE72,9,3 out of 5 stars,-67
522,16,Trestan Ebner,CHI,RB142,13,5 out of 5 stars,-
523,16,Dan Arnold,PHI,TE73,10,2 out of 5 stars,-126
524,16,Trevor Siemian,CIN,QB56,7,3 out of 5 stars,-86
525,16,Ronnie Rivers,LAR,RB143,10,3 out of 5 stars,-
526,16,Hunter Long,LAR,TE74,10,2 out of 5 stars,-
527,16,Josh Whyle,TEN,TE75,7,3 out of 5 stars,-
528,16,Nick Mullens,MIN,QB57,13,4 out of 5 stars,-
