ecp,ecp_tier,player,team,pos,bye,sos,ecp_vs_adp
218,11,Mac Jones,NE,QB30,11,2 out of 5 stars,+11
219,11,Pittsburgh Steelers,PIT,DST11,6,4 out of 5 stars,-79
220,11,Josh Downs,IND,WR89,11,4 out of 5 stars,+53
221,11,Tyquan Thornton,NE,WR90,11,2 out of 5 stars,+111
222,11,Younghoe Koo,ATL,K6,11,4 out of 5 stars,-89
223,11,Tyjae Spears,TEN,RB61,7,4 out of 5 stars,+8
224,11,Noah Fant,SEA,TE26,5,2 out of 5 stars,+24
225,11,Jason Sanders,MIA,K7,10,2 out of 5 stars,-14
226,11,Miami Dolphins,MIA,DST12,10,3 out of 5 stars,-88
227,11,Cincinnati Bengals,CIN,DST13,7,4 out of 5 stars,-49
228,11,Terrace Marshall Jr.,CAR,WR91,7,4 out of 5 stars,+73
229,11,Brandon McManus,JAC,K8,9,2 out of 5 stars,-45
230,11,Zach Ertz,ARI,TE27,14,2 out of 5 stars,-34
231,11,Joshua Kelley,LAC,RB62,5,3 out of 5 stars,+32
232,11,Leonard Fournette,FA,RB63,-,-,-40
233,11,Jake Elliott,PHI,K9,10,2 out of 5 stars,-73
234,11,Michael Carter,NYJ,RB64,7,3 out of 5 stars,+12
235,11,Jason Myers,SEA,K10,5,2 out of 5 stars,-101
236,11,Tampa Bay Buccaneers,TB,DST14,5,4 out of 5 stars,+5
237,11,Washington Commanders,WAS,DST15,14,3 out of 5 stars,-36
238,11,Cleveland Browns,CLE,DST16,5,5 out of 5 stars,-28
239,11,Kareem Hunt,FA,RB65,-,-,-34
240,11,Desmond Ridder,ATL,QB31,11,4 out of 5 stars,+42
241,11,Khalil Shakir,BUF,WR92,13,2 out of 5 stars,+83
242,12,Green Bay Packers,GB,DST17,6,2 out of 5 stars,-69
243,12,Los Angeles Chargers,LAC,DST18,5,2 out of 5 stars,-11
244,12,Chase Edmonds,TB,RB66,5,3 out of 5 stars,+27
245,12,Tank Dell,HOU,WR93,7,4 out of 5 stars,-38
246,12,Michael Mayer,LV,TE28,13,5 out of 5 stars,-46
247,12,Matt Gay,IND,K11,11,4 out of 5 stars,-58
248,12,Richie James Jr.,KC,WR94,10,2 out of 5 stars,+38
249,12,Mack Hollins,ATL,WR95,11,4 out of 5 stars,+86
250,12,Marvin Jones Jr.,DET,WR96,9,3 out of 5 stars,+48
251,12,Graham Gano,NYG,K12,13,0 out of 5 stars,-94
252,12,Sterling Shepard,NYG,WR97,13,3 out of 5 stars,+129
253,12,Greg Joseph,MIN,K13,13,1 out of 5 stars,-19
254,12,Josh Reynolds,DET,WR98,9,3 out of 5 stars,-
255,12,Taysom Hill,NO,TE29,11,5 out of 5 stars,-58
256,12,Jake Ferguson,DAL,TE30,7,3 out of 5 stars,-33
257,12,Indianapolis Colts,IND,DST19,11,3 out of 5 stars,+15
258,12,Greg Zuerlein,NYJ,K14,7,4 out of 5 stars,-56
259,12,Nick Folk,NE,K15,11,2 out of 5 stars,-41
260,12,Russell Gage,TB,WR99,5,4 out of 5 stars,-
261,12,Chase Brown,CIN,RB67,7,3 out of 5 stars,-16
262,12,Cade Otton,TB,TE31,5,2 out of 5 stars,+33
263,12,Jacksonville Jaguars,JAC,DST20,9,5 out of 5 stars,-65
264,12,Kendrick Bourne,NE,WR100,11,2 out of 5 stars,-
265,12,Jelani Woods,IND,TE32,11,3 out of 5 stars,+46
266,12,Wil Lutz,NO,K16,11,5 out of 5 stars,-19
267,12,Baker Mayfield,TB,QB32,5,3 out of 5 stars,-8
268,12,Isaiah Likely,BAL,TE33,13,4 out of 5 stars,+7
269,12,Pierre Strong Jr.,NE,RB68,11,2 out of 5 stars,+33
270,12,Logan Thomas,WAS,TE34,14,3 out of 5 stars,+49
271,12,Luke Musgrave,GB,TE35,6,4 out of 5 stars,-55
272,12,Tyler Conklin,NYJ,TE36,7,3 out of 5 stars,-46
273,12,Zach Evans,LAR,RB69,10,3 out of 5 stars,+6
274,12,Kyren Williams,LAR,RB70,10,3 out of 5 stars,+11
275,12,Isaiah McKenzie,IND,WR101,11,4 out of 5 stars,+86
276,12,Matt Prater,ARI,K17,14,2 out of 5 stars,-2
277,12,Ty Chandler,MIN,RB71,13,5 out of 5 stars,-20
278,12,Carolina Panthers,CAR,DST21,7,3 out of 5 stars,-42
279,12,Puka Nacua,LAR,WR102,10,3 out of 5 stars,+42
280,12,Los Angeles Rams,LAR,DST22,10,3 out of 5 stars,-24
281,12,Quez Watkins,PHI,WR103,10,3 out of 5 stars,+75
282,12,Chris Boswell,PIT,K18,6,4 out of 5 stars,-38
283,12,Isaiah Spiller,LAC,RB72,5,3 out of 5 stars,+80
284,12,Laviska Shenault Jr.,CAR,WR104,7,4 out of 5 stars,-
285,12,Seattle Seahawks,SEA,DST23,5,2 out of 5 stars,-90
286,12,Cedric Tillman,CLE,WR105,5,3 out of 5 stars,+47
287,12,Riley Patterson,DET,K19,9,1 out of 5 stars,-36
288,12,Braxton Berrios,MIA,WR106,10,3 out of 5 stars,-
289,12,Deuce Vaughn,DAL,RB73,7,3 out of 5 stars,-106
290,12,New York Giants,NYG,DST24,13,3 out of 5 stars,-65
291,13,Dustin Hopkins,LAC,K20,5,4 out of 5 stars,+35
292,13,Jake Moody,SF,K21,9,2 out of 5 stars,-84
293,13,Michael Wilson,ARI,WR107,14,3 out of 5 stars,+12
294,13,Israel Abanikanda,NYJ,RB74,7,3 out of 5 stars,+5
295,13,Tennessee Titans,TEN,DST25,7,5 out of 5 stars,-26
296,13,Latavius Murray,BUF,RB75,13,2 out of 5 stars,-15
297,13,Matt Breida,NYG,RB76,13,2 out of 5 stars,+47
298,13,Nick Westbrook-Ikhine,TEN,WR108,7,3 out of 5 stars,-
299,13,Justyn Ross,KC,WR109,10,2 out of 5 stars,-82
300,13,Cairo Santos,CHI,K22,13,5 out of 5 stars,-10
301,13,Keaontay Ingram,ARI,RB77,14,3 out of 5 stars,+30
302,13,Zack Moss,IND,RB78,11,3 out of 5 stars,-24
303,13,Devin Duvernay,BAL,WR110,13,3 out of 5 stars,+121
304,13,Jordan Mason,SF,RB79,9,4 out of 5 stars,+42
305,13,Ka'imi Fairbairn,HOU,K23,7,5 out of 5 stars,-12
306,13,Detroit Lions,DET,DST26,9,3 out of 5 stars,-76
307,13,Evan Hull,IND,RB80,11,3 out of 5 stars,-23
308,13,Kayshon Boutte,NE,WR111,11,2 out of 5 stars,+168
309,13,D'Ernest Johnson,JAC,RB81,9,2 out of 5 stars,+32
310,13,Malik Davis,DAL,RB82,7,3 out of 5 stars,+6
311,13,JaMycal Hasty,JAC,RB83,9,2 out of 5 stars,-
312,13,DeWayne McBride,MIN,RB84,13,5 out of 5 stars,-16
313,13,James Robinson,NYG,RB85,13,2 out of 5 stars,+15
314,13,Greg Dortch,ARI,WR112,14,3 out of 5 stars,+35
315,13,David Bell,CLE,WR113,5,3 out of 5 stars,+191
316,13,Trey Lance,SF,QB33,9,3 out of 5 stars,-40
317,13,Austin Hooper,LV,TE37,13,5 out of 5 stars,-
318,13,Daniel Bellinger,NYG,TE38,13,1 out of 5 stars,+39
319,13,Zonovan Knight,NYJ,RB86,7,3 out of 5 stars,-
320,13,Boston Scott,PHI,RB87,10,1 out of 5 stars,+14
321,13,Sean Tucker,TB,RB88,5,3 out of 5 stars,-
322,13,Chris Evans,CIN,RB89,7,3 out of 5 stars,+37
323,13,Michael Badgley,FA,K24,-,-,-53
324,13,Tutu Atwell,LAR,WR114,10,3 out of 5 stars,-
325,13,Brett Maher,DEN,K25,9,2 out of 5 stars,-70
326,13,Minnesota Vikings,MIN,DST27,13,2 out of 5 stars,-86
327,13,Kyle Philips,TEN,WR115,7,3 out of 5 stars,+203
328,13,Nelson Agholor,BAL,WR116,13,3 out of 5 stars,+225
329,13,Jacoby Brissett,WAS,QB34,14,1 out of 5 stars,-
330,13,Robbie Gould,FA,K26,-,-,+7
331,13,Cade York,CLE,K27,5,3 out of 5 stars,-70
332,13,Robbie Chosen,MIA,WR117,10,3 out of 5 stars,+90
333,13,Ronald Jones II,DAL,RB90,7,3 out of 5 stars,-
334,13,Hassan Haskins,TEN,RB91,7,4 out of 5 stars,-
335,13,Tyrion Davis-Price,SF,RB92,9,4 out of 5 stars,-
336,13,Cameron Dicker,LAC,K28,5,4 out of 5 stars,-133
337,13,Eric Gray,NYG,RB93,13,2 out of 5 stars,+6
338,13,Ryan Succop,FA,K29,-,-,+148
339,13,Deonte Harty,BUF,WR118,13,2 out of 5 stars,+74
340,13,Deon Jackson,IND,RB94,11,3 out of 5 stars,-48
341,13,Trayveon Williams,CIN,RB95,7,3 out of 5 stars,-
342,13,Melvin Gordon III,BAL,RB96,13,3 out of 5 stars,-29
343,14,Will Levis,TEN,QB35,7,4 out of 5 stars,+178
344,14,KJ Hamler,FA,WR119,-,-,-
345,14,Robert Tonyan,CHI,TE39,13,4 out of 5 stars,-25
346,14,Luke Schoonmaker,DAL,TE40,7,3 out of 5 stars,-42
347,14,Jonnu Smith,ATL,TE41,11,3 out of 5 stars,+154
348,14,DeeJay Dallas,SEA,RB97,5,2 out of 5 stars,-
349,14,Jauan Jennings,SF,WR120,9,3 out of 5 stars,+30
350,14,Albert Okwuegbunam,DEN,TE42,9,4 out of 5 stars,+169
351,14,Eddy Pineiro,CAR,K30,7,3 out of 5 stars,-123
352,14,Ben Skowronek,LAR,WR121,10,3 out of 5 stars,-
353,14,Colt McCoy,ARI,QB36,14,2 out of 5 stars,-
354,14,Kyle Trask,TB,QB37,5,3 out of 5 stars,-
355,14,Noah Brown,HOU,WR122,7,4 out of 5 stars,-
356,14,Adam Trautman,DEN,TE43,9,4 out of 5 stars,+113
357,14,Rodrigo Blankenship,TB,K31,5,2 out of 5 stars,-12
358,14,Jamison Crowder,NYG,WR123,13,3 out of 5 stars,-
359,14,Xavier Hutchinson,HOU,WR124,7,4 out of 5 stars,+113
360,14,Foster Moreau,NO,TE44,11,5 out of 5 stars,-
361,14,A.T. Perry,NO,WR125,11,4 out of 5 stars,+102
362,14,Kenyan Drake,IND,RB98,11,3 out of 5 stars,-
363,14,Salvon Ahmed,MIA,RB99,10,1 out of 5 stars,-
364,14,Mason Crosby,FA,K32,-,-,-25
365,14,Myles Gaskin,MIA,RB100,10,1 out of 5 stars,+151
366,14,Arizona Cardinals,ARI,DST28,14,4 out of 5 stars,-89
367,14,Tyler Scott,CHI,WR126,13,3 out of 5 stars,+136
368,14,Marquez Callaway,DEN,WR127,9,2 out of 5 stars,-
369,14,Olamide Zaccheaus,PHI,WR128,10,3 out of 5 stars,+29
370,14,Kalif Raymond,DET,WR129,9,3 out of 5 stars,+71
371,14,Darnell Washington,PIT,TE45,6,4 out of 5 stars,-104
372,14,Ke'Shawn Vaughn,TB,RB101,5,3 out of 5 stars,-
373,14,Deneric Prince,KC,RB102,10,4 out of 5 stars,-51
374,14,Gardner Minshew II,IND,QB38,11,4 out of 5 stars,+149
375,14,Jarvis Landry,FA,WR130,-,-,-
