player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Kevin Harris,NE,45.9,159.2,1.1,4.1,55.2,0.1,0.1,31.9
John Kelly Jr.,CLE,32.5,140.5,1.0,7.8,57.7,0.3,0.2,33.2
Reggie Gilliam,BUF,4.4,18.5,0.2,9.0,65.9,0.5,0.0,21.1
Alec Ingold,MIA,6.7,17.8,0.2,17.6,128.9,0.9,0.0,31.3
Kirk Merritt,NO,9.1,38.7,0.3,7.4,58.1,0.3,0.1,20.6
Justice Hill,BAL,36.3,150.7,0.6,7.9,51.5,0.3,0.2,31.9
Salvon Ahmed,MIA,59.2,176.5,0.2,4.3,73.6,0.2,0.0,38.3
Brandon Bolden,LV,31.6,136.5,1.2,8.9,69.4,0.3,0.0,34.9
Myles Gaskin,MIA,56.3,161.6,0.2,4.4,83.6,0.2,0.4,38.4
Darrynton Evans,BUF,18.2,54.8,0.2,9.0,67.5,0.5,0.1,23.7
Mohamed Ibrahim,DET,29.5,93.5,0.6,6.0,45.7,0.3,0.1,24.0
Lew Nichols III,GB,33.0,149.0,1.0,4.0,34.0,0.0,0.0,17.0
Tyrion Davis-Price,SF,63.4,236.5,1.2,3.8,82.0,0.2,0.0,43.9
Elijah Dotson,LAC,15.7,65.8,0.6,4.5,32.0,0.2,0.1,18.6
J.J. Taylor,NE,4.4,116.9,0.8,4.5,29.7,0.2,0.1,29.4
Ty'Son Williams,ARI,34.0,168.0,1.0,5.0,34.5,0.2,0.0,20.4
C.J. Ham,MIN,10.5,43.9,0.3,9.9,73.0,0.5,0.0,29.0
Zander Horvath,LAC,8.0,22.0,0.1,9.0,35.1,3.0,0.0,25.5
Snoop Conner,JAC,30.0,123.0,2.0,4.5,32.9,0.2,0.0,20.7
Brittain Brown,LV,30.0,136.0,1.0,4.1,39.0,0.2,0.0,17.1
Royce Freeman,LAR,16.6,117.9,0.6,4.2,29.6,0.2,0.1,27.5
Jonathan Williams,WAS,40.2,170.5,1.0,6.0,40.1,0.3,0.0,31.2
Julius Chestnut,TEN,24.0,74.9,0.2,7.7,57.4,0.3,0.1,20.1
Patrick Ricard,BAL,7.4,22.4,0.2,9.9,55.7,0.7,0.0,27.7
Mike Boone,HOU,33.2,139.1,0.7,3.9,41.5,0.2,0.0,26.6
Trey Sermon,PHI,32.4,105.7,0.2,3.8,36.7,0.2,0.2,23.6
Godwin Igwebuike,ATL,0.0,7.8,0.1,6.6,47.3,0.2,0.0,20.6
Jaleel McLaughlin,DEN,20.8,64.1,0.4,3.8,27.9,0.2,0.1,16.4
La'Mical Perine,KC,4.2,17.6,0.2,5.0,35.6,0.3,0.0,12.9
Hunter Luepke,DAL,0.0,23.2,0.3,4.8,24.9,0.3,0.0,17.7
Jermar Jefferson,DET,4.6,19.4,0.2,4.4,34.4,0.3,0.0,12.2
Trestan Ebner,CHI,29.6,95.2,0.2,3.0,33.0,0.2,0.1,21.0
Qadree Ollison,JAC,4.5,18.8,0.2,4.5,32.1,0.2,0.0,11.5
Jake Funk,IND,8.4,35.3,0.2,3.5,24.8,0.2,0.0,11.0
Ronnie Rivers,LAR,21.1,64.7,0.1,4.1,30.9,0.2,0.1,16.7
