player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,94.0,1144.0,7.9,1.0,272.5
Mark Andrews,BAL,66.0,844.0,5.1,0.6,185.8
T.J. Hockenson,MIN,75.2,792.2,4.9,1.0,180.9
Darren Waller,NYG,60.0,721.1,2.7,0.7,162.1
George Kittle,SF,57.0,716.1,4.5,1.0,163.2
Kyle Pitts,ATL,54.0,737.9,1.8,0.3,152.5
Dallas Goedert,PHI,55.0,637.2,2.8,1.0,149.7
Evan Engram,JAC,59.4,612.1,3.0,0.6,144.6
Pat Freiermuth,PIT,55.8,564.4,3.7,0.5,141.7
Tyler Higbee,LAR,56.4,533.0,1.9,0.3,131.3
Dalton Schultz,HOU,54.0,522.0,3.1,1.0,130.4
David Njoku,CLE,51.0,514.3,3.6,1.0,133.7
Chigoziem Okonkwo,TEN,41.0,515.4,3.4,0.3,120.9
Gerald Everett,LAC,47.4,501.9,2.8,0.8,119.1
Greg Dulcich,DEN,41.7,480.5,2.2,0.3,114.6
Cole Kmet,CHI,41.1,418.4,2.4,0.4,111.2
Dalton Kincaid,BUF,38.7,416.2,3.0,1.0,106.5
Juwan Johnson,NO,38.0,446.1,3.0,0.2,106.8
Irv Smith Jr.,CIN,38.0,348.0,3.0,0.3,102.1
Sam LaPorta,DET,38.7,389.9,2.8,2.0,102.2
Hayden Hurst,CAR,43.0,405.8,2.3,1.0,95.3
Hunter Henry,NE,38.0,423.6,1.6,0.2,94.1
Noah Fant,SEA,37.3,351.9,1.6,0.2,91.4
Zach Ertz,ARI,36.0,344.0,0.8,0.3,91.1
Cade Otton,TB,39.5,413.4,0.3,0.3,93.2
Tyler Conklin,NYJ,35.4,312.2,0.1,0.5,92.2
Dawson Knox,BUF,28.6,306.0,2.4,0.5,87.0
Logan Thomas,WAS,38.5,387.5,0.5,0.3,86.6
Jelani Woods,IND,28.0,317.5,2.0,0.3,78.0
Michael Mayer,LV,33.4,322.8,1.8,1.0,86.8
Mike Gesicki,NE,28.1,309.0,1.6,0.2,75.4
Jake Ferguson,DAL,21.0,214.6,1.5,0.2,86.1
Trey McBride,ARI,26.2,271.3,1.2,0.3,70.1
Luke Musgrave,GB,14.3,136.1,1.0,1.0,69.5
