player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Tampa Bay Buccaneers,,46.6,15.8,11.1,17.4,2.8,0.9,366.6,5523.9,119.2
Pittsburgh Steelers,,47.0,14.9,10.4,15.7,2.7,0.9,359.0,5556.1,115.4
Los Angeles Rams,,45.9,14.4,10.7,15.8,2.7,0.9,365.2,5591.2,114.0
Indianapolis Colts,,42.2,14.1,10.6,17.1,2.9,0.9,382.5,5787.9,110.5
Washington Football Team,,45.9,14.1,10.2,15.6,2.4,0.5,371.2,5566.2,110.2
New Orleans Saints,,43.5,15.0,9.5,13.2,2.5,0.5,374.3,5682.2,108.8
Baltimore Ravens,,38.2,13.5,11.5,18.0,3.0,0.9,349.8,5652.0,108.2
Green Bay Packers,,41.8,15.6,9.2,14.3,2.5,0.5,377.1,5903.9,107.7
Arizona Cardinals,,46.4,12.2,10.6,16.9,2.3,0.9,390.3,5966.0,107.5
Philadelphia Eagles,,44.8,12.6,10.4,16.3,2.5,0.9,406.0,6073.2,107.3
Seattle Seahawks,,41.9,13.9,10.1,14.8,2.4,1.2,388.8,6003.4,106.7
Buffalo Bills,,40.7,14.9,9.9,15.0,2.6,0.2,366.9,5739.8,106.4
New England Patriots,,40.6,15.4,9.1,12.6,2.6,0.5,362.2,5830.0,106.2
Carolina Panthers,,37.4,13.9,11.9,20.3,2.5,0.6,419.2,6060.7,105.4
Kansas City Chiefs,,38.1,14.5,9.6,14.9,2.9,0.5,385.7,5999.9,104.9
Miami Dolphins,,39.4,15.1,8.8,15.7,2.6,0.9,396.1,6194.6,104.7
Cleveland Browns,,39.2,14.0,10.2,15.2,2.4,0.9,388.0,5912.6,104.0
Dallas Cowboys,,38.8,13.1,11.5,19.2,2.6,0.2,407.1,6148.9,103.9
San Francisco 49ers,,41.5,13.1,10.3,16.5,2.5,0.2,375.2,5506.3,103.8
Denver Broncos,,41.1,12.8,9.2,13.9,2.5,0.8,399.5,5877.1,101.7
Los Angeles Chargers,,38.8,13.8,8.9,12.1,2.7,0.5,389.6,5742.8,101.3
New York Giants,,39.3,13.0,10.2,16.8,2.4,0.5,410.7,6092.0,101.2
Atlanta Falcons,,35.0,13.4,10.5,17.4,2.5,0.2,408.0,6303.7,98.1
Minnesota Vikings,,36.0,14.0,9.2,14.7,2.5,0.2,396.4,6139.0,97.5
Chicago Bears,,37.0,12.5,10.4,16.9,2.2,0.5,391.1,5850.1,97.4
Tennessee Titans,,34.9,14.4,9.2,14.6,2.4,0.2,409.7,6190.2,97.3
New York Jets,,36.1,12.4,9.4,15.4,2.2,0.2,431.5,6042.6,93.0
Las Vegas Raiders,,33.3,13.2,9.4,14.1,2.3,0.2,438.7,6187.3,92.9
Jacksonville Jaguars,,33.6,12.6,8.6,12.6,2.4,0.5,448.5,6502.4,91.6
Houston Texans,,35.5,11.1,9.1,13.9,2.1,0.5,460.9,6647.5,89.4
Detroit Lions,,33.8,11.0,8.9,14.1,2.1,0.5,464.8,6655.8,87.1
Cincinnati Bengals,,29.0,13.0,8.9,13.9,2.1,0.5,434.8,6351.1,86.2
