player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Pittsburgh Steelers,,54.4,16.0,19.0,26.0,3.6,1.0,356.0,4681.0,144.0
San Francisco 49ers,,51.8,15.9,17.0,24.0,3.5,0.6,349.7,4652.0,136.8
Los Angeles Rams,,51.1,16.0,16.0,22.0,4.0,1.0,375.7,5007.0,135.5
New England Patriots,,49.1,21.0,14.0,19.0,3.6,2.0,366.2,5012.8,140.7
Baltimore Ravens,,41.4,16.1,15.0,21.0,4.0,1.0,334.7,4676.0,121.1
Philadelphia Eagles,,42.0,17.0,12.0,15.5,3.0,1.0,376.8,5394.0,122.0
Kansas City Chiefs,,44.0,17.0,11.0,15.0,3.3,0.6,365.2,5457.7,124.0
New Orleans Saints,,47.2,14.2,15.0,20.0,3.3,1.0,373.2,5362.0,125.0
Minnesota Vikings,,46.3,15.1,16.0,22.0,3.0,1.0,361.8,5135.0,121.7
Buffalo Bills,,42.7,15.0,12.0,17.7,3.1,1.0,340.1,4503.0,118.3
Tampa Bay Buccaneers,,43.0,14.2,17.0,24.0,3.3,0.7,426.0,4828.0,119.4
Indianapolis Colts,,46.2,15.0,13.0,17.0,2.9,2.0,384.0,5100.0,113.6
Seattle Seahawks,,40.5,16.0,18.0,24.0,3.5,0.6,379.5,5719.2,121.3
Cleveland Browns,,41.2,16.0,12.0,16.0,2.9,1.0,394.0,5607.0,113.5
Green Bay Packers,,43.4,17.8,11.0,15.0,3.0,1.0,370.3,5659.2,114.2
Denver Broncos,,42.0,14.0,12.0,16.0,2.9,1.0,365.0,5088.0,107.5
Dallas Cowboys,,42.6,14.9,15.0,21.0,3.0,0.6,366.3,5251.2,112.6
Washington Football Team,,50.7,15.0,13.0,18.0,2.9,0.5,430.0,5624.0,124.1
Carolina Panthers,,55.3,13.0,12.0,16.0,2.7,2.0,435.0,5264.0,121.5
Jacksonville Jaguars,,41.6,12.7,13.0,18.0,2.7,1.0,450.0,5823.7,104.2
Houston Texans,,38.3,13.7,14.0,19.0,3.0,0.5,402.4,5674.0,102.0
Arizona Cardinals,,43.0,12.6,13.0,18.0,2.8,0.6,431.0,5788.6,106.0
New York Jets,,37.4,14.0,11.0,16.0,3.0,1.0,394.9,5246.0,103.4
Chicago Bears,,39.0,14.0,13.0,18.0,3.0,1.0,363.1,4993.0,109.4
Tennessee Titans,,38.4,14.6,12.0,16.0,3.1,0.5,362.7,5129.0,108.6
Cincinnati Bengals,,38.6,15.0,10.0,14.0,2.9,1.0,437.0,5664.7,102.7
New York Giants,,38.0,16.0,11.0,13.0,2.7,1.0,435.0,5628.0,102.0
Las Vegas Raiders,,38.8,16.0,10.4,13.1,2.8,1.0,425.0,5788.8,102.5
Detroit Lions,,38.8,12.3,13.0,18.0,3.2,0.5,424.0,5588.0,103.1
Los Angeles Chargers,,36.9,13.4,9.4,11.0,3.0,0.6,381.6,5079.0,103.6
Atlanta Falcons,,36.0,13.8,11.0,15.0,2.9,0.6,431.0,5840.0,98.1
Miami Dolphins,,37.9,16.0,9.6,14.7,3.0,1.0,437.0,5613.0,98.5
