player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Chicago Bears,,47.0,18.0,12.0,16.7,4.6,1.0,332.0,5081.6,140.9
Los Angeles Rams,,43.9,18.3,11.0,13.8,3.8,1.0,365.0,5534.5,136.2
Baltimore Ravens,,46.0,18.0,10.4,12.0,5.1,0.6,342.8,4972.0,156.6
Cleveland Browns,,42.4,17.7,11.0,14.4,3.7,0.6,397.0,5317.8,130.6
New Orleans Saints,,48.0,15.8,11.3,15.2,2.8,1.0,356.2,5518.7,118.3
Philadelphia Eagles,,44.1,14.9,11.0,13.7,3.5,2.0,355.2,5422.4,122.4
Los Angeles Chargers,,41.0,18.2,11.2,10.5,3.5,1.0,348.0,5374.4,136.0
Minnesota Vikings,,45.0,18.6,9.5,10.7,4.4,1.0,345.2,5144.0,140.9
Pittsburgh Steelers,,47.0,15.2,10.3,12.6,3.4,0.6,375.0,5452.1,129.8
New England Patriots,,39.6,16.5,10.6,11.6,3.6,1.0,344.0,5267.5,126.4
Jacksonville Jaguars,,44.0,16.6,11.1,10.1,3.4,1.0,366.3,5212.5,130.1
Carolina Panthers,,48.1,15.0,10.5,15.4,3.7,1.0,387.5,5598.4,109.5
Indianapolis Colts,,41.0,15.5,12.0,15.4,3.7,1.0,389.6,5515.6,110.4
Buffalo Bills,,38.6,16.9,10.6,15.3,3.2,0.5,366.0,4924.8,128.2
Denver Broncos,,41.1,14.0,11.6,13.3,3.0,1.0,375.0,5466.9,118.7
Houston Texans,,40.0,14.4,11.0,15.4,4.0,0.6,380.8,5689.3,120.0
Kansas City Chiefs,,44.9,14.6,11.0,12.6,3.1,1.0,412.7,5962.5,107.0
Arizona Cardinals,,43.0,16.0,10.1,15.3,3.5,1.0,413.1,5675.2,117.5
Seattle Seahawks,,41.0,14.3,12.0,11.9,3.1,0.6,376.3,5409.9,115.5
Washington Redskins,,46.7,16.0,9.7,13.8,3.5,0.5,384.3,5687.8,119.2
Dallas Cowboys,,39.0,14.7,13.0,13.2,2.8,0.6,352.9,5487.5,120.5
Tennessee Titans,,41.4,14.9,8.9,13.0,3.0,0.5,371.9,5379.2,108.1
Atlanta Falcons,,38.8,14.2,9.3,14.3,2.8,1.0,449.7,5819.1,99.2
New York Jets,,35.8,15.3,10.5,12.4,2.8,1.0,419.0,5679.4,108.7
Green Bay Packers,,41.0,16.5,10.0,9.1,2.9,0.5,419.8,5714.1,101.1
New York Giants,,37.8,15.7,10.6,10.4,3.3,1.0,425.0,5793.1,107.7
San Francisco 49ers,,42.5,12.8,10.2,14.2,3.2,0.5,441.5,5752.0,97.3
Detroit Lions,,38.4,13.0,10.6,11.6,3.0,1.0,416.7,5534.4,98.3
Cincinnati Bengals,,35.1,15.5,10.9,10.2,3.3,0.5,425.0,5806.1,112.5
Tampa Bay Buccaneers,,36.2,13.2,11.0,11.5,2.7,1.0,451.0,6097.1,95.2
Miami Dolphins,,33.5,13.4,8.8,9.3,3.2,1.0,427.3,6093.3,104.0
Oakland Raiders,,33.2,12.5,9.6,9.5,2.8,0.4,450.7,6094.2,88.8
