player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Josh Allen,BUF,573.8,368.4,4098.7,32.1,18.0,103.0,483.0,6.0,4.6,370.3
Patrick Mahomes II,KC,614.0,394.1,4601.5,33.6,14.0,62.2,300.0,2.0,4.1,348.3
Justin Herbert,LAC,578.1,378.4,4253.8,31.8,16.0,58.0,270.0,3.0,2.9,321.8
Lamar Jackson,BAL,459.0,298.0,3396.0,22.0,17.0,145.0,821.3,4.0,4.7,310.2
Kyler Murray,ARI,534.0,358.0,4004.0,25.0,15.0,96.6,471.0,3.4,5.0,310.1
Jalen Hurts,PHI,448.8,276.6,3297.4,21.0,15.0,131.0,716.8,5.5,4.8,316.1
Tom Brady,TB,622.0,417.0,4532.2,34.0,14.0,23.9,14.3,0.9,3.4,303.8
Dak Prescott,DAL,554.0,377.0,4267.0,31.0,14.1,51.0,195.6,2.0,6.0,311.7
Joe Burrow,CIN,549.9,367.0,4188.0,29.8,16.1,28.0,122.0,2.0,3.5,290.4
Matthew Stafford,LAR,573.5,379.5,4325.7,31.7,18.0,25.0,52.0,0.0,3.4,282.8
Aaron Rodgers,GB,541.0,368.0,3952.0,30.0,10.1,35.6,101.6,1.4,3.1,304.0
Trey Lance,SF,434.0,269.0,3337.0,22.0,16.0,113.3,518.6,4.0,4.0,279.7
Russell Wilson,DEN,516.0,336.0,3944.3,26.2,10.1,58.9,200.0,2.0,4.2,277.0
Kirk Cousins,MIN,549.0,368.0,4109.8,28.7,13.0,22.1,88.6,1.0,4.8,265.9
Derek Carr,LV,558.0,374.0,4185.4,26.0,18.0,32.1,102.4,1.0,5.0,256.7
Tua Tagovailoa,MIA,532.3,347.0,3742.2,23.0,17.0,50.5,146.0,2.2,4.3,250.5
Ryan Tannehill,TEN,506.0,331.0,3608.8,22.0,17.0,47.0,213.0,2.9,4.1,249.3
Trevor Lawrence,JAC,554.0,338.0,3766.0,19.2,15.0,63.6,275.0,2.0,4.2,254.3
Justin Fields,CHI,468.0,281.0,3275.0,17.0,21.0,99.0,513.0,2.7,7.0,249.6
Daniel Jones,NYG,497.0,313.0,3277.0,19.0,18.0,57.0,316.0,1.0,6.0,242.2
Matt Ryan,IND,522.0,336.0,3713.0,23.1,12.0,24.2,74.0,0.9,5.0,235.9
Mac Jones,NE,506.0,336.0,3694.0,22.0,20.0,38.8,107.0,0.0,3.6,217.8
Jameis Winston,NO,358.0,222.0,2579.0,17.0,15.0,38.6,165.7,1.0,4.0,221.5
Carson Wentz,WAS,524.5,334.0,3501.0,19.0,14.0,53.0,209.0,1.0,6.0,226.9
Jared Goff,DET,538.0,350.0,3766.0,21.9,14.0,26.5,38.3,0.8,6.0,229.1
Zach Wilson,NYJ,516.0,304.0,2773.9,16.1,16.0,38.0,189.3,1.6,3.6,193.7
Baker Mayfield,CAR,495.0,302.0,3233.4,17.6,17.0,41.2,119.0,1.0,3.7,208.4
Davis Mills,HOU,524.0,341.0,3543.0,18.1,19.0,27.0,65.0,0.0,3.7,194.4
