player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,CAR,309.7,1413.9,9.4,101.0,850.0,5.0,0.0,391.7
Jonathan Taylor,IND,372.6,1837.9,17.0,48.0,416.0,3.0,1.4,374.3
Austin Ekeler,LAC,267.2,1207.9,11.2,81.0,747.0,8.0,0.0,361.8
Derrick Henry,TEN,404.7,2054.4,17.0,35.0,289.0,1.5,0.8,345.1
Alvin Kamara,NO,265.2,1168.0,11.0,67.0,577.0,5.0,0.0,299.7
Najee Harris,PIT,319.0,1291.1,9.3,77.0,476.0,3.0,0.0,301.8
Joe Mixon,CIN,308.6,1344.7,11.0,56.6,487.1,3.0,1.0,291.0
Dalvin Cook,MIN,323.0,1440.0,11.0,55.6,398.0,3.0,1.5,300.7
Leonard Fournette,TB,269.8,1090.3,10.0,79.0,582.0,3.0,0.0,282.9
Aaron Jones,GB,223.1,1092.2,8.8,72.8,673.2,5.0,0.5,286.5
D'Andre Swift,DET,269.5,1223.1,9.4,83.0,624.0,3.0,1.3,303.1
Saquon Barkley,NYG,287.3,1252.4,8.4,64.0,449.0,3.0,0.6,289.6
James Conner,ARI,250.4,1058.0,11.1,48.9,440.8,3.0,0.6,256.5
Javonte Williams,DEN,251.9,1125.3,11.0,50.4,440.0,4.0,1.1,255.3
David Montgomery,CHI,257.0,1029.0,8.4,54.0,398.0,2.4,0.5,249.9
Nick Chubb,CLE,266.9,1362.0,11.5,27.3,223.6,1.3,0.9,251.5
Ezekiel Elliott,DAL,267.9,1141.7,9.5,45.0,347.7,2.7,0.9,252.9
Cam Akers,LAR,270.4,1103.1,8.0,38.0,341.0,2.6,1.8,227.6
Breece Hall,NYJ,248.0,1065.0,6.6,52.0,440.0,2.0,1.1,216.0
Josh Jacobs,LV,236.6,1075.2,9.0,46.6,317.2,2.0,0.9,225.5
J.K. Dobbins,BAL,218.0,1059.0,10.0,36.6,273.7,3.0,0.0,223.4
Elijah Mitchell,SF,278.0,1125.0,8.0,40.0,295.0,2.0,0.0,208.7
Antonio Gibson,WAS,224.0,1027.8,8.3,47.0,340.0,2.0,1.5,219.0
Miles Sanders,PHI,220.7,1214.9,7.4,36.0,259.0,1.7,1.0,224.9
Damien Harris,NE,228.1,1033.9,11.0,22.9,186.5,1.0,0.8,202.0
Cordarrelle Patterson,ATL,152.0,812.7,5.9,50.2,502.0,4.0,0.0,225.7
Tony Pollard,DAL,171.0,873.0,4.7,54.0,446.0,3.0,0.0,198.9
Travis Etienne Jr.,JAC,221.0,995.0,7.0,55.0,454.0,2.3,0.3,205.7
Clyde Edwards-Helaire,KC,204.0,879.9,6.0,37.0,283.3,2.2,0.8,187.2
Devin Singletary,BUF,201.2,922.5,7.7,38.0,282.2,1.8,0.7,206.4
AJ Dillon,GB,190.0,842.4,8.0,45.0,364.0,2.0,0.7,192.3
Rhamondre Stevenson,NE,194.2,835.2,10.0,46.0,379.0,2.0,0.1,185.7
Chase Edmonds,MIA,189.9,838.6,4.9,60.0,406.0,2.0,0.0,189.0
