player,team,fgm,fga,xpm,fp_projection
Justin Tucker,BAL,26.1,32.0,45.7,127.7
Harrison Butker,KC,26.0,30.0,34.3,112.3
Greg Zuerlein,DAL,22.1,30.1,37.9,110.3
Tyler Bass,BUF,23.2,31.8,34.9,104.6
Younghoe Koo,ATL,24.1,30.2,30.8,117.6
Jason Myers,SEA,24.0,27.0,42.0,119.0
Jason Sanders,MIA,25.6,31.0,31.1,113.4
Daniel Carlson,LV,24.7,30.0,37.6,117.9
Rodrigo Blankenship,IND,24.9,32.0,24.3,99.1
Mason Crosby,GB,19.0,20.0,49.0,111.0
Matt Gay,LAR,23.8,31.0,33.2,112.6
Robbie Gould,SF,23.0,27.0,39.6,111.0
Matt Prater,ARI,24.9,30.0,36.0,110.7
Brandon McManus,DEN,23.8,29.0,31.4,107.0
Greg Joseph,MIN,23.0,28.0,41.4,112.0
Chase McLaughlin,CLE,22.0,26.0,37.9,105.0
Cairo Santos,CHI,24.0,30.8,32.0,114.4
Sam Ficken,TEN,22.0,27.0,31.9,110.0
Tristan Vizcaino,LAC,23.2,30.0,32.5,102.3
Graham Gano,NYG,23.4,28.0,28.1,103.9
Chris Boswell,PIT,23.0,26.0,31.9,109.0
Dustin Hopkins,WAS,25.2,31.0,28.9,104.6
Evan McPherson,CIN,23.0,31.0,29.9,100.1
Ryan Santoso,CAR,24.0,30.0,31.2,108.0
Quinn Nordin,NE,23.3,28.0,24.5,94.4
Ka'imi Fairbairn,HOU,23.0,28.0,30.0,99.0
Austin Seibert,DET,20.0,24.0,27.0,93.0
Josh Lambo,JAC,20.0,24.0,26.6,93.0
Ryan Succop,TB,1.5,28.0,3.3,7.7
Matt Ammendola,NYJ,19.0,21.0,27.6,86.0
Jake Elliott,PHI,18.0,21.0,10.1,87.0
Wil Lutz,NO,0.0,0.0,0.0,0.0
Nick Folk,NE,0.0,0.0,0.0,0.0
Brett Maher,NO,0.0,0.0,0.0,0.0
Cody Parkey,CLE,0.0,0.0,0.0,0.0
