player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Tampa Bay Buccaneers,,38.3,12.3,8.6,15.3,2.2,0.0,345.4,5794.6,107.1
Buffalo Bills,,40.0,11.8,7.7,12.8,2.0,0.0,313.0,5672.2,103.3
Pittsburgh Steelers,,42.7,11.5,9.1,15.1,2.0,0.0,377.0,6044.8,101.1
Green Bay Packers,,40.8,12.1,8.0,12.4,2.3,0.0,340.5,5761.2,100.7
Dallas Cowboys,,35.7,11.8,8.4,15.3,2.4,0.0,324.8,5958.4,104.2
Los Angeles Rams,,41.3,11.8,8.2,12.5,2.4,0.0,345.0,6002.6,99.4
New Orleans Saints,,43.1,12.6,7.7,11.9,2.0,0.0,245.0,5814.0,100.5
Miami Dolphins,,41.6,11.7,7.5,14.4,2.0,0.0,360.0,5904.0,100.3
San Francisco 49ers,,40.0,12.0,8.5,13.6,2.0,0.0,326.0,5837.5,101.1
Los Angeles Chargers,,40.7,11.5,8.8,17.1,2.0,0.0,359.8,5989.5,102.0
Indianapolis Colts,,28.6,11.8,8.5,13.5,2.0,0.0,343.0,5917.4,100.1
New England Patriots,,36.5,12.0,8.3,12.8,2.0,0.0,315.0,5979.0,98.0
Minnesota Vikings,,37.0,11.3,7.0,12.5,2.0,0.0,371.0,5999.1,93.0
Cleveland Browns,,41.4,12.0,8.0,13.0,2.0,0.0,357.0,5879.4,98.0
Kansas City Chiefs,,31.0,11.3,8.0,13.9,2.4,0.0,349.8,6148.0,97.1
Arizona Cardinals,,36.2,12.0,8.3,15.8,1.0,0.0,368.1,6047.2,96.9
Denver Broncos,,38.7,11.0,8.0,13.6,2.0,0.0,365.5,6009.0,99.0
Tennessee Titans,,37.0,10.9,7.0,12.1,2.0,0.0,287.0,5927.9,91.0
Cincinnati Bengals,,34.0,12.0,6.0,14.3,1.0,0.0,356.9,5931.2,78.0
Washington Commanders,,38.3,11.6,8.0,13.7,2.0,0.0,370.9,6000.0,98.0
Baltimore Ravens,,31.4,10.0,8.0,15.0,2.0,0.0,325.0,5979.8,92.0
Chicago Bears,,38.8,9.0,8.8,14.5,1.0,0.0,376.7,5965.6,92.0
Carolina Panthers,,35.0,10.0,8.1,12.4,2.0,0.0,400.2,5870.6,89.0
Philadelphia Eagles,,33.1,11.0,6.0,13.0,2.4,0.0,357.2,5976.2,90.1
New York Giants,,34.4,10.9,7.8,11.9,1.0,0.0,370.0,6179.2,85.0
Seattle Seahawks,,25.8,12.0,7.9,12.0,1.0,0.0,358.5,6202.0,85.4
Houston Texans,,30.0,10.6,7.0,12.7,1.0,0.0,397.8,6626.0,74.0
Jacksonville Jaguars,,33.0,10.0,7.0,11.0,1.0,0.0,404.9,6513.6,81.0
Las Vegas Raiders,,33.0,9.0,8.0,13.8,1.0,0.0,398.0,5967.4,75.0
New York Jets,,27.0,9.0,6.0,15.0,1.0,0.0,408.2,6622.4,63.0
Detroit Lions,,27.0,8.0,7.0,12.3,1.0,0.0,400.3,6624.0,71.0
Atlanta Falcons,,19.2,12.0,8.1,12.5,1.0,0.0,418.5,6460.8,75.0
