player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,CAR,351.8,1617.1,13.0,109.0,935.0,5.0,0.0,428.7
Dalvin Cook,MIN,334.5,1572.0,15.0,64.1,556.0,3.3,1.8,360.6
Alvin Kamara,NO,234.0,1197.5,11.8,89.0,793.1,5.1,0.6,366.7
Derrick Henry,TEN,374.0,1920.0,15.4,27.4,210.1,1.4,1.3,324.1
Austin Ekeler,LAC,215.8,1007.2,7.2,91.2,857.0,7.0,0.7,317.3
Aaron Jones,GB,278.6,1307.4,11.9,56.4,431.5,3.0,0.6,303.6
Saquon Barkley,NYG,280.0,1263.9,10.4,63.2,472.5,2.8,0.0,307.1
Ezekiel Elliott,DAL,298.0,1283.7,10.1,62.0,503.5,3.8,1.8,309.4
Joe Mixon,CIN,288.2,1267.4,8.8,55.6,419.5,5.0,0.5,285.7
Jonathan Taylor,IND,299.8,1373.1,13.9,49.0,384.0,2.0,0.9,297.1
Najee Harris,PIT,287.8,1343.7,10.9,62.0,463.0,3.0,1.2,291.4
Nick Chubb,CLE,310.4,1643.0,13.0,36.6,305.3,1.6,0.9,286.2
D'Andre Swift,DET,235.0,1079.2,10.1,65.2,586.8,2.5,1.6,280.9
Antonio Gibson,WAS,284.8,1295.7,10.8,50.2,377.5,2.1,0.0,284.4
Chris Carson,SEA,278.3,1259.5,8.5,47.7,362.0,3.0,1.0,271.1
Clyde Edwards-Helaire,KC,253.2,1155.9,8.6,58.5,428.0,3.3,0.0,279.1
David Montgomery,CHI,302.9,1312.5,10.9,44.8,389.4,2.0,0.9,275.6
Miles Sanders,PHI,258.2,1200.7,9.5,47.4,405.8,2.3,1.6,266.9
James Robinson,JAC,249.1,1086.7,7.7,54.3,397.6,2.2,0.0,248.5
Mike Davis,ATL,259.7,1103.0,8.1,67.0,422.0,3.0,0.8,242.6
Josh Jacobs,LV,265.6,1190.2,10.6,34.2,262.0,1.4,1.0,245.7
Chase Edmonds,ARI,184.0,792.6,7.3,61.0,556.1,4.0,0.0,221.6
Myles Gaskin,MIA,220.0,992.4,7.8,49.5,444.4,3.0,0.9,246.6
Darrell Henderson,LAR,256.0,1122.0,8.5,35.0,286.0,2.0,0.0,211.5
Gus Edwards,BAL,270.4,1265.4,12.2,25.1,202.4,1.0,1.1,223.6
Kareem Hunt,CLE,173.0,773.0,7.0,41.8,354.6,3.0,0.0,202.9
Damien Harris,NE,243.1,1253.0,8.2,20.8,165.5,0.8,0.2,190.6
Raheem Mostert,SF,164.0,909.9,7.4,27.0,244.0,2.0,0.8,188.6
Melvin Gordon III,DEN,204.0,1191.2,8.4,34.9,271.4,1.2,1.8,222.9
Javonte Williams,DEN,204.4,904.4,8.0,30.9,249.0,1.3,0.5,188.8
Leonard Fournette,TB,171.8,734.5,7.0,38.0,296.5,1.3,0.0,162.8
Kenyan Drake,LV,155.0,626.0,6.0,51.4,378.8,1.9,0.7,158.2
J.D. McKissic,WAS,84.0,388.0,2.1,72.0,517.0,2.0,0.1,157.8
David Johnson,HOU,107.0,682.1,4.8,38.2,370.6,3.0,0.0,180.2
James Conner,ARI,171.0,873.0,7.0,34.4,288.6,1.0,0.7,176.8
Zack Moss,BUF,178.0,785.0,6.2,34.0,243.9,1.6,0.2,167.4
Nyheim Hines,IND,80.0,378.1,3.2,53.3,408.1,2.6,0.0,156.5
Jamaal Williams,DET,156.9,647.1,4.0,45.0,303.0,2.0,0.0,149.9
James White,NE,63.0,259.0,2.3,55.0,460.0,3.0,0.0,154.0
Ronald Jones II,TB,176.6,792.4,6.0,18.0,142.0,0.8,0.4,140.8
Devin Singletary,BUF,138.0,637.0,3.8,37.0,282.8,1.7,0.5,146.0
Sony Michel,LAR,178.9,761.4,6.3,23.4,188.8,1.0,0.4,149.1
Tony Pollard,DAL,132.0,582.0,4.0,41.9,334.5,2.0,0.3,139.0
Trey Sermon,SF,188.3,850.3,8.4,21.4,170.0,1.2,0.4,174.7
Michael Carter,NYJ,185.0,755.0,4.0,32.0,279.0,1.5,0.4,160.1
Phillip Lindsay,HOU,152.0,676.0,4.0,33.0,193.0,1.0,0.3,133.8
AJ Dillon,GB,160.0,727.0,5.7,26.4,205.0,1.2,0.4,135.0
Tevin Coleman,NYJ,172.0,585.8,4.0,21.5,159.0,0.7,0.0,114.1
Giovani Bernard,TB,105.0,334.0,3.0,48.5,361.5,3.0,0.3,137.2
Damien Williams,CHI,101.0,421.6,5.0,26.0,241.8,2.0,0.3,121.0
