player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,SF,273.0,1290.4,11.6,69.9,567.5,4.8,1.7,351.0
Breece Hall,NYJ,249.2,1129.3,8.1,66.8,529.6,3.8,1.4,301.5
Bijan Robinson,ATL,243.9,1112.7,7.4,65.5,534.7,4.3,2.2,295.9
Saquon Barkley,PHI,269.3,1138.5,9.1,48.0,344.2,3.0,1.7,265.4
Jonathan Taylor,IND,283.3,1269.5,10.1,37.2,278.8,1.6,1.4,259.3
Jahmyr Gibbs,DET,202.5,940.7,8.4,54.6,389.8,2.2,1.4,248.6
Kyren Williams,LAR,254.5,1148.2,10.2,35.5,259.3,2.0,1.7,246.0
Alvin Kamara,NO,203.4,798.2,5.2,68.7,486.3,2.3,0.9,240.7
Travis Etienne Jr.,JAC,250.0,1024.9,8.2,46.1,358.1,1.2,1.3,238.0
Rachaad White,TB,238.8,925.0,6.5,53.5,403.4,2.4,1.7,236.7
Isiah Pacheco,KC,238.6,1065.8,8.5,41.0,273.7,2.0,1.4,235.2
James Cook,BUF,236.2,1049.3,5.2,45.0,382.4,2.8,1.4,233.5
Derrick Henry,BAL,266.6,1193.9,11.2,24.4,195.5,0.9,1.0,233.5
De'Von Achane,MIA,175.1,907.4,7.3,45.6,348.2,2.9,0.9,230.0
Josh Jacobs,GB,249.6,1034.9,8.2,38.5,292.9,1.1,1.0,225.3
Joe Mixon,HOU,247.0,969.1,7.6,40.0,303.7,2.2,0.9,224.3
Kenneth Walker III,SEA,240.3,1004.1,8.9,29.1,224.9,1.0,0.9,209.9
Aaron Jones,MIN,186.1,857.8,5.4,43.2,317.4,2.0,1.0,203.0
Rhamondre Stevenson,NE,213.0,883.7,5.7,41.8,285.9,0.8,1.0,196.2
Zamir White,LV,235.1,987.7,5.7,32.9,230.2,0.8,1.3,191.3
David Montgomery,DET,202.7,892.7,9.8,22.4,168.0,0.8,0.9,190.4
James Conner,ARI,201.7,883.5,6.7,32.6,222.6,1.4,0.9,189.8
Najee Harris,PIT,241.3,962.1,6.7,29.0,182.7,1.2,1.0,188.7
Jaylen Warren,PIT,141.9,683.8,3.9,48.3,329.8,1.7,1.4,180.8
Javonte Williams,DEN,197.8,813.6,4.6,40.3,242.0,1.5,0.9,180.5
D'Andre Swift,CHI,178.3,810.2,5.2,36.1,248.5,1.6,1.0,180.5
Raheem Mostert,MIA,168.7,804.3,8.5,25.0,175.8,1.3,1.0,179.6
Tony Pollard,TEN,190.2,821.5,5.6,33.9,234.0,0.8,0.9,176.4
Devin Singletary,NYG,196.2,847.2,5.0,33.0,213.4,0.7,1.0,170.9
Brian Robinson Jr.,WAS,184.5,773.7,5.3,28.8,243.4,1.8,1.4,170.2
Austin Ekeler,WAS,124.1,516.4,4.1,46.9,373.7,2.0,1.7,169.4
Tyjae Spears,TEN,142.8,624.2,3.6,43.3,337.4,1.5,0.9,168.5
Zack Moss,CIN,169.5,734.4,5.8,28.7,199.0,1.4,0.5,164.2
Chase Brown,CIN,141.1,613.3,4.0,37.3,304.6,1.9,0.6,163.2
Ezekiel Elliott,DAL,172.6,670.6,5.7,29.4,195.8,1.3,1.0,156.4
Gus Edwards,LAC,186.0,794.7,7.1,15.2,132.0,0.4,1.3,149.8
Nick Chubb,CLE,160.1,765.8,5.4,18.5,146.3,0.6,0.9,144.2
Jonathon Brooks,CAR,161.2,701.3,4.6,23.7,182.3,0.9,1.6,142.0
Jerome Ford,CLE,147.8,580.6,3.6,30.6,218.0,1.8,0.8,141.6
J.K. Dobbins,LAC,134.0,565.9,3.9,23.9,180.2,1.5,0.9,129.0
Antonio Gibson,NE,115.8,441.9,2.3,37.9,284.6,1.2,1.4,128.9
Zach Charbonnet,SEA,115.3,498.7,3.0,32.8,222.3,0.8,0.8,126.3
Ty Chandler,MIN,145.8,595.9,4.3,20.6,151.6,0.6,0.8,123.6
Chuba Hubbard,CAR,139.9,562.8,3.6,25.6,176.9,0.5,0.9,122.6
Tyler Allgeier,ATL,134.3,555.2,3.8,21.3,169.2,1.2,0.8,122.1
Rico Dowdle,DAL,138.5,538.5,3.5,22.7,173.7,1.2,0.4,121.5
Blake Corum,LAR,130.6,548.7,4.2,19.3,149.7,0.8,1.5,115.9
Jaleel McLaughlin,DEN,97.8,471.8,2.6,28.3,183.5,1.0,0.8,113.6
Trey Benson,ARI,130.8,567.3,3.9,17.9,131.2,0.8,1.5,112.8
Khalil Herbert,CHI,147.8,596.8,3.4,16.6,114.6,0.9,0.8,111.5
MarShawn Lloyd,GB,102.3,405.4,3.2,16.4,130.7,1.0,1.1,92.8
Alexander Mattison,LV,113.7,420.7,2.6,14.5,96.6,1.0,0.9,85.9
Ray Davis,BUF,85.1,368.0,2.8,16.1,132.2,0.6,1.2,84.0
Clyde Edwards-Helaire,KC,76.0,297.8,1.9,19.4,164.7,1.3,0.5,83.7
Kendre Miller,NO,74.5,316.5,2.3,18.3,153.4,0.9,0.8,83.4
Jamaal Williams,NO,107.5,400.5,2.9,16.1,91.4,0.2,0.5,83.1
Bucky Irving,TB,96.5,367.4,2.5,14.8,120.8,0.7,1.4,80.1
Braelon Allen,NYJ,99.9,397.1,2.9,11.1,86.1,0.7,0.8,79.6
Tyrone Tracy Jr.,NYG,92.4,365.5,2.4,14.2,104.6,0.7,1.1,77.9
Miles Sanders,CAR,105.7,380.5,1.8,16.2,101.2,0.2,1.2,74.0
Elijah Mitchell,SF,94.9,391.6,3.1,9.2,59.4,0.2,0.7,72.5
Roschon Johnson,CHI,67.7,265.3,2.0,17.1,114.9,0.4,0.8,68.4
Jaylen Wright,MIA,57.8,266.7,2.2,12.0,99.6,0.7,0.8,64.8
Dameon Pierce,HOU,83.1,336.2,2.3,9.9,72.5,0.2,0.5,64.8
Kenneth Gainwell,PHI,62.1,245.6,1.8,16.7,117.5,0.4,1.2,64.1
Tank Bigsby,JAC,101.5,331.9,3.4,8.2,56.5,0.2,2.2,64.1
D'Onta Foreman,CLE,71.1,298.5,2.3,8.5,68.4,0.6,0.1,62.5
Samaje Perine,DEN,42.3,180.9,1.1,20.3,156.0,0.6,1.1,61.9
Keaton Mitchell,BAL,63.3,297.8,2.0,10.5,85.4,0.3,0.7,60.9
Justice Hill,BAL,57.8,231.1,1.6,14.1,104.0,0.5,0.8,58.2
AJ Dillon,GB,64.0,261.3,2.0,10.5,89.9,0.1,0.4,57.4
Kimani Vidal,LAC,44.1,239.1,1.6,12.7,89.0,0.3,0.1,56.7
Chase Edmonds,TB,55.4,199.0,1.2,13.7,95.1,0.2,0.1,51.0
Emari Demercado,ARI,31.9,141.5,1.1,16.2,107.1,0.4,0.5,49.5
Carson Steele,KC,42.8,160.1,1.2,12.8,110.6,0.4,0.4,48.9
Audric Estime,DEN,56.9,239.7,1.6,8.7,64.2,0.4,1.1,48.7
Eric Gray,NYG,39.6,206.8,1.4,10.8,73.7,0.2,0.1,48.4
Ty Johnson,BUF,35.8,154.3,1.0,11.2,93.6,0.6,0.2,45.3
Will Shipley,PHI,36.3,191.1,1.6,7.5,55.4,0.4,0.1,43.9
Trey Sermon,IND,44.5,228.7,1.2,6.5,44.5,0.1,0.1,41.6
Evan Hull,IND,34.6,155.6,1.0,9.0,64.4,0.5,0.1,39.8
Isaiah Davis,NYJ,65.5,193.8,1.4,6.5,47.1,0.2,0.1,39.8
Dylan Laube,LV,26.4,157.9,1.1,9.1,64.9,0.1,0.1,38.8
Kyle Juszczyk,SF,5.6,20.2,0.1,14.2,136.7,1.1,0.0,37.0
Royce Freeman,DAL,56.5,169.8,1.3,5.9,40.0,0.2,0.1,35.8
Jordan Mason,SF,33.1,183.0,1.6,4.2,29.1,0.1,0.0,35.1
Isaac Guerendo,SF,29.9,167.4,1.3,5.2,43.0,0.1,0.0,34.5
Cordarrelle Patterson,PIT,26.8,121.0,0.9,7.9,60.1,0.2,0.1,32.7
Deuce Vaughn,DAL,25.0,105.2,0.9,8.4,63.0,0.4,0.4,32.3
Kendall Milton,PHI,34.0,145.0,2.0,2.0,25.0,0.0,0.0,31.0
Jase McClellan,ATL,31.2,129.2,1.0,5.4,43.7,0.4,0.0,30.9
Ameer Abdullah,LV,26.8,102.6,0.2,10.7,78.4,0.1,0.0,30.7
Michael Carter,ARI,25.9,113.9,0.8,8.3,54.2,0.1,0.1,30.4
Chris Rodriguez Jr.,WAS,14.4,119.7,0.9,7.1,50.4,0.2,0.1,30.4
Nyheim Hines,CLE,22.9,71.1,0.5,10.8,80.9,0.2,0.1,30.3
Andrew Beck,HOU,3.7,9.5,0.7,9.9,87.8,1.5,1.5,29.6
Deneric Prince,KC,16.7,136.7,1.0,5.5,40.6,0.1,0.0,29.6
Rasheen Ali,BAL,26.4,149.0,1.2,3.9,31.0,0.1,0.0,29.1
Jawhar Jordan,HOU,0.0,134.0,1.0,4.0,30.0,0.0,0.0,26.4
DeWayne McBride,MIN,0.0,125.0,1.0,4.0,30.0,0.0,0.0,25.5
D'Ernest Johnson,JAC,31.8,113.8,0.5,5.5,39.2,0.1,0.1,24.4
Blake Watson,DEN,0.0,108.0,1.0,4.0,29.0,0.0,0.0,23.7
Ronnie Rivers,LAR,27.2,109.4,0.7,4.6,33.3,0.1,0.0,23.5
Jeremy McNichols,WAS,14.1,56.8,0.0,8.0,65.0,0.5,0.0,23.5
Daijun Edwards,PIT,31.0,132.0,1.0,2.0,21.0,0.0,0.0,23.3
Isaiah Spiller,LAC,30.7,99.4,0.7,4.8,30.1,0.1,0.0,22.8
Craig Reynolds,DET,21.6,102.3,0.8,4.1,33.4,0.1,0.1,22.7
Kevin Harris,NE,5.9,99.6,0.8,4.6,34.0,0.0,0.0,22.7
Dare Ogunbowale,HOU,16.7,60.4,0.2,8.1,59.4,0.2,0.1,22.3
Hunter Luepke,DAL,8.7,31.2,1.4,5.7,39.4,0.2,0.0,22.3
Trayveon Williams,CIN,26.2,89.2,0.6,4.8,31.3,0.1,0.1,20.8
Kenny McIntosh,SEA,27.6,82.4,0.4,5.1,36.4,0.2,0.1,20.3
Nick Bawden,HOU,5.4,17.6,2.1,2.5,21.0,0.1,0.0,19.4
Pierre Strong Jr.,CLE,19.2,103.1,0.7,2.7,19.9,0.0,0.0,19.2
Jeff Wilson Jr.,MIA,16.7,89.7,0.7,3.0,21.7,0.1,0.0,18.9
Julius Chestnut,TEN,14.9,62.2,0.4,5.3,37.7,0.2,0.2,18.3
Emanuel Wilson,GB,2.2,70.5,0.5,4.1,29.9,0.1,0.0,17.6
Jordan Mims,NO,0.0,68.0,1.0,3.0,18.0,0.0,0.0,17.6
Jaret Patterson,LAC,16.7,71.0,0.4,4.0,27.6,0.1,0.1,16.7
Emani Bailey,KC,29.0,87.5,0.5,2.5,23.0,0.0,0.0,16.6
Tyler Goodson,IND,2.4,61.4,0.5,4.0,28.7,0.1,0.0,16.4
Joshua Kelley,NYG,2.2,71.2,0.5,3.5,24.0,0.0,0.0,16.0
