player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Pittsburgh Steelers,,47.3,14.4,13.0,21.9,2.8,0.9,318.1,5128.4,120.4
San Francisco 49ers,,45.5,14.0,12.5,21.6,3.0,0.2,318.8,5073.8,116.6
Los Angeles Rams,,44.4,13.8,11.2,17.7,3.0,0.5,353.3,5409.9,113.8
New England Patriots,,41.2,15.4,10.3,15.6,2.9,0.8,319.5,5215.9,111.9
Baltimore Ravens,,39.9,14.6,10.4,17.9,3.1,0.5,306.7,5109.9,109.5
Philadelphia Eagles,,40.3,14.4,10.6,15.2,2.8,0.5,360.6,5570.7,107.9
Kansas City Chiefs,,41.4,14.6,9.4,14.1,2.9,0.2,339.2,5631.2,107.4
New Orleans Saints,,42.8,12.7,11.0,17.4,2.7,0.5,350.2,5529.0,107.3
Minnesota Vikings,,42.1,13.2,11.3,19.6,2.4,0.5,336.3,5437.6,106.5
Buffalo Bills,,40.4,13.9,10.6,16.8,2.7,0.5,305.0,4985.9,106.5
Tampa Bay Buccaneers,,39.2,13.0,11.5,21.4,2.8,0.2,375.6,5417.4,105.5
Indianapolis Colts,,42.4,13.0,10.2,16.3,2.3,0.9,355.5,5425.9,104.6
Seattle Seahawks,,36.3,13.7,11.9,19.5,2.7,0.2,364.1,5807.0,103.9
Cleveland Browns,,39.9,14.0,9.9,14.9,2.3,0.5,371.3,5732.7,102.5
Green Bay Packers,,40.4,14.2,9.1,13.4,2.3,0.5,357.9,5726.8,102.0
Denver Broncos,,39.6,13.1,9.4,14.4,2.5,0.5,340.4,5467.1,100.8
Dallas Cowboys,,40.6,12.0,10.8,17.2,2.4,0.2,340.8,5423.1,100.8
Washington Football Team,,41.5,12.1,10.1,15.5,2.3,0.2,397.1,5850.6,100.0
Carolina Panthers,,42.4,12.0,9.2,13.9,2.2,0.8,418.5,5794.4,99.7
Jacksonville Jaguars,,39.5,12.0,9.9,16.4,2.4,0.5,406.8,6008.7,98.9
Houston Texans,,34.6,12.7,11.0,17.5,2.7,0.2,376.7,5805.4,98.3
Arizona Cardinals,,40.1,11.0,10.3,16.7,2.5,0.2,394.9,5919.7,97.8
New York Jets,,35.2,13.1,9.4,14.4,2.7,0.6,380.7,5460.4,97.4
Chicago Bears,,35.8,12.2,10.7,17.3,2.4,0.5,333.2,5394.6,97.2
Tennessee Titans,,37.5,13.3,8.8,12.4,2.5,0.2,337.1,5542.3,97.0
Cincinnati Bengals,,36.4,13.1,8.5,13.2,2.4,0.5,407.3,6096.2,95.1
New York Giants,,36.2,12.9,8.7,12.1,2.4,0.5,410.0,5843.2,94.8
Las Vegas Raiders,,35.7,12.9,8.6,12.5,2.5,0.5,397.6,5827.5,94.5
Detroit Lions,,34.6,11.5,10.3,16.9,2.5,0.2,378.5,5824.7,93.3
Los Angeles Chargers,,35.8,12.3,8.1,10.6,2.5,0.2,352.7,5460.7,91.6
Atlanta Falcons,,32.8,12.2,8.7,14.5,2.5,0.2,397.7,5925.6,90.0
Miami Dolphins,,32.0,13.2,8.0,12.4,2.3,0.5,404.3,5842.2,89.3
