player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,119.8,1361.5,12.7,0.0,413.3
Mark Andrews,BAL,85.5,960.3,8.0,0.0,272.8
T.J. Hockenson,MIN,88.6,877.0,7.5,0.0,273.3
Darren Waller,NYG,67.8,934.6,6.3,0.0,263.8
George Kittle,SF,63.9,853.6,8.0,0.0,246.2
Kyle Pitts,ATL,66.2,883.0,5.0,0.0,227.2
Dallas Goedert,PHI,74.2,882.5,5.0,0.0,255.7
Evan Engram,JAC,65.0,669.0,4.5,0.0,210.8
Pat Freiermuth,PIT,64.1,678.0,4.3,0.0,194.4
Tyler Higbee,LAR,68.0,639.0,4.0,0.0,204.2
Dalton Schultz,HOU,61.0,642.3,5.1,0.0,205.3
David Njoku,CLE,58.0,655.0,5.0,0.0,179.2
Chigoziem Okonkwo,TEN,56.0,624.0,4.0,0.0,186.1
Gerald Everett,LAC,59.6,586.1,4.2,0.0,194.8
Greg Dulcich,DEN,50.0,646.4,4.4,0.0,176.5
Cole Kmet,CHI,53.9,578.9,6.0,0.0,161.2
Dalton Kincaid,BUF,48.0,571.0,6.0,0.0,142.3
Juwan Johnson,NO,46.3,517.4,6.0,0.0,145.6
Irv Smith Jr.,CIN,52.0,468.4,6.0,0.0,148.9
Sam LaPorta,DET,50.0,539.0,5.0,0.0,137.1
Hayden Hurst,CAR,49.5,469.8,3.5,0.0,154.3
Hunter Henry,NE,46.0,565.5,3.7,0.0,163.2
Noah Fant,SEA,53.0,529.0,4.0,0.0,151.5
Zach Ertz,ARI,52.3,508.6,4.7,0.0,140.1
Cade Otton,TB,50.2,515.5,3.3,0.0,162.5
Tyler Conklin,NYJ,58.0,566.0,3.1,0.0,141.8
Dawson Knox,BUF,41.3,454.1,4.0,0.0,119.3
Logan Thomas,WAS,45.6,449.0,3.1,0.0,138.9
Jelani Woods,IND,40.8,499.4,3.9,0.0,143.2
Michael Mayer,LV,42.0,448.1,3.0,0.0,118.7
Mike Gesicki,NE,42.5,503.4,4.0,0.0,117.0
Jake Ferguson,DAL,50.0,493.0,4.0,0.0,110.6
Trey McBride,ARI,56.0,512.0,3.0,0.0,122.1
Luke Musgrave,GB,43.0,454.0,3.3,0.0,98.4
Taysom Hill,NO,30.3,423.4,4.6,0.0,94.2
Austin Hooper,LV,36.4,368.4,2.6,0.0,94.0
Isaiah Likely,BAL,31.6,431.6,3.0,0.0,110.8
Noah Gray,KC,31.0,329.0,2.2,0.0,82.8
Luke Schoonmaker,DAL,34.9,371.3,2.4,0.0,107.7
Will Dissly,SEA,26.8,289.7,2.0,0.0,83.1
Jonnu Smith,ATL,24.0,314.5,2.0,0.0,68.9
Donald Parham Jr.,LAC,26.1,304.9,3.0,0.0,82.1
Robert Tonyan,CHI,32.0,329.0,3.0,0.0,76.9
Durham Smythe,MIA,23.9,239.1,1.7,0.0,79.1
Foster Moreau,NO,28.0,377.0,2.0,0.0,62.6
Brenton Strange,JAC,24.0,225.0,2.0,0.0,69.3
Brock Wright,DET,23.0,275.0,5.0,0.0,65.8
Josiah Deguara,GB,30.8,310.3,2.4,0.0,65.6
Kylen Granson,IND,25.0,275.9,1.8,0.0,80.1
Adam Trautman,DEN,27.9,320.5,2.3,0.0,64.3
C.J. Uzomah,NYJ,25.0,261.0,3.0,0.0,75.5
Jordan Akins,CLE,33.8,415.2,2.5,0.0,106.4
Tommy Tremble,CAR,22.0,200.1,3.0,0.0,67.1
Harrison Bryant,CLE,23.0,240.8,1.7,0.0,73.7
Jimmy Graham,NO,29.4,338.4,2.3,0.0,93.8
Josh Oliver,MIN,26.0,270.0,3.0,0.0,52.6
Tucker Kraft,GB,22.0,277.8,2.0,0.0,59.3
Mo Alie-Cox,IND,15.4,245.0,3.0,0.0,51.9
Ian Thomas,CAR,22.0,213.0,1.0,0.0,44.0
Geoff Swaim,ARI,20.9,174.2,1.4,0.0,46.7
Colby Parkinson,SEA,19.5,225.7,1.5,0.0,65.1
Darnell Washington,PIT,19.0,288.7,1.0,0.0,60.1
Daniel Bellinger,NYG,19.8,335.3,1.4,0.0,66.2
Brevin Jordan,HOU,16.0,252.3,1.1,0.0,53.8
Teagan Quitoriano,HOU,21.0,255.0,2.0,0.0,42.4
Elijah Higgins,MIA,11.0,174.0,1.0,0.0,39.8
Eric Saubert,MIA,15.7,157.4,1.5,0.0,41.4
Lawrence Cager,NYG,13.0,175.0,1.1,0.0,48.6
Charlie Kolar,BAL,18.7,223.4,1.2,0.0,60.3
Brycen Hopkins,LAR,15.3,162.0,1.2,0.0,50.8
Davis Allen,LAR,30.0,208.0,2.0,0.0,39.2
John Bates,WAS,21.0,185.0,1.0,0.0,40.6
Payne Durham,TB,20.0,177.0,1.0,0.0,35.5
Blake Bell,KC,16.4,165.6,2.0,0.0,38.7
Albert Okwuegbunam,DEN,10.0,274.1,1.0,0.0,56.4
Cameron Latu,SF,16.2,137.3,1.0,0.0,47.1
Peyton Hendershot,DAL,11.5,232.8,2.0,0.0,47.0
Hunter Long,LAR,20.2,218.4,1.4,0.0,40.7
Ko Kieft,TB,18.6,197.5,1.2,0.0,38.2
Miller Forristall,CLE,10.0,105.0,1.0,0.0,20.0
Dan Arnold,PHI,10.0,160.2,1.0,0.0,33.8
Tre' McKitty,LAC,14.0,141.9,1.0,0.0,35.0
Connor Heyward,PIT,14.9,155.7,1.3,0.0,40.3
Andrew Ogletree,IND,10.0,88.0,1.0,0.0,20.0
Josh Whyle,TEN,11.9,149.1,1.0,0.0,35.9
James Mitchell,DET,13.0,172.7,1.0,0.0,37.5
Zach Gentry,PIT,13.0,108.0,1.0,0.0,35.8
Jack Stoll,PHI,20.0,206.0,1.0,0.0,30.4
Andrew Beck,HOU,10.0,109.0,1.0,0.0,30.0
Zack Kuntz,NYJ,12.0,172.7,1.0,0.0,35.9
Stephen Sullivan,CAR,14.0,201.0,1.0,0.0,26.8
Tyler Kroft,MIA,11.0,134.0,1.0,0.0,27.0
Trevon Wesco,TEN,13.5,149.4,1.1,0.0,29.7
Marcedes Lewis,CHI,8.0,85.0,2.0,0.0,24.0
Drew Sample,CIN,13.0,107.7,1.0,0.0,29.0
Jeremy Ruckert,NYJ,12.0,208.4,1.0,0.0,40.4
Tanner Hudson,CIN,11.8,119.4,1.0,0.0,37.5
Reggie Gilliam,BUF,13.0,110.0,1.0,0.0,18.3
Stone Smartt,LAC,14.0,110.0,1.0,0.0,21.4
Will Mallory,IND,10.0,125.4,1.0,0.0,28.2
Jody Fortson,KC,7.7,154.2,0.8,0.0,27.2
Armani Rogers,WAS,7.3,79.8,0.5,0.1,21.7
Cole Turner,WAS,7.0,245.0,0.4,0.0,44.4
Johnny Mundt,MIN,8.6,117.1,0.6,0.0,25.6
Luke Farrell,JAC,12.0,122.0,1.0,0.0,23.5
