player,team,fgm,fga,xpm,fp_projection

Stephen Gostkowski,NE,31.1,37.0,49.4,142.6
Greg Zuerlein,LAR,31.1,36.6,42.0,135.2
Chris Boswell,PIT,29.6,35.1,42.5,131.4
Matt Bryant,ATL,29.7,34.9,41.6,130.7
Justin Tucker,BAL,31.5,36.5,35.8,130.2
Harrison Butker,KC,30.2,36.2,38.4,129.1
Wil Lutz,NO,27.6,33.1,45.6,128.4
Jake Elliott,PHI,28.2,33.9,41.9,126.6
Robbie Gould,SF,29.3,34.2,35.7,123.5
Matt Prater,DET,28.2,33.6,38.2,122.8
Graham Gano,CAR,28.5,33.4,36.4,121.8
Mason Crosby,GB,26.1,31.8,43.3,121.5
Josh Lambo,JAC,27.0,31.3,37.0,118.0
Adam Vinatieri,IND,27.4,32.7,35.4,117.4
Caleb Sturgis,LAC,25.4,30.0,40.2,116.3
Ryan Succop,TEN,26.5,32.1,36.4,115.9
Brett Maher,DAL,24.8,30.1,37.5,111.9
Phil Dawson,ARI,26.1,31.8,33.3,111.7
Sebastian Janikowski,SEA,24.9,30.2,36.4,111.1
Ka'imi Fairbairn,HOU,25.2,30.8,35.5,111.1
Dustin Hopkins,WAS,24.7,30.6,36.5,110.7
Brandon McManus,DEN,25.5,32.1,32.2,108.9
Chandler Catanzaro,TB,24.6,29.6,34.0,107.9
Mike Nugent,OAK,23.6,29.2,36.1,107.0
Steven Hauschka,BUF,25.1,29.3,29.5,104.7
Randy Bullock,CIN,23.1,26.9,33.6,102.9
Daniel Carlson,MIN,23.1,27.6,32.8,102.2
Jason Sanders,MIA,23.1,27.4,32.9,102.0
Cody Parkey,CHI,23.3,27.5,31.4,101.4
Aldrick Rosas,NYG,22.7,29.0,32.6,100.7
Zane Gonzalez,CLE,22.1,27.4,31.5,97.7
Eddy Pineiro,OAK,20.0,25.0,32.0,92.0
Jason Myers,NYJ,20.7,24.7,28.5,90.6
