rank,"Tier","WSID",player,team,pos,bye,best,worst,ecp,ecp_std_dev,adp,ecp_vs_adp
1,1,,Christian McCaffrey,CAR,RB1,13,1,4,1.1,0.2,1.0,0.0
2,1,,Saquon Barkley,NYG,RB2,11,1,5,2.2,0.5,2.0,0.0
3,1,,Ezekiel Elliott,DAL,RB3,10,2,10,3.2,1.1,3.0,0.0
4,1,,Alvin Kamara,NO,RB4,6,2,13,4.4,1.0,5.0,+1.0
5,1,,Dalvin Cook,MIN,RB5,7,2,14,6.2,2.1,7.0,+2.0
6,1,,Derrick Henry,TEN,RB6,7,3,17,7.1,2.5,6.0,0.0
7,1,,Michael Thomas,NO,WR1,6,3,16,7.3,2.4,4.0,-3.0
8,2,,Davante Adams,GB,WR2,5,3,18,10.1,2.5,8.0,0.0
9,2,,Clyde Edwards-Helaire,KC,RB7,10,4,50,11.3,7.0,19.0,+10.0
10,2,,Joe Mixon,CIN,RB8,9,4,38,12.3,6.3,9.0,-1.0
11,2,,Julio Jones,ATL,WR3,10,6,27,13.1,2.8,12.0,+1.0
12,2,,Tyreek Hill,KC,WR4,10,5,25,13.8,3.6,10.0,-2.0
13,3,,Nick Chubb,CLE,RB9,9,5,41,15.6,6.1,11.0,-2.0
14,3,,Miles Sanders,PHI,RB10,9,7,37,15.6,6.7,23.0,+9.0
15,3,,Kenyan Drake,ARI,RB11,8,6,37,16.0,6.5,15.0,0.0
16,3,,Josh Jacobs,LV,RB12,6,6,53,16.3,5.8,17.0,+1.0
17,3,,Travis Kelce,KC,TE1,10,8,46,18.1,3.3,14.0,-3.0
18,3,,Chris Godwin,TB,WR5,13,10,49,18.8,4.7,18.0,0.0
19,3,,Austin Ekeler,LAC,RB13,10,4,43,19.2,7.3,24.0,+5.0
20,3,,DeAndre Hopkins,ARI,WR6,8,10,41,19.3,5.9,13.0,-7.0
21,3,,Aaron Jones,GB,RB14,5,7,58,20.3,6.7,22.0,+1.0
22,3,,George Kittle,SF,TE2,11,11,45,21.1,4.1,21.0,-1.0
23,3,,Kenny Golladay,DET,WR7,5,13,45,23.6,5.4,25.0,+2.0
