player,team,fgm,fga,xpm,fp_projection
Greg Zuerlein,LAR,28.9,34.6,45.1,131.9
Stephen Gostkowski,NE,27.3,32.7,47.0,128.9
Justin Tucker,BAL,30.7,36.6,35.3,127.3
Wil Lutz,NO,27.2,33.1,45.2,126.8
Harrison Butker,KC,26.0,31.0,46.4,124.4
Ka'imi Fairbairn,HOU,28.5,35.4,37.8,123.4
Michael Badgley,LAC,25.9,29.9,41.7,119.6
Robbie Gould,SF,27.0,31.8,36.7,117.7
Matt Bryant,ATL,25.8,30.7,39.9,117.3
Jake Elliott,PHI,25.5,31.7,40.3,116.7
Brett Maher,DAL,26.1,32.9,37.9,116.0
Mason Crosby,GB,26.0,31.4,37.2,115.3
Ryan Succop,TEN,26.5,32.7,34.4,113.8
Matt Prater,DET,26.9,31.7,32.8,113.3
Aldrick Rosas,NYG,26.0,30.3,33.8,111.8
Jason Myers,SEA,25.0,29.3,36.5,111.5
Adam Vinatieri,IND,25.3,30.8,34.9,110.8
Kaare Vedvik,NYJ,25.7,30.8,30.9,108.0
Eddy Pineiro,CHI,24.0,30.3,35.7,107.8
Chris Boswell,PIT,22.0,27.2,41.2,107.3
Matt Gay,TB,24.1,30.5,33.7,106.1
Joey Slye,CAR,24.2,30.2,33.5,106.0
Dan Bailey,MIN,24.5,31.5,32.1,105.8
Austin Seibert,CLE,23.0,28.6,36.7,105.6
Brandon McManus,DEN,24.1,29.0,32.9,105.3
Josh Lambo,JAC,24.4,28.9,30.5,103.7
Daniel Carlson,OAK,24.0,28.9,30.3,102.4
Randy Bullock,CIN,23.0,26.9,31.8,100.8
Steven Hauschka,BUF,23.8,28.5,28.9,100.3
Jason Sanders,MIA,23.5,26.6,29.6,100.2
Dustin Hopkins,WAS,23.4,28.4,28.9,99.2
Zane Gonzalez,ARI,21.8,27.6,29.2,94.5
