player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Tampa Bay Buccaneers,,47.6,18.0,14.0,19.0,3.5,1.0,405.2,5000.0,132.5
Pittsburgh Steelers,,56.1,18.0,13.0,18.0,3.4,1.0,417.2,4937.6,138.5
Los Angeles Rams,,56.8,16.0,14.0,19.0,3.2,1.0,392.9,5037.0,136.0
Indianapolis Colts,,45.4,15.1,14.0,19.0,3.4,2.0,427.0,5486.4,123.8
Washington Football Team,,55.6,17.0,11.0,16.0,3.1,1.0,406.8,5060.8,130.2
New Orleans Saints,,48.4,20.0,11.0,15.0,3.3,1.0,412.8,5293.0,130.2
Baltimore Ravens,,41.0,15.8,15.0,20.0,4.0,1.0,409.4,5251.2,118.0
Green Bay Packers,,45.7,20.7,12.0,16.0,3.1,1.0,421.9,5496.0,123.1
Arizona Cardinals,,51.8,14.8,15.0,20.0,2.9,1.0,429.6,5708.8,125.2
Philadelphia Eagles,,59.9,14.5,15.0,21.0,3.2,1.0,437.0,5654.4,137.1
Seattle Seahawks,,43.2,15.0,12.0,16.0,2.9,2.0,425.7,5669.0,111.0
Buffalo Bills,,42.4,16.4,13.0,17.0,3.4,0.7,385.3,5395.0,117.5
New England Patriots,,47.0,20.0,10.4,14.0,3.6,1.0,404.6,5246.4,116.6
Carolina Panthers,,41.4,17.0,18.0,24.0,3.5,1.0,447.0,5825.0,128.1
Kansas City Chiefs,,41.2,16.0,13.0,17.0,3.8,1.0,414.5,5668.8,119.0
Miami Dolphins,,46.8,17.0,12.0,17.0,3.6,1.0,466.0,6013.0,126.4
Cleveland Browns,,41.4,17.0,12.0,17.0,3.1,1.0,426.0,5736.0,115.8
Dallas Cowboys,,42.9,16.0,16.0,22.0,3.8,0.5,447.0,5971.2,129.7
San Francisco 49ers,,43.5,15.0,13.0,18.0,3.0,0.6,388.8,4902.0,116.6
Denver Broncos,,44.1,15.0,11.0,16.0,3.1,1.0,423.4,5460.0,114.7
Los Angeles Chargers,,44.0,16.0,11.0,15.0,3.0,1.0,422.8,4812.8,109.5
New York Giants,,45.2,14.1,15.0,20.0,2.9,1.0,467.0,5822.0,120.6
Atlanta Falcons,,41.1,14.6,14.0,19.0,2.9,0.7,426.0,6213.2,110.7
Minnesota Vikings,,40.1,17.0,13.0,18.0,3.3,0.5,436.9,5910.4,110.4
Chicago Bears,,39.2,15.0,13.0,18.0,3.2,1.0,422.9,5443.2,115.2
Tennessee Titans,,43.5,15.4,11.0,16.0,3.1,0.6,456.0,6098.0,113.0
New York Jets,,43.2,14.0,12.0,16.0,2.7,0.7,468.0,5726.0,105.8
Las Vegas Raiders,,38.8,15.0,11.0,15.0,2.9,0.6,500.0,5614.4,109.2
Jacksonville Jaguars,,39.8,13.6,10.5,14.0,2.7,1.0,487.0,6257.4,105.3
Houston Texans,,40.5,13.6,11.0,15.0,2.5,1.0,535.0,6325.1,109.7
Detroit Lions,,39.1,13.0,10.5,14.2,2.7,1.0,505.0,6449.6,102.0
Cincinnati Bengals,,36.9,15.0,10.8,14.0,3.0,1.0,486.0,6205.7,101.6
