player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Patrick Mahomes,KC,597.0,394.0,5022.0,37.3,11.9,59.0,255.0,3.2,0.6,415.5
Deshaun Watson,HOU,525.0,343.1,4284.3,29.0,10.0,97.2,611.2,4.3,0.9,391.0
Aaron Rodgers,GB,609.0,396.0,4397.7,31.5,6.2,48.0,270.7,2.4,0.7,377.2
Matt Ryan,ATL,600.9,400.2,4832.3,32.3,8.1,82.0,144.6,1.7,1.2,362.9
Cam Newton,CAR,527.4,344.1,4045.1,26.9,12.3,117.0,550.7,5.5,0.4,344.5
Drew Brees,NO,546.0,393.0,4631.9,31.9,7.0,31.3,78.5,2.1,0.5,352.0
Carson Wentz,PHI,587.9,379.6,4376.4,32.1,9.8,61.0,220.0,1.6,0.9,354.3
Dak Prescott,DAL,543.2,357.1,4114.2,26.7,8.9,69.9,333.6,6.4,0.7,346.2
Baker Mayfield,CLE,577.2,369.4,4589.0,31.9,12.1,52.0,254.7,1.8,1.2,350.7
Jameis Winston,TB,596.3,375.5,4502.5,28.8,15.0,60.5,310.7,2.5,1.6,355.0
Jared Goff,LAR,551.7,361.4,4499.5,32.8,10.6,37.9,161.1,1.7,1.0,348.1
Ben Roethlisberger,PIT,630.0,411.3,4782.9,30.8,13.8,31.2,95.3,1.4,0.7,348.0
Russell Wilson,SEA,471.0,302.0,3757.9,29.4,7.5,80.0,420.3,2.7,0.1,337.5
Lamar Jackson,BAL,425.0,260.3,3134.5,18.0,9.3,190.7,892.5,7.2,2.7,343.6
Tom Brady,NE,581.0,380.4,4521.5,30.2,8.7,29.8,51.0,1.3,0.5,337.2
Mitch Trubisky,CHI,532.5,345.9,3903.2,26.2,11.0,70.0,418.7,2.9,1.2,342.3
Kirk Cousins,MIN,618.8,428.9,4344.3,30.0,9.9,44.2,162.8,2.9,1.2,337.8
Philip Rivers,LAC,575.0,374.0,4487.6,31.5,11.0,19.2,33.2,0.6,0.4,342.3
Kyler Murray,ARI,540.4,339.9,3861.4,22.7,13.0,117.0,595.0,3.9,1.3,343.3
Josh Allen,BUF,487.6,271.5,3305.9,19.1,13.3,113.0,677.0,6.6,1.7,322.5
Jacoby Brissett,IND,545.9,342.9,3926.8,23.7,11.0,62.5,301.0,2.9,1.8,318.2
Jimmy Garoppolo,SF,524.6,349.1,4467.7,31.1,12.4,40.1,161.6,2.1,0.7,305.1
