player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Tampa Bay Buccaneers,,49.7,16.0,17.0,23.0,3.4,1.0,387.0,5372.8,122.7
Buffalo Bills,,46.0,21.0,13.0,18.0,3.7,1.0,352.4,4931.2,136.2
Pittsburgh Steelers,,54.0,17.0,11.0,16.0,3.0,0.7,408.0,5701.0,128.0
Green Bay Packers,,45.8,21.2,12.0,16.0,3.3,0.7,382.9,5481.6,127.6
Dallas Cowboys,,44.7,21.0,13.0,17.0,3.9,0.8,400.7,5719.0,127.1
Los Angeles Rams,,45.0,17.0,12.0,13.0,3.2,1.0,416.9,5079.0,127.0
New Orleans Saints,,45.1,18.0,12.0,16.0,3.3,0.6,394.2,5451.0,123.7
Miami Dolphins,,48.0,17.0,13.0,18.0,3.2,1.0,385.0,5319.0,121.2
San Francisco 49ers,,52.0,15.7,14.0,20.0,3.1,0.7,390.8,5151.0,128.6
Los Angeles Chargers,,43.3,17.0,13.0,18.0,3.5,1.0,422.0,5738.0,121.7
Indianapolis Colts,,40.1,17.0,16.0,22.0,3.6,2.0,384.5,5544.0,117.4
New England Patriots,,47.0,17.0,10.4,14.0,3.0,1.0,400.6,5246.4,113.7
Minnesota Vikings,,47.8,15.4,12.0,16.0,3.5,0.7,408.0,5716.0,122.8
Cleveland Browns,,44.0,18.0,10.0,14.0,3.0,1.0,391.0,5055.0,116.7
Kansas City Chiefs,,43.4,16.0,16.0,22.0,3.4,1.0,428.2,5668.8,115.4
Arizona Cardinals,,43.0,15.0,16.0,22.0,3.3,1.0,423.6,5680.0,120.5
Denver Broncos,,43.0,18.0,10.0,14.0,3.1,0.6,402.0,5677.0,115.1
Tennessee Titans,,43.6,16.1,10.2,14.0,2.8,0.6,397.4,5526.0,116.1
Cincinnati Bengals,,42.9,17.0,11.0,15.0,3.1,1.0,385.7,5911.0,113.6
Washington Commanders,,40.7,15.0,13.0,18.0,3.1,0.7,405.0,5760.0,112.9
Baltimore Ravens,,43.5,16.0,11.0,15.0,3.0,1.0,369.0,5382.0,118.9
Chicago Bears,,47.3,15.0,12.0,17.0,3.1,1.0,426.5,5523.2,119.9
Carolina Panthers,,42.7,15.0,11.2,15.0,2.7,0.7,416.0,5346.0,110.9
Philadelphia Eagles,,43.6,15.4,10.5,13.9,3.0,1.0,402.0,5382.0,114.3
New York Giants,,40.7,15.0,11.0,15.0,2.8,1.0,446.0,5386.0,109.9
Seattle Seahawks,,41.0,14.3,10.8,12.1,2.7,1.0,431.5,5948.4,109.8
Houston Texans,,40.2,14.0,12.0,17.0,3.0,0.6,460.0,6192.7,107.4
Jacksonville Jaguars,,43.3,13.0,10.6,11.2,2.6,1.0,465.0,5777.0,105.1
Las Vegas Raiders,,40.0,13.3,11.0,15.0,2.6,1.0,439.0,5405.0,107.0
New York Jets,,40.9,15.0,11.0,15.4,2.9,0.6,477.0,6014.9,106.6
Detroit Lions,,38.8,15.0,11.0,15.0,2.7,1.0,487.0,6038.8,105.3
Atlanta Falcons,,37.7,14.1,10.1,13.0,2.5,0.6,455.0,5995.0,104.9
