player,team,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Jalen Hurts,PHI,520.2,339.7,3810.5,24.4,12.1,145.3,624.2,11.3,3.8,360.5
Josh Allen,BUF,564.7,368.1,4060.4,27.8,14.0,108.2,556.7,8.9,4.0,360.2
Lamar Jackson,BAL,463.6,303.7,3567.1,25.0,10.6,146.1,836.1,5.4,4.4,339.2
Patrick Mahomes II,KC,584.8,392.2,4371.2,32.7,11.2,72.0,376.4,1.8,3.1,336.6
Anthony Richardson,IND,511.7,325.6,3503.7,20.0,11.4,127.6,646.0,7.9,5.0,310.4
Dak Prescott,DAL,573.9,386.3,4190.4,30.8,12.0,51.9,221.3,2.0,2.8,307.5
C.J. Stroud,HOU,556.7,362.5,4336.1,29.4,10.1,43.8,183.8,2.4,3.6,306.0
Joe Burrow,CIN,580.8,389.2,4242.2,30.2,11.5,56.7,191.4,2.1,3.1,304.7
Kyler Murray,ARI,530.5,353.6,3706.7,21.8,12.1,96.1,530.7,5.2,2.6,302.3
Jordan Love,GB,545.5,355.1,3988.2,29.4,11.5,45.7,200.3,2.4,3.0,294.0
Brock Purdy,SF,498.1,336.2,4076.6,29.6,10.8,43.5,159.9,1.9,2.6,293.1
Jayden Daniels,WAS,545.0,339.7,3582.6,20.2,13.9,114.0,592.2,5.0,4.4,290.3
Trevor Lawrence,JAC,566.2,373.3,3983.5,24.3,12.5,66.1,306.2,3.5,4.8,286.1
Caleb Williams,CHI,532.3,346.5,3781.8,25.3,13.4,77.5,361.2,3.3,4.3,286.0
Justin Herbert,LAC,544.1,355.8,3846.8,24.5,9.9,64.6,262.8,2.7,3.0,278.4
Deshaun Watson,CLE,544.7,334.4,3746.9,22.9,13.3,77.1,385.3,3.2,3.8,277.9
Jared Goff,DET,568.9,383.7,4231.1,28.1,10.6,24.6,55.7,1.1,3.1,277.0
Tua Tagovailoa,MIA,545.0,370.8,4270.2,27.3,12.5,31.8,88.8,0.6,3.8,272.5
Kirk Cousins,ATL,533.3,349.6,4016.4,27.0,10.5,34.0,99.7,1.4,4.5,267.9
Baker Mayfield,TB,561.8,355.0,3940.3,25.7,11.9,51.9,171.1,1.5,3.3,267.7
Matthew Stafford,LAR,552.8,355.3,4126.1,26.8,12.5,23.4,66.0,0.6,2.2,265.6
Aaron Rodgers,NYJ,544.4,359.8,3840.3,26.2,9.0,33.2,109.7,1.3,2.7,262.8
Geno Smith,SEA,522.5,342.4,3753.8,24.1,11.9,50.6,203.9,1.7,3.1,259.2
Will Levis,TEN,512.8,321.9,3715.2,22.1,12.6,53.9,185.5,2.2,4.2,248.0
Daniel Jones,NYG,493.9,322.6,3225.0,16.6,10.6,95.0,469.1,3.5,3.6,245.4
Derek Carr,NO,544.4,363.4,3843.2,24.5,10.9,24.7,71.1,0.5,3.2,244.4
Sam Darnold,MIN,540.8,343.7,3720.5,22.0,14.5,44.0,171.4,2.1,4.1,243.7
