player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Christian McCaffrey,CAR,17.1,76.8,0.6,6.5,59.0,0.3,0.0,23.9
Saquon Barkley,NYG,17.3,80.5,0.5,4.7,37.4,0.2,0.0,20.0
Austin Ekeler,LAC,12.0,54.5,0.5,6.1,63.3,0.6,0.1,20.4
Ezekiel Elliott,DAL,20.6,94.2,0.7,3.6,28.4,0.2,0.1,19.4
Alvin Kamara,NO,13.8,61.4,0.6,5.6,47.3,0.2,0.0,19.0
Dalvin Cook,MIN,16.9,83.4,0.7,3.8,36.1,0.2,0.2,18.9
Josh Jacobs,LV,21.3,106.5,0.8,2.1,15.4,0.1,0.1,17.2
James Conner,PIT,15.9,68.1,0.5,4.5,35.1,0.2,0.1,17.7
Miles Sanders,PHI,17.3,78.1,0.5,3.5,36.0,0.2,0.1,17.2
Clyde Edwards-Helaire,KC,15.0,66.4,0.6,3.8,30.3,0.3,0.1,17.7
Joe Mixon,CIN,18.2,83.3,0.5,2.7,24.7,0.1,0.0,15.9
Derrick Henry,TEN,19.0,96.9,0.8,1.6,13.2,0.1,0.1,16.3
Aaron Jones,GB,14.3,65.9,0.7,3.7,22.5,0.2,0.1,15.2
Kenyan Drake,ARI,14.3,66.9,0.5,3.6,29.8,0.1,0.1,15.5
Chris Carson,SEA,17.6,81.0,0.5,2.4,18.3,0.1,0.1,14.1
Todd Gurley,ATL,15.7,59.9,0.6,3.5,25.2,0.1,0.1,14.2
Nick Chubb,CLE,15.4,84.0,0.5,2.4,14.4,0.1,0.1,14.1
Le'Veon Bell,NYJ,16.6,60.0,0.3,4.8,33.5,0.1,0.1,15.2
David Johnson,HOU,14.2,56.5,0.4,3.6,34.4,0.2,0.1,13.6
Melvin Gordon,DEN,15.0,60.0,0.4,3.4,26.6,0.1,0.0,13.2
Jonathan Taylor,IND,16.0,70.7,0.6,3.2,22.6,0.1,0.1,14.9
Devin Singletary,BUF,10.5,66.5,0.4,3.4,27.9,0.1,0.1,14.9
Antonio Gibson,WAS,11.3,57.7,0.4,3.2,26.6,0.1,0.1,14.4
Mark Ingram II,BAL,13.0,63.8,0.5,2.7,19.1,0.1,0.1,12.7
Raheem Mostert,SF,11.8,67.7,0.5,2.0,12.8,0.1,0.2,10.8
Tarik Cohen,CHI,8.8,36.6,0.2,4.3,34.7,0.2,0.1,12.1
Kareem Hunt,CLE,9.3,46.9,0.2,3.6,29.7,0.2,0.0,11.1
Chris Thompson,JAC,4.6,44.1,0.2,4.7,42.3,0.2,0.0,14.9
James White,NE,4.8,19.2,0.1,5.1,42.3,0.2,0.0,11.2
Ronald Jones II,TB,12.0,53.5,0.3,2.7,23.5,0.1,0.1,12.3
Marlon Mack,IND,13.7,56.5,0.5,1.8,9.2,0.1,0.0,10.3
Leonard Fournette,TB,15.8,49.7,0.3,3.0,18.2,0.1,0.0,9.8
Jordan Howard,MIA,15.6,60.3,0.4,2.1,9.8,0.0,0.0,10.5
Cam Akers,LAR,11.4,49.7,0.4,3.2,20.8,0.1,0.0,11.2
Sony Michel,NE,15.9,66.7,0.5,1.4,9.8,0.0,0.1,11.6
David Montgomery,CHI,11.8,68.4,0.4,1.4,10.5,0.1,0.1,11.6
Duke Johnson,HOU,4.8,23.9,0.1,3.9,36.1,0.1,0.0,8.8
Kerryon Johnson,DET,12.3,48.2,0.3,2.7,15.7,0.1,0.1,8.8
Phillip Lindsay,DEN,12.3,55.6,0.3,2.7,11.9,0.1,0.0,8.3
J.K. Dobbins,BAL,11.2,47.9,0.3,3.2,20.0,0.1,0.0,9.2
Zack Moss,BUF,11.0,45.9,0.3,3.1,19.2,0.1,0.0,9.2
D'Andre Swift,DET,10.9,44.8,0.3,3.1,18.7,0.1,0.0,9.2
Tony Pollard,DAL,10.8,46.1,0.2,3.3,14.5,0.1,0.1,7.9
Jerick McKinnon,SF,8.0,27.9,0.3,3.2,24.0,0.1,0.0,8.6
Adrian Peterson,DET,12.1,60.0,0.4,1.8,14.6,0.1,0.1,11.5
Boston Scott,PHI,12.0,44.5,0.2,2.9,13.9,0.1,0.0,7.5
Darrel Williams,KC,10.4,24.3,0.2,7.0,16.8,0.1,0.0,7.3
Latavius Murray,NO,13.2,47.9,0.3,2.4,12.7,0.0,0.0,7.3
Tevin Coleman,SF,10.6,37.3,0.3,2.5,16.8,0.1,0.0,7.8
Nyheim Hines,IND,5.8,22.5,0.1,4.0,31.2,0.1,0.0,6.5
Malcolm Brown,LAR,4.6,50.8,0.4,1.0,6.1,0.0,0.0,9.1
Alexander Mattison,MIN,9.7,50.7,0.2,2.5,9.6,0.1,0.1,7.0
Joshua Kelley,LAC,10.8,42.4,0.4,3.2,17.7,0.1,0.0,8.2
Bryce Love,WAS,9.4,38.9,0.2,2.2,9.3,0.1,0.0,7.9
Jalen Richard,LV,4.6,21.4,0.2,2.8,23.3,0.1,0.1,7.1
Matt Breida,MIA,10.2,49.9,0.2,2.4,15.7,0.1,0.0,8.3
Jamaal Williams,GB,9.0,31.5,0.1,3.2,15.5,0.1,0.0,5.8
Devine Ozigbo,JAC,9.4,37.6,0.2,2.3,12.4,0.1,0.0,8.1
Rex Burkhead,NE,5.8,23.2,0.1,2.1,16.8,0.1,0.0,6.4
Giovani Bernard,CIN,5.6,18.6,0.1,2.4,18.0,0.1,0.0,5.3
Darrynton Evans,TEN,7.4,26.1,0.1,2.4,11.5,0.1,0.0,6.2
Benny Snell Jr.,PIT,7.6,36.4,0.2,1.4,11.0,0.1,0.1,5.5
Darrell Henderson,LAR,8.7,37.3,0.2,2.4,12.2,0.0,0.0,5.4
A.J. Dillon,GB,9.0,33.3,0.2,2.8,13.9,0.0,0.0,4.9
