player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Chris Conley,HOU,30.8,427.0,2.0,0.0,0.0,0.0,1.0,94.7
Zach Pascal,IND,22.0,289.0,2.0,0.0,0.0,0.0,0.1,76.9
Sammy Watkins,BAL,32.9,386.6,2.8,0.0,0.0,0.0,1.0,97.1
Nico Collins,HOU,21.5,252.5,1.7,0.0,0.0,0.0,0.3,73.7
Kendrick Bourne,NE,28.9,371.4,2.0,0.0,0.0,0.0,0.2,86.6
Van Jefferson,LAR,22.8,277.4,1.0,0.0,0.0,0.0,0.2,75.1
Adam Humphries,WAS,25.0,282.2,1.3,0.0,0.0,0.0,0.1,76.5
Demarcus Robinson,KC,29.4,355.7,2.5,0.0,0.0,0.0,1.0,86.8
Josh Reynolds,TEN,27.0,305.8,1.8,0.0,0.0,0.0,1.0,77.4
Marquez Valdes-Scantling,GB,19.9,312.5,2.0,0.0,0.0,0.0,1.0,70.9
KJ Hamler,DEN,24.1,283.1,1.6,0.0,0.0,0.0,1.0,75.3
James Washington,PIT,26.1,318.2,2.3,0.0,0.0,0.0,1.0,78.5
Keelan Cole Sr.,NYJ,23.0,318.8,2.0,0.0,0.0,0.0,0.5,78.1
Jalen Guyton,LAC,21.4,311.7,1.8,0.0,0.0,0.0,0.2,73.7
D'Wayne Eskridge,SEA,27.3,326.0,2.0,0.0,0.0,0.0,0.2,78.2
Keke Coutee,IND,19.5,227.0,1.3,0.0,0.0,0.0,4.0,65.1
Denzel Mims,NYJ,17.0,241.0,1.0,0.0,0.0,0.0,0.1,60.1
Rashard Higgins,CLE,17.0,247.2,1.6,0.0,0.0,0.0,1.0,59.7
Deonte Harris,NO,23.6,255.0,1.0,2.3,12.0,0.0,0.2,68.9
Travis Fulgham,PHI,28.3,379.0,2.1,0.0,0.0,0.0,0.0,78.7
Damiere Byrd,CHI,3.6,44.9,0.3,0.0,0.0,0.0,1.0,37.8
Olamide Zaccheaus,ATL,15.0,224.0,1.0,0.0,0.0,0.0,0.2,55.6
Tim Patrick,DEN,13.0,185.0,1.0,0.0,0.0,0.0,1.0,52.0
Mohamed Sanu,SF,11.8,137.7,0.8,0.0,0.0,0.0,1.0,50.1
Donovan Peoples-Jones,CLE,14.4,189.3,1.2,0.0,0.0,0.0,0.2,51.7
Josh Palmer,LAC,19.0,223.4,1.5,0.0,0.0,0.0,1.0,57.9
Quez Watkins,PHI,0.7,9.2,0.0,0.0,0.0,0.0,0.2,27.7
Quintez Cephus,DET,22.3,270.6,1.4,0.0,0.0,0.0,0.2,60.9
Tyron Johnson,JAC,13.6,184.8,1.3,0.0,0.0,0.0,0.1,48.0
Kalif Raymond,DET,4.1,50.7,0.2,0.0,0.0,0.0,0.2,31.4
