player,team,fgm,fga,xpm,fp_projection
Zane Gonzalez,SF,29.8,35.8,41.0,144.2
Greg Joseph,MIN,27.0,32.0,37.7,112.1
Justin Tucker,BAL,26.1,29.7,39.0,121.0
Jason Myers,SEA,25.4,29.1,34.1,116.8
Harrison Butker,KC,21.4,27.6,45.6,118.5
Evan McPherson,CIN,25.1,30.8,33.5,112.9
Tyler Bass,BUF,22.8,31.0,43.1,105.6
Daniel Carlson,LV,24.9,31.6,34.4,118.2
Jake Elliott,PHI,22.0,25.0,40.4,93.5
Younghoe Koo,ATL,24.2,32.3,30.0,120.0
Graham Gano,NYG,24.4,31.0,26.6,108.1
Riley Patterson,DET,24.0,29.0,36.8,114.0
Brandon McManus,JAC,24.0,32.0,26.2,114.2
Cameron Dicker,LAC,23.4,30.4,34.8,102.2
Jason Sanders,MIA,24.0,29.0,33.1,111.4
Jake Moody,SF,23.3,30.0,39.9,103.9
Cairo Santos,CHI,23.4,29.0,29.6,107.2
Chase McLaughlin,TB,23.1,27.5,29.0,99.0
Nick Folk,NE,26.9,30.6,34.3,120.7
Eddy Pineiro,CAR,25.8,29.0,29.6,108.0
Wil Lutz,NO,23.0,28.0,35.4,105.0
Chris Boswell,PIT,24.8,30.1,29.4,110.0
Greg Zuerlein,NYJ,22.6,32.0,27.4,104.0
Brett Maher,DEN,24.9,30.2,26.3,104.0
Cade York,CLE,23.9,30.0,36.4,101.6
Dustin Hopkins,LAC,23.7,31.0,36.1,33.0
Matt Gay,IND,23.9,29.0,28.9,105.6
Brandon Aubrey,DAL,20.0,25.0,36.5,99.2
Matt Prater,ARI,24.6,30.0,32.4,101.0
Anders Carlson,GB,21.4,24.9,31.4,97.9
Ka'imi Fairbairn,HOU,24.3,29.7,26.8,109.2
Joey Slye,WAS,24.0,29.0,27.4,102.2
Chad Ryland,NE,23.0,27.0,30.7,88.8
Rodrigo Blankenship,TB,23.8,28.3,34.7,99.1
Tanner Brown,LAR,22.4,26.1,32.0,101.2
Caleb Shudak,TEN,0.0,0.0,0.0,0.0
