player,team,fgm,fga,xpm,fp_projection
Justin Tucker,BAL,32.2,36.5,43.0,154.3
Harrison Butker,KC,30.0,33.3,51.4,153.2
Daniel Carlson,LV,34.2,38.0,41.8,155.3
Matt Gay,LAR,31.4,36.2,45.0,145.5
Ryan Succop,TB,28.9,35.0,52.0,141.5
Tyler Bass,BUF,31.0,37.0,53.0,146.0
Greg Joseph,MIN,32.6,37.0,41.7,149.9
Matt Prater,ARI,29.5,36.3,45.0,145.1
Mason Crosby,GB,30.4,36.5,48.7,150.8
Evan McPherson,CIN,31.0,36.0,44.7,137.0
Nick Folk,NE,31.0,34.0,42.5,142.4
Rodrigo Blankenship,IND,32.0,38.0,44.3,148.3
Robbie Gould,SF,31.7,36.6,43.5,146.4
Brandon McManus,DEN,28.4,33.3,44.0,131.8
Dustin Hopkins,LAC,29.0,33.0,47.0,135.3
Chris Boswell,PIT,31.0,36.2,43.4,136.2
Randy Bullock,TEN,26.3,32.0,43.4,128.3
Younghoe Koo,ATL,30.0,32.0,41.6,129.0
Jake Elliott,PHI,28.2,35.2,45.0,130.2
Wil Lutz,NO,29.0,32.0,42.0,128.0
Jason Sanders,MIA,28.1,35.0,43.0,130.3
Graham Gano,NYG,29.5,34.1,34.0,129.2
Cairo Santos,CHI,29.4,35.2,43.3,133.3
Austin Seibert,DET,30.1,33.1,40.4,130.8
Joey Slye,WAS,28.4,34.0,36.9,126.6
Cade York,CLE,27.2,33.2,41.0,125.8
Zane Gonzalez,CAR,27.8,32.6,34.0,117.4
Eddy Pineiro,NYJ,24.0,28.0,35.0,107.0
Jason Myers,SEA,27.3,32.4,39.0,124.8
Ka'imi Fairbairn,HOU,27.0,32.4,38.3,122.6
Greg Zuerlein,NYJ,27.4,33.1,31.8,113.8
Ryan Santoso,JAC,27.4,33.0,35.0,116.4
Riley Patterson,DET,21.9,0.0,30.2,95.8
Brett Maher,DAL,26.3,32.1,52.0,128.0
Lirim Hajrullahu,DAL,26.0,32.0,39.0,117.0
