ecp,ecp_tier,player,team,pos,bye,sos,ecp_vs_adp

1,1,Christian McCaffrey,SF,RB1,9,2 out of 5 stars,0
2,1,CeeDee Lamb,DAL,WR1,7,3 out of 5 stars,+1
3,1,Tyreek Hill,MIA,WR2,6,2 out of 5 stars,-1
4,1,Ja'Marr Chase,CIN,WR3,12,2 out of 5 stars,+2
5,1,Amon-Ra St. Brown,DET,WR4,5,4 out of 5 stars,+3
6,2,Breece Hall,NYJ,RB2,12,2 out of 5 stars,-2
7,2,Justin Jefferson,MIN,WR5,6,3 out of 5 stars,0
8,2,Bijan Robinson,ATL,RB3,12,4 out of 5 stars,-3
9,2,A.J. Brown,PHI,WR6,5,2 out of 5 stars,+1
10,2,Garrett Wilson,NYJ,WR7,12,4 out of 5 stars,+2
11,2,Jahmyr Gibbs,DET,RB4,5,3 out of 5 stars,+2
12,3,Jonathan Taylor,IND,RB5,14,2 out of 5 stars,-1
13,3,Puka Nacua,LAR,WR8,6,3 out of 5 stars,+1
14,3,Marvin Harrison Jr.,ARI,WR9,11,3 out of 5 stars,+2
15,3,Saquon Barkley,PHI,RB6,5,4 out of 5 stars,-6
16,3,Davante Adams,LV,WR10,10,3 out of 5 stars,+4
17,3,Drake London,ATL,WR11,12,4 out of 5 stars,+8
18,3,Chris Olave,NO,WR12,12,3 out of 5 stars,+5
19,3,Josh Allen,BUF,QB1,12,1 out of 5 stars,+3
20,4,Travis Etienne Jr.,JAC,RB7,12,2 out of 5 stars,-2
21,4,Jalen Hurts,PHI,QB2,5,2 out of 5 stars,+11
22,4,Jaylen Waddle,MIA,WR13,6,2 out of 5 stars,+22
23,4,Michael Pittman Jr.,IND,WR14,14,4 out of 5 stars,+12
24,4,Mike Evans,TB,WR15,11,3 out of 5 stars,+9
25,4,Cooper Kupp,LAR,WR16,6,3 out of 5 stars,+12
26,4,Nico Collins,HOU,WR17,14,3 out of 5 stars,+4
27,4,Sam LaPorta,DET,TE1,5,3 out of 5 stars,0
28,4,Kyren Williams,LAR,RB8,6,3 out of 5 stars,-13
29,4,Brandon Aiyuk,SF,WR18,9,2 out of 5 stars,+7
30,4,Travis Kelce,KC,TE2,6,3 out of 5 stars,-9
31,4,Patrick Mahomes II,KC,QB3,6,3 out of 5 stars,-5
32,4,Lamar Jackson,BAL,QB4,14,4 out of 5 stars,+7
33,4,Isiah Pacheco,KC,RB9,6,3 out of 5 stars,-14
34,4,Deebo Samuel Sr.,SF,WR19,9,2 out of 5 stars,-3
35,4,DJ Moore,CHI,WR20,7,4 out of 5 stars,+11
36,4,De'Von Achane,MIA,RB10,6,3 out of 5 stars,-12
37,4,DeVonta Smith,PHI,WR21,5,2 out of 5 stars,+8
38,4,DK Metcalf,SEA,WR22,10,3 out of 5 stars,+4
39,5,Malik Nabers,NYG,WR23,11,3 out of 5 stars,+12
40,5,Derrick Henry,BAL,RB11,14,3 out of 5 stars,-23
41,5,Rachaad White,TB,RB12,11,5 out of 5 stars,-7
42,5,Amari Cooper,CLE,WR24,10,3 out of 5 stars,+12
43,5,Stefon Diggs,HOU,WR25,14,3 out of 5 stars,-3
44,5,Alvin Kamara,NO,RB13,12,5 out of 5 stars,-3
45,5,James Cook,BUF,RB14,12,2 out of 5 stars,-16
46,5,Josh Jacobs,GB,RB15,10,1 out of 5 stars,-18
47,5,Anthony Richardson,IND,QB5,14,5 out of 5 stars,+5
48,5,Trey McBride,ARI,TE3,11,5 out of 5 stars,0
49,5,Zay Flowers,BAL,WR26,14,3 out of 5 stars,+12
50,5,Tee Higgins,CIN,WR27,12,2 out of 5 stars,+12
51,6,C.J. Stroud,HOU,QB6,14,2 out of 5 stars,-2
52,6,Joe Mixon,HOU,RB16,14,3 out of 5 stars,-14
53,6,Rashee Rice,KC,WR28,6,3 out of 5 stars,+24
54,6,Terry McLaurin,WAS,WR29,14,3 out of 5 stars,+18
55,6,Kenneth Walker III,SEA,RB17,10,4 out of 5 stars,-12
56,6,George Pickens,PIT,WR30,9,1 out of 5 stars,+2
57,6,Kyler Murray,ARI,QB7,11,2 out of 5 stars,+14
58,6,Christian Kirk,JAC,WR31,12,4 out of 5 stars,+18
59,6,Tank Dell,HOU,WR32,14,3 out of 5 stars,+5
60,6,Mark Andrews,BAL,TE4,14,3 out of 5 stars,-13
61,6,Joe Burrow,CIN,QB8,12,2 out of 5 stars,-4
62,6,Chris Godwin,TB,WR33,11,3 out of 5 stars,+16
63,6,Dak Prescott,DAL,QB9,7,2 out of 5 stars,+5
64,6,Dalton Kincaid,BUF,TE5,12,2 out of 5 stars,-14
65,6,Keenan Allen,CHI,WR34,7,4 out of 5 stars,+9
66,6,Diontae Johnson,CAR,WR35,11,5 out of 5 stars,+21
67,6,James Conner,ARI,RB18,11,2 out of 5 stars,-12
68,6,Aaron Jones,MIN,RB19,6,3 out of 5 stars,-12
69,6,Rhamondre Stevenson,NE,RB20,14,2 out of 5 stars,-4
70,6,Jordan Love,GB,QB10,10,5 out of 5 stars,-1
71,6,Calvin Ridley,TEN,WR36,5,4 out of 5 stars,+4
72,6,David Montgomery,DET,RB21,5,3 out of 5 stars,-13
73,7,D'Andre Swift,CHI,RB22,7,2 out of 5 stars,-13
74,7,Najee Harris,PIT,RB23,9,4 out of 5 stars,-4
75,7,Jayden Daniels,WAS,QB11,14,3 out of 5 stars,+29
76,7,Brock Purdy,SF,QB12,9,2 out of 5 stars,+15
77,7,Zamir White,LV,RB24,10,3 out of 5 stars,-11
78,7,Evan Engram,JAC,TE6,12,3 out of 5 stars,-11
79,7,Kyle Pitts,ATL,TE7,12,3 out of 5 stars,-16
80,7,Jayden Reed,GB,WR37,10,4 out of 5 stars,+2
81,7,Javonte Williams,DEN,RB25,14,4 out of 5 stars,+2
82,7,Raheem Mostert,MIA,RB26,6,3 out of 5 stars,-9
83,7,Jaxon Smith-Njigba,SEA,WR38,10,3 out of 5 stars,+17
84,7,George Kittle,SF,TE8,9,4 out of 5 stars,-31
