player,team,fgm,fga,xpm,fp_projection
Greg Zuerlein,LAR,24.2,31.3,39.0,111.5
Stephen Gostkowski,NE,24.7,30.6,42.8,117.0
Justin Tucker,BAL,23.2,35.0,31.4,104.2
Wil Lutz,NO,23.3,30.7,37.5,107.3
Harrison Butker,KC,25.4,30.0,37.3,113.4
Ka'imi Fairbairn,HOU,22.6,33.9,36.7,104.3
Michael Badgley,LAC,24.0,28.0,34.8,113.8
Robbie Gould,SF,22.7,30.8,29.5,112.7
Matt Bryant,ATL,22.7,30.3,37.7,105.7
Jake Elliott,PHI,22.8,30.0,36.7,105.1
Brett Maher,DAL,23.2,32.3,31.7,101.3
Mason Crosby,GB,25.1,30.0,24.4,101.4
Ryan Succop,TEN,23.0,31.1,32.2,103.2
Matt Prater,DET,25.5,31.0,23.2,99.8
Aldrick Rosas,NYG,23.9,28.5,32.9,112.0
Jason Myers,SEA,23.0,26.1,26.3,97.9
Adam Vinatieri,IND,24.6,28.5,31.4,105.2
Kaare Vedvik,NYJ,25.4,30.5,29.3,108.8
Eddy Pineiro,CHI,21.3,29.8,27.8,91.6
Chris Boswell,PIT,20.0,25.0,39.3,104.0
Matt Gay,TB,21.0,27.0,25.3,90.2
Joey Slye,CAR,21.9,29.5,27.0,92.8
Dan Bailey,MIN,21.0,29.0,22.0,93.0
Austin Seibert,CLE,21.8,27.0,32.4,97.7
Brandon McManus,DEN,22.0,27.0,28.5,101.5
Josh Lambo,JAC,21.0,26.0,28.2,98.0
Daniel Carlson,OAK,22.0,26.0,24.5,95.5
Randy Bullock,CIN,20.0,24.0,25.4,97.0
Steven Hauschka,BUF,22.0,26.0,27.3,96.0
Jason Sanders,MIA,19.0,22.0,26.0,89.0
Dustin Hopkins,WAS,21.9,25.8,27.0,93.6
Zane Gonzalez,ARI,16.0,22.0,24.9,80.0
