player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Pittsburgh Steelers,,41.9,12.2,8.6,17.8,2.0,0.7,289.0,5528.6,107.8
San Francisco 49ers,,40.3,12.4,8.5,19.3,2.4,0.0,283.0,5567.9,109.2
Los Angeles Rams,,39.7,11.5,8.7,13.5,2.4,0.0,326.0,5659.2,97.5
New England Patriots,,36.6,12.5,7.9,12.2,2.4,0.0,287.1,5451.6,97.6
Baltimore Ravens,,38.0,13.6,8.0,14.8,2.4,0.0,287.1,5508.3,104.4
Philadelphia Eagles,,38.5,12.3,8.2,15.0,2.5,0.0,343.6,5714.1,102.8
Kansas City Chiefs,,39.8,12.1,8.2,13.2,2.4,0.0,321.0,5780.8,99.7
New Orleans Saints,,38.5,11.0,8.4,14.8,2.0,0.0,333.8,5625.1,103.3
Minnesota Vikings,,37.8,11.5,8.2,17.2,1.0,0.0,315.0,5661.1,100.8
Buffalo Bills,,38.4,12.7,8.9,16.0,2.0,0.0,274.0,5377.4,106.4
Tampa Bay Buccaneers,,37.4,11.8,7.7,18.7,2.4,0.0,349.6,5619.2,101.5
Indianapolis Colts,,40.1,11.4,8.6,15.7,1.0,0.0,314.5,5701.1,99.6
Seattle Seahawks,,32.3,12.8,8.9,15.0,2.0,0.0,339.7,5952.0,96.0
Cleveland Browns,,39.0,12.3,8.6,13.7,1.0,0.0,350.0,5932.8,97.0
Green Bay Packers,,38.3,11.3,7.7,11.8,1.0,0.0,340.0,5818.0,92.0
Denver Broncos,,38.3,12.0,8.0,12.8,2.0,0.0,306.9,5615.7,95.5
Dallas Cowboys,,37.9,8.0,8.8,13.5,1.0,0.0,326.9,5607.9,83.0
Washington Football Team,,35.5,10.0,8.4,12.9,1.0,0.0,365.0,6054.4,92.1
Carolina Panthers,,34.3,10.7,7.6,11.7,1.0,0.0,393.8,6044.8,88.1
Jacksonville Jaguars,,37.1,11.0,8.0,14.9,2.0,0.0,388.9,6368.0,97.0
Houston Texans,,28.8,11.9,8.3,16.0,2.4,0.0,350.0,5948.8,95.6
Arizona Cardinals,,37.8,7.0,9.0,15.4,2.0,0.0,378.2,6137.6,87.0
New York Jets,,31.8,12.3,8.0,12.7,2.4,0.0,362.9,5666.1,93.4
Chicago Bears,,32.1,10.8,8.0,16.6,1.0,0.0,295.0,5635.6,86.0
Tennessee Titans,,36.9,12.0,5.7,8.7,2.0,0.0,292.0,5737.6,89.0
Cincinnati Bengals,,33.0,12.0,6.0,12.3,2.0,0.0,366.6,6497.6,83.0
New York Giants,,34.0,11.4,7.0,11.2,2.0,0.0,386.9,5984.0,89.6
Las Vegas Raiders,,32.9,10.0,7.0,12.0,2.0,0.0,370.5,5874.2,81.0
Detroit Lions,,29.1,11.0,8.1,15.9,1.0,0.0,356.0,6220.8,92.0
Los Angeles Chargers,,34.8,11.1,6.6,10.2,1.0,0.0,318.7,5729.4,87.0
Atlanta Falcons,,28.6,10.5,6.0,13.9,2.0,0.0,364.3,6055.0,83.0
Miami Dolphins,,22.6,11.9,7.0,10.0,1.0,0.0,369.4,6308.8,84.0
