player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,101.0,1149.0,8.4,0.5,294.6
Sam LaPorta,DET,99.5,1043.5,9.0,0.0,291.2
Mark Andrews,BAL,83.6,991.0,11.0,0.0,266.3
Trey McBride,ARI,100.1,1038.3,6.8,0.0,276.0
Dalton Kincaid,BUF,95.0,940.7,7.0,0.5,269.4
George Kittle,SF,71.0,915.0,7.0,0.0,253.7
Evan Engram,JAC,92.0,831.0,5.7,0.7,250.9
Kyle Pitts,ATL,82.1,1016.5,6.6,0.0,245.7
Jake Ferguson,DAL,75.2,773.0,7.0,0.0,237.8
David Njoku,CLE,75.0,879.0,7.0,0.5,235.0
Brock Bowers,LV,68.2,754.0,5.0,0.4,226.1
Dallas Goedert,PHI,68.0,743.0,6.0,0.0,228.6
Dalton Schultz,HOU,59.2,656.0,6.0,0.4,206.3
Pat Freiermuth,PIT,65.0,652.0,5.0,0.0,194.8
T.J. Hockenson,MIN,64.0,663.0,4.0,0.4,203.5
Tyler Conklin,NYJ,59.0,601.0,4.0,0.0,169.2
Cole Kmet,CHI,59.0,604.0,7.0,0.0,179.4
Hunter Henry,NE,56.0,565.0,7.0,0.0,184.2
Cade Otton,TB,55.0,525.0,4.0,0.0,173.5
Luke Musgrave,GB,58.0,606.0,4.0,0.0,176.2
Chigoziem Okonkwo,TEN,52.0,586.1,3.0,0.0,147.3
Noah Fant,SEA,50.0,517.1,3.0,0.0,164.5
Juwan Johnson,NO,48.9,533.4,6.0,0.0,126.3
Taysom Hill,NO,30.0,281.0,2.2,0.0,145.6
Isaiah Likely,BAL,41.3,547.0,8.0,0.0,129.2
Hayden Hurst,LAC,54.3,470.1,3.2,0.0,109.3
Jonnu Smith,MIA,45.0,524.0,4.0,0.0,128.2
Mike Gesicki,CIN,44.2,418.0,5.0,0.0,102.9
Zach Ertz,WAS,54.0,486.0,5.0,0.0,118.1
Ben Sinnott,WAS,45.0,462.0,3.0,0.0,130.6
Tucker Kraft,GB,38.5,376.3,3.0,0.0,121.4
Greg Dulcich,DEN,39.6,477.0,2.3,0.0,112.9
Tyler Higbee,LAR,51.0,514.0,3.0,0.0,95.9
Gerald Everett,CHI,44.0,403.0,4.0,0.0,95.3
Dawson Knox,BUF,32.0,327.0,5.0,0.0,107.0
Colby Parkinson,LAR,34.0,366.0,3.0,0.0,118.3
Daniel Bellinger,NYG,47.0,456.0,4.0,0.0,102.3
Theo Johnson,NYG,39.0,370.0,2.0,0.2,79.4
Ja'Tavion Sanders,CAR,38.0,355.0,3.0,0.0,115.4
Michael Mayer,LV,38.0,437.0,3.0,0.0,97.3
Tommy Tremble,CAR,35.8,334.1,5.0,0.0,72.5
Kylen Granson,IND,36.4,368.0,2.4,0.0,78.0
Noah Gray,KC,28.5,301.0,2.3,0.0,84.2
Will Dissly,LAC,34.2,349.2,2.1,0.0,70.4
Mo Alie-Cox,IND,34.0,355.0,5.0,0.0,64.7
Robert Tonyan,MIN,33.3,302.3,2.1,0.0,63.1
Durham Smythe,MIA,37.0,385.0,2.0,0.0,69.7
Tanner Hudson,CIN,25.0,245.0,2.0,0.0,74.3
Austin Hooper,NE,29.0,263.0,1.1,0.0,50.6
Donald Parham Jr.,LAC,28.0,292.0,5.0,0.0,66.1
Adam Trautman,DEN,25.0,236.0,3.0,0.0,50.3
Brevin Jordan,HOU,26.0,401.0,5.0,0.0,76.6
Jaheim Bell,NE,23.0,253.0,2.0,0.0,76.8
Elijah Higgins,ARI,31.0,373.0,2.0,0.0,57.3
Brock Wright,DET,27.0,251.0,3.0,0.0,49.7
Jeremy Ruckert,NYJ,26.0,257.0,2.0,0.0,59.1
Josh Oliver,MIN,26.0,243.0,2.0,0.0,44.7
Jelani Woods,IND,26.0,292.0,2.0,0.0,80.9
Johnny Mundt,MIN,26.0,246.0,1.1,0.0,57.2
Logan Thomas,SF,14.0,143.0,1.0,0.0,48.3
Connor Heyward,PIT,24.0,206.1,1.4,0.0,44.5
Will Mallory,IND,16.0,169.0,1.0,0.0,52.4
Davis Allen,LAR,15.3,158.2,1.2,0.0,45.3
Dallin Holker,NO,13.0,135.0,1.0,0.0,45.5
Foster Moreau,NO,15.9,181.8,1.3,0.0,41.1
Josh Whyle,TEN,23.0,236.0,2.0,0.0,71.1
Jack Stoll,NYG,17.3,149.0,1.0,0.0,37.6
Pharaoh Brown,SEA,17.8,179.3,1.2,0.0,36.7
Devin Culp,TB,13.0,135.0,1.0,0.0,44.5
Tanner McLachlan,CIN,12.0,123.0,1.0,0.0,42.3
Peyton Hendershot,DAL,14.3,141.7,1.2,0.0,43.9
Ian Thomas,CAR,21.0,209.0,1.0,0.0,33.1
AJ Barner,SEA,14.0,150.0,1.0,0.0,46.6
Darnell Washington,PIT,15.0,153.0,1.0,0.0,48.3
Luke Schoonmaker,DAL,12.2,125.7,1.1,0.0,33.5
Brayden Willis,SF,10.0,121.0,1.0,0.0,21.0
Cameron Latu,SF,13.0,121.0,1.0,0.0,39.3
Drew Ogletree,IND,16.8,179.8,1.3,0.0,35.9
John FitzPatrick,ATL,10.0,117.0,1.0,0.0,20.0
Irv Smith Jr.,KC,13.4,119.3,1.1,0.0,40.0
Travis Vokolek,ARI,11.0,102.0,1.0,0.0,21.0
Jordan Akins,CLE,15.3,149.1,1.0,0.0,32.4
Erick All Jr.,CIN,12.0,123.0,1.0,0.0,22.2
Stone Smartt,LAC,11.0,157.0,1.0,0.0,32.2
Cade Stover,HOU,15.0,159.0,1.0,0.0,46.8
Brenton Strange,JAC,13.0,131.0,2.0,0.0,41.8
Tip Reiman,ARI,12.0,121.0,1.0,0.0,40.3
Drew Sample,CIN,13.7,126.0,1.0,0.0,41.1
Jared Wiley,KC,13.0,128.0,1.0,0.0,40.4
Lucas Krull,DEN,15.0,160.0,1.0,0.0,46.6
Payne Durham,TB,13.0,136.0,1.0,0.0,41.3
Teagan Quitoriano,HOU,11.0,179.0,2.0,0.0,28.5
Quintin Morris,BUF,11.0,123.0,2.0,0.0,29.0
James Mitchell,DET,12.0,124.0,1.0,0.0,19.0
MyCole Pruitt,PIT,9.0,101.0,2.0,0.0,22.2
Miller Forristall,LAR,7.6,78.5,0.6,0.0,19.2
Harrison Bryant,LV,12.0,122.0,1.0,0.0,37.9
Eric Saubert,SF,10.0,99.0,1.0,0.0,20.2
