player,team,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Saquon Barkley,NYG,264.6,1196.9,8.7,74.7,675.9,2.9,0.8,257.8
Christian McCaffrey,CAR,215.0,947.0,6.0,89.9,766.6,4.3,1.6,239.6
Alvin Kamara,NO,164.0,804.0,8.1,81.7,730.7,4.1,0.7,247.5
Ezekiel Elliott,DAL,242.0,1089.0,7.3,50.0,382.0,2.0,2.0,213.1
David Johnson,ARI,250.7,966.2,5.9,46.3,472.0,2.0,2.8,190.8
Le'Veon Bell,NYJ,247.0,1023.2,6.2,61.0,455.0,2.0,1.1,205.9
James Conner,PIT,235.3,1027.6,8.6,49.1,410.8,1.5,1.6,207.7
Todd Gurley,LAR,200.7,957.1,8.3,42.8,375.0,1.9,1.0,204.2
Nick Chubb,CLE,239.0,1125.0,8.0,31.8,244.9,1.0,0.7,195.3
Joe Mixon,CIN,236.0,1084.0,7.0,42.3,319.4,1.0,1.0,190.1
Dalvin Cook,MIN,241.0,1085.0,6.0,54.4,410.0,1.7,3.5,202.3
Derrick Henry,TEN,240.0,1106.0,9.0,16.2,112.4,0.0,1.0,177.1
Chris Carson,SEA,236.0,1040.0,7.0,23.7,179.9,1.0,1.9,174.5
Kerryon Johnson,DET,210.0,968.5,5.5,44.0,303.0,1.9,1.6,176.8
Leonard Fournette,JAC,241.7,910.0,6.0,31.5,274.6,1.0,0.8,173.1
Aaron Jones,GB,184.5,937.0,7.0,35.0,275.0,1.0,1.0,169.2
Devonta Freeman,ATL,201.0,749.1,5.5,39.0,320.0,1.0,1.1,148.9
Josh Jacobs,OAK,222.0,939.7,6.0,35.0,247.0,1.0,1.3,162.3
Marlon Mack,IND,231.3,1034.5,5.8,21.0,158.5,0.7,1.1,163.2
Sony Michel,NE,193.0,887.0,7.0,6.0,46.0,0.0,1.0,135.3
David Montgomery,CHI,180.0,736.0,6.0,30.0,238.1,1.0,1.2,143.1
Damien Williams,KC,105.3,449.3,6.1,40.3,330.1,2.0,1.3,132.3
Melvin Gordon,LAC,135.0,649.0,4.0,27.0,221.0,1.7,0.9,123.0
Mark Ingram,BAL,210.0,718.1,5.1,25.2,225.8,0.8,1.4,130.5
Phillip Lindsay,DEN,168.8,764.4,5.4,30.3,223.1,0.7,0.5,138.6
Tevin Coleman,SF,151.4,696.3,4.0,23.6,209.4,1.0,0.9,135.1
Duke Johnson,HOU,129.9,534.4,2.4,43.0,397.0,2.0,1.1,133.6
Derrius Guice,WAS,143.0,628.0,4.1,25.0,186.0,0.0,1.1,111.4
James White,NE,55.7,241.1,2.1,65.0,602.7,2.7,0.4,114.9
Kenyan Drake,MIA,137.5,453.4,2.7,40.0,302.0,1.9,1.2,114.5
Austin Ekeler,LAC,117.9,469.8,3.1,40.3,370.5,1.6,0.8,112.1
Matt Breida,SF,127.6,534.8,3.0,24.7,212.6,1.0,0.7,102.5
Miles Sanders,PHI,133.0,431.9,3.1,21.1,161.6,0.8,1.0,81.8
Peyton Barber,TB,165.5,645.7,3.6,18.2,99.7,0.0,1.2,105.0
Tarik Cohen,CHI,72.0,270.8,1.7,46.3,474.8,2.4,1.0,98.6
Latavius Murray,NO,140.0,508.8,3.5,11.5,87.8,0.0,0.5,83.4
Devin Singletary,BUF,170.0,260.0,1.9,14.2,123.5,0.5,1.0,51.7
Kalen Ballage,MIA,120.3,516.5,2.6,17.2,138.1,0.0,2.0,82.2
Rashaad Penny,SEA,128.1,579.9,3.3,7.1,67.8,0.3,0.6,90.3
Jordan Howard,PHI,129.2,514.4,4.3,12.0,78.7,0.0,0.7,83.8
LeSean McCoy,KC,102.0,419.0,3.6,21.0,155.0,1.0,0.5,87.4
Frank Gore,BUF,111.4,444.5,1.9,11.0,86.0,0.0,0.7,78.1
Royce Freeman,DEN,164.9,409.7,2.7,13.0,74.0,0.0,0.7,68.3
Darrell Henderson,LAR,86.1,388.0,2.2,20.1,165.0,0.0,0.5,73.8
C.J. Anderson,DET,96.0,384.0,3.0,11.9,87.0,0.0,0.4,72.2
Dion Lewis,TEN,79.6,307.0,1.1,25.6,184.7,0.6,0.5,75.9
Jalen Richard,OAK,42.6,194.4,1.0,38.9,338.9,1.0,1.2,68.7
Ronald Jones II,TB,103.0,282.0,2.0,17.0,113.0,0.0,0.5,60.6
Jaylen Samuels,PIT,60.5,258.1,1.7,25.3,224.8,1.2,0.4,69.2
Jamaal Williams,GB,91.9,367.2,2.0,17.2,120.6,0.0,0.3,65.7
Ito Smith,ATL,73.3,291.1,2.0,18.0,136.2,0.7,0.4,61.0
Adrian Peterson,WAS,99.6,339.0,2.1,6.7,46.0,0.0,0.7,51.4
Giovani Bernard,CIN,72.1,179.5,1.2,30.9,236.1,0.7,0.4,58.0
Nyheim Hines,IND,58.0,255.8,0.9,28.8,221.8,0.9,0.5,58.4
Kareem Hunt,CLE,69.8,236.0,1.9,13.9,115.0,0.0,0.2,51.4
Chris Thompson,WAS,36.2,165.4,0.0,34.5,271.0,0.9,0.6,57.4
Gus Edwards,BAL,63.4,252.5,1.7,1.8,12.3,0.0,0.3,51.2
Justin Jackson,LAC,57.3,235.5,1.5,10.2,84.1,0.0,0.2,44.2
Damien Harris,NE,79.0,226.3,1.6,9.0,74.4,0.0,0.4,41.8
Carlos Hyde,HOU,81.0,125.4,0.8,2.4,21.5,0.0,0.7,19.3
Justice Hill,BAL,48.4,201.4,1.1,13.0,103.3,0.4,0.3,39.3
Ryquell Armstead,JAC,62.9,227.2,1.3,12.6,109.8,0.0,0.5,45.5
Alexander Mattison,MIN,60.1,235.5,1.7,7.9,62.8,0.0,0.4,43.3
Ty Montgomery,NYJ,54.3,83.8,0.7,14.2,124.3,0.5,0.4,28.3
T.J. Yeldon,BUF,42.8,177.0,0.7,18.0,145.0,0.0,0.4,39.1
Mike Davis,CHI,31.0,131.7,0.8,5.4,40.4,0.0,0.3,23.0
Tony Pollard,DAL,33.0,100.4,0.7,8.4,53.2,0.0,0.2,21.3
Chase Edmonds,ARI,47.7,197.0,1.0,8.1,59.7,0.0,0.3,34.1
Ty Johnson,DET,39.0,155.0,0.0,11.0,75.0,0.0,0.4,23.0
Darwin Thompson,KC,43.5,168.7,1.0,7.7,56.9,0.4,0.3,33.0
Devontae Booker,DEN,19.9,92.6,0.5,7.0,54.0,0.0,0.4,26.8
Alfred Blue,JAC,61.5,239.4,0.3,14.3,94.8,0.4,0.0,0.0
Devine Ozigbo,JAC,36.3,150.3,1.0,8.5,67.5,0.3,0.3,28.6
Dare Ogunbowale,TB,34.3,73.0,0.5,10.2,93.3,0.0,0.4,22.8
Corey Clement,PHI,12.7,53.0,0.4,4.4,36.8,0.0,0.1,12.5
Malcolm Brown,LAR,37.2,170.7,1.1,4.5,35.8,0.0,0.3,29.1
Wayne Gallman,NYG,29.1,108.1,0.7,4.7,27.6,0.0,0.4,18.3
Brian Hill,ATL,18.3,76.3,0.5,2.2,18.2,0.0,0.9,12.8
DeAndre Washington,OAK,46.0,110.3,0.8,4.0,26.1,0.0,0.3,19.1
Dontrell Hilliard,CLE,31.1,64.3,0.0,13.2,95.0,0.0,0.2,23.5
Jordan Scarlett,CAR,36.2,134.7,0.9,7.7,61.9,0.0,0.2,28.9
Kyle Juszczyk,SF,7.6,13.6,0.2,6.2,48.7,0.2,0.4,9.9
Rex Burkhead,NE,29.7,18.0,0.2,1.5,13.4,0.0,0.3,4.6
Bilal Powell,NYJ,19.7,68.1,0.0,2.0,15.0,0.0,0.2,10.9
Theo Riddick,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Dexter Williams,GB,20.8,82.8,0.8,5.7,47.7,0.0,0.2,20.1
Darren Sproles,PHI,10.0,26.6,0.0,4.5,38.8,0.0,0.2,8.8
C.J. Prosise,SEA,2.4,4.5,0.0,4.2,33.5,0.5,0.1,7.5
Qadree Ollison,ATL,33.0,130.7,0.9,4.3,34.4,0.2,0.2,22.9
Raheem Mostert,SF,16.7,73.1,0.0,2.8,15.1,0.0,1.2,11.0
Alfred Morris,DAL,12.2,48.9,0.3,1.9,15.1,0.0,0.3,8.8
Reggie Bonnafon,CAR,20.1,83.2,0.7,3.9,31.0,0.2,0.2,16.3
Jordan Wilkins,IND,18.2,76.8,0.5,2.0,11.0,0.0,0.2,14.7
D.J. Foster,ARI,13.6,52.6,0.1,4.1,34.3,0.2,0.1,10.4
Taiwan Jones,HOU,23.8,82.7,0.2,2.0,16.6,0.1,0.1,15.6
Benny Snell Jr.,PIT,16.6,60.7,0.0,2.0,16.0,0.0,0.2,14.2
D'Ernest Johnson,CLE,0.0,89.1,0.6,6.4,52.0,0.2,0.1,18.8
Mike Boone,MIN,12.6,41.7,0.3,2.0,12.0,0.0,0.2,10.8
Dwayne Washington,NO,10.7,42.7,0.3,1.0,6.0,0.0,0.1,9.0
Mark Walton,MIA,11.3,41.3,0.1,4.3,27.6,0.1,0.2,7.6
Elijhaa Penny,NYG,3.8,16.0,0.1,2.4,17.4,0.1,0.2,6.4
Myles Gaskin,MIA,17.2,68.8,0.0,1.0,6.0,0.0,0.1,9.4
Buddy Howell,HOU,1.8,7.5,0.0,1.2,9.1,0.0,0.2,2.1
Josh Adams,NYJ,23.4,85.5,0.6,3.9,25.6,0.1,0.0,0.0
Trayveon Williams,CIN,10.8,43.2,0.0,2.0,14.0,0.0,0.2,7.8
Paul Perkins,NYG,11.0,44.0,0.0,2.0,16.0,0.0,0.1,6.0
Ameer Abdullah,MIN,8.3,34.0,0.2,2.0,15.7,0.1,0.1,6.3
Zach Line,NO,5.5,26.6,0.3,3.1,22.2,0.2,0.1,8.5
