player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,99.4,1179.3,9.3,0.5,272.0
Mark Andrews,BAL,96.1,1196.2,9.0,0.5,268.4
Kyle Pitts,ATL,73.1,997.8,4.7,0.5,199.9
Darren Waller,LV,77.6,927.3,5.0,0.5,199.5
Dalton Schultz,DAL,77.5,805.3,6.2,0.4,194.1
George Kittle,SF,71.2,870.9,5.4,0.5,189.9
Dallas Goedert,PHI,63.6,795.4,5.0,0.5,172.4
T.J. Hockenson,DET,67.6,693.1,5.1,0.4,166.8
Zach Ertz,ARI,64.7,662.9,4.8,0.4,158.7
Mike Gesicki,MIA,61.5,671.1,4.0,0.4,152.0
Hunter Henry,NE,53.8,618.0,6.0,0.1,151.7
Noah Fant,SEA,60.7,653.6,3.8,0.4,148.3
Pat Freiermuth,PIT,62.7,579.6,4.8,0.5,148.2
Tyler Higbee,LAR,59.2,595.5,4.7,0.4,145.8
Cole Kmet,CHI,60.8,632.8,3.7,0.5,145.6
Dawson Knox,BUF,49.1,593.5,6.2,0.1,145.2
David Njoku,CLE,53.2,602.8,4.4,0.4,138.8
Gerald Everett,LAC,55.0,567.0,4.5,0.9,137.2
Irv Smith Jr.,MIN,50.4,557.0,4.5,0.1,132.8
Evan Engram,JAC,52.7,542.0,3.5,0.4,127.4
Albert Okwuegbunam,DEN,49.4,509.4,4.7,0.8,126.8
Logan Thomas,WAS,48.9,511.1,4.5,0.4,126.3
Robert Tonyan,GB,45.8,520.5,4.5,0.1,124.6
Austin Hooper,TEN,50.9,497.5,4.1,0.4,124.1
Hayden Hurst,CIN,42.0,441.2,4.0,0.5,109.1
Brevin Jordan,HOU,41.3,418.0,2.9,0.1,100.4
Mo Alie-Cox,IND,34.9,422.1,3.2,0.1,96.3
Adam Trautman,NO,36.1,374.5,2.8,0.4,89.7
C.J. Uzomah,NYJ,36.9,365.1,2.6,0.0,89.2
Kyle Rudolph,TB,33.9,338.9,3.3,0.1,87.6
Cameron Brate,TB,34.3,317.3,3.1,0.1,84.5
Paul Quessenberry,HOU,37.0,334.0,2.0,1.0,80.4
Tyler Conklin,NYJ,32.5,313.8,2.0,0.1,75.5
Jonnu Smith,NE,29.3,312.7,2.4,0.1,74.6
Andrew Beck,DEN,27.9,295.3,2.9,0.0,74.5
Harrison Bryant,CLE,28.8,305.2,2.4,0.4,73.1
Dan Arnold,JAC,27.9,328.8,1.9,0.5,71.5
Tommy Tremble,CAR,27.6,281.8,2.2,0.1,68.5
Foster Moreau,LV,24.4,273.0,2.3,0.0,65.6
Geoff Swaim,TEN,26.6,236.9,2.3,0.0,64.0
O.J. Howard,BUF,22.8,258.5,2.0,0.1,60.3
Daniel Bellinger,NYG,23.6,249.2,1.6,0.2,57.6
James O'Shaughnessy,CHI,23.2,253.8,1.3,0.0,56.0
Jelani Woods,IND,21.7,229.9,2.1,0.5,55.9
Ricky Seals-Jones,NYG,23.0,223.4,1.7,0.0,55.4
Donald Parham Jr.,LAC,20.5,214.2,2.1,0.0,54.4
