player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Brandon Dillon,MIN,5.0,52.5,0.5,0.0,12.6
Josiah Deguara,GB,7.8,85.7,0.7,0.1,17.1
Johnny Mundt,LAR,4.4,46.6,0.5,0.0,11.7
Demetrius Harris,ARI,4.1,41.2,0.4,0.0,10.2
Jordan Franks,CLE,3.7,41.0,0.4,0.0,9.8
Mason Schreck,CIN,4.1,42.5,0.3,0.0,9.6
Colby Parkinson,SEA,5.7,59.3,0.6,0.0,12.4
Eric Tomlinson,BAL,2.8,28.8,0.3,0.0,7.3
Lee Smith,ATL,4.2,41.7,0.4,0.0,8.9
Dominique Dafney,GB,3.9,42.9,0.4,0.0,8.8
Sean McKeon,DAL,4.3,43.8,0.3,0.0,8.8
Zach Davidson,MIN,2.4,24.0,0.2,0.0,5.8
Tanner Hudson,SF,2.1,23.0,0.2,0.0,5.7
Cethan Carter,MIA,4.1,41.4,0.3,0.0,8.1
Trevon Wesco,NYJ,3.8,40.2,0.2,0.0,7.7
Eric Saubert,DEN,3.8,38.0,0.3,0.0,7.8
Kaden Smith,NYG,4.1,36.9,0.3,0.0,7.7
Luke Willson,SEA,1.8,20.3,0.2,0.0,5.1
Matt LaCosse,NE,1.9,20.0,0.2,0.0,4.8
Ricky Seals-Jones,WAS,1.8,22.5,0.2,0.0,4.7
Farrod Green,IND,1.8,17.9,0.1,0.0,4.2
Codey McElroy,TB,2.2,23.1,0.2,0.0,5.1
Garrett Griffin,NO,0.8,9.4,0.1,0.0,2.3
Kevin Rader,PIT,0.9,8.7,0.0,0.0,2.3
Isaac Nauta,GB,0.8,8.2,0.0,0.0,2.2
Tyrone Swoopes,WAS,0.9,9.7,0.0,0.0,2.3
Hakeem Butler,PHI,0.8,8.4,0.0,0.0,2.0
Jason Croom,PHI,0.8,8.5,0.0,0.0,2.1
Jesper Horsted,CHI,0.8,8.2,0.0,0.0,2.1
Deon Yelder,TB,0.8,7.3,0.0,0.0,2.0
Colin Thompson,CAR,0.7,6.7,0.0,0.0,1.8
