player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,5.9,73.6,0.4,0.0,17.0
George Kittle,SF,5.6,59.8,0.4,0.0,14.2
Zach Ertz,PHI,5.3,55.9,0.2,0.0,14.0
Mark Andrews,BAL,3.9,54.0,0.4,0.0,11.7
Tyler Higbee,LAR,3.8,39.5,0.2,0.0,10.8
Darren Waller,LV,4.4,53.9,0.1,0.1,12.0
Hunter Henry,LAC,3.8,45.4,0.2,0.1,10.8
Evan Engram,NYG,3.9,44.4,0.0,0.0,11.1
Jared Cook,NO,3.1,41.3,0.0,0.0,9.4
Mike Gesicki,MIA,3.5,39.7,0.0,0.1,9.6
Dallas Goedert,PHI,3.2,35.0,0.0,0.1,9.4
Hayden Hurst,ATL,2.8,30.3,0.1,0.0,8.0
Austin Hooper,CLE,3.3,36.4,0.0,0.0,8.9
T.J. Hockenson,DET,3.3,36.3,0.0,0.0,8.7
Noah Fant,DEN,3.0,36.9,0.0,0.1,8.8
Rob Gronkowski,TB,2.8,32.8,0.0,0.0,8.3
Jack Doyle,IND,3.1,31.9,0.0,0.1,8.2
Ian Thomas,CAR,2.9,28.2,0.0,0.0,8.0
Chris Herndon IV,NYJ,3.0,35.4,0.0,0.0,8.0
Jonnu Smith,TEN,2.5,28.9,0.0,0.0,7.7
Blake Jarwin,DAL,2.1,23.3,0.0,0.0,6.3
Greg Olsen,SEA,2.6,28.6,0.0,0.0,7.2
Eric Ebron,PIT,2.4,28.2,0.0,0.0,7.0
Kyle Rudolph,MIN,2.6,27.0,0.1,0.0,7.2
Tyler Eifert,JAC,1.8,19.8,0.0,0.0,5.4
Irv Smith Jr.,MIN,1.9,18.6,0.0,0.0,5.5
Jimmy Graham,CHI,1.8,19.8,0.0,0.0,5.2
Dawson Knox,BUF,2.1,23.0,0.0,0.0,5.3
C.J. Uzomah,CIN,2.4,21.1,0.0,0.0,5.5
O.J. Howard,TB,1.9,22.3,0.0,0.1,5.0
Darren Fells,HOU,1.5,15.0,0.1,0.0,4.5
Devin Asiasi,NE,1.8,20.1,0.1,0.0,5.0
Will Dissly,SEA,1.6,17.5,0.1,0.0,4.8
David Njoku,CLE,1.5,16.4,0.0,0.0,4.2
Vance McDonald,PIT,1.3,14.0,0.0,0.0,4.2
Logan Thomas,WAS,1.8,18.3,0.1,0.0,4.5
Nick Boyle,BAL,1.9,17.1,0.0,0.0,4.6
Gerald Everett,LAR,1.1,12.2,0.1,0.0,3.4
Jason Witten,LV,1.7,16.0,0.0,0.0,4.3
Dan Arnold,ARI,1.1,11.5,0.1,0.0,3.3
Jordan Akins,HOU,1.3,15.0,0.0,0.0,3.7
Robert Tonyan,GB,1.7,17.8,0.1,0.0,4.2
Jordan Reed,SF,1.4,13.3,0.1,0.0,3.8
Jace Sternberger,GB,1.3,13.3,0.1,0.0,3.6
Cole Kmet,CHI,1.1,12.4,0.0,0.0,3.9
Cameron Brate,TB,1.0,8.4,0.0,0.0,2.6
Mo Alie-Cox,IND,1.2,14.2,0.0,0.0,3.5
Jaeden Graham,ATL,0.9,9.5,0.0,0.0,3.8
Ryan Griffin,NYJ,1.0,9.9,0.0,0.0,2.6
Jeremy Sprinkle,WAS,0.3,2.8,0.0,0.0,1.7
Jesse James,DET,1.0,9.9,0.0,0.0,2.7
Anthony Firkser,TEN,1.0,11.7,0.0,0.0,2.9
Kaden Smith,NYG,0.4,3.8,0.0,0.0,1.6
Taysom Hill,NO,0.8,9.2,0.0,0.0,4.3
Maxx Williams,ARI,1.0,11.4,0.0,0.0,2.9
Adam Shaheen,MIA,1.1,11.7,0.0,0.0,2.8
Jacob Hollister,SEA,0.7,7.2,0.0,0.0,2.3
James O'Shaughnessy,JAC,0.7,8.2,0.0,0.0,2.2
Josh Hill,NO,0.3,2.5,0.0,0.0,1.4
Tyler Kroft,BUF,0.8,7.7,0.0,0.0,2.1
Foster Moreau,LV,0.5,5.0,0.0,0.0,1.7
Adam Trautman,NO,0.7,7.6,0.0,0.0,2.0
Demetrius Harris,CHI,0.4,4.1,0.0,0.0,1.7
MyCole Pruitt,TEN,0.4,4.4,0.0,0.0,2.1
Brad Cottam,KC,0.7,7.7,0.0,0.0,0.0
Donald Parham,LAC,0.7,7.4,0.0,0.0,0.0
Drew Sample,CIN,0.2,1.7,0.0,0.0,0.9
Jake Butt,DEN,0.3,3.8,0.0,0.0,1.7
Chris Manhertz,CAR,0.3,2.7,0.0,0.0,1.0
Marcedes Lewis,GB,0.4,4.0,0.0,0.0,1.5
Ryan Izzo,NE,0.3,3.2,0.0,0.0,1.5
Buck Ortega,NO,0.5,5.9,0.0,0.0,0.0
Ricky Seals-Jones,KC,0.4,4.1,0.0,0.0,1.3
