player,team,fgm,fga,xpm,fp_projection
Harrison Butker,KC,33.0,37.0,53.1,154.9
Justin Tucker,BAL,31.0,33.3,57.0,150.0
Tyler Bass,BUF,30.0,36.0,52.6,147.4
Greg Zuerlein,DAL,37.0,47.0,47.0,158.0
Jason Sanders,MIA,32.0,37.0,44.0,140.0
Jason Myers,SEA,27.8,31.8,46.5,143.4
Rodrigo Blankenship,IND,31.0,36.0,44.0,138.6
Younghoe Koo,ATL,33.0,37.0,38.4,139.5
Ryan Succop,TB,32.0,38.0,49.1,144.0
Mason Crosby,GB,27.2,31.2,53.1,149.9
Brandon McManus,DEN,32.0,37.0,39.0,135.0
Matt Gay,LAR,29.7,35.1,42.1,136.0
Daniel Carlson,LV,29.0,35.0,40.0,134.5
Matt Prater,ARI,27.4,32.2,43.0,134.2
Robbie Gould,SF,28.0,34.0,47.0,131.0
Tristan Vizcaino,LAC,28.8,32.8,40.1,137.4
Graham Gano,NYG,31.6,34.6,36.1,140.6
Chase McLaughlin,CLE,28.1,33.2,45.7,136.4
Greg Joseph,MIN,26.5,32.1,48.0,131.2
Sam Ficken,TEN,27.1,33.2,46.5,138.5
Evan McPherson,CIN,27.9,34.3,36.9,120.7
Quinn Nordin,NE,27.7,32.9,37.0,128.5
Chris Boswell,PIT,27.0,30.4,41.0,122.0
Cairo Santos,CHI,28.0,34.0,40.0,124.0
Ka'imi Fairbairn,HOU,29.2,34.2,37.0,138.7
Dustin Hopkins,WAS,27.2,32.7,37.1,118.6
Ryan Santoso,CAR,27.0,33.0,33.0,121.6
Josh Lambo,JAC,28.7,32.5,36.4,123.8
Matt Ammendola,NYJ,27.4,33.6,31.5,113.6
Austin Seibert,DET,25.3,33.7,27.9,113.3
Jake Elliott,PHI,26.8,32.7,34.8,115.1
Wil Lutz,NO,19.3,23.1,36.0,90.0
Brett Maher,NO,0.0,0.0,0.0,0.0
Cody Parkey,CLE,0.0,0.0,0.0,0.0
