player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
Justin Jefferson,MIN,110.9,1523.9,8.1,3.7,19.0,0.3,0.3,315.2
Ja'Marr Chase,CIN,105.9,1389.9,10.3,4.9,24.0,0.1,1.1,307.6
Cooper Kupp,LAR,108.0,1345.7,8.3,7.9,73.2,0.8,0.8,302.8
Tyreek Hill,MIA,105.5,1395.5,7.8,9.2,55.7,0.6,0.4,300.1
CeeDee Lamb,DAL,99.0,1294.4,7.7,8.7,55.8,0.3,0.3,281.0
Stefon Diggs,BUF,97.2,1273.8,8.4,0.6,3.2,0.0,0.4,274.4
Davante Adams,LV,93.6,1264.2,8.5,1.8,7.6,0.1,0.3,271.6
Amon-Ra St. Brown,DET,101.0,1140.1,5.7,8.0,62.7,0.5,0.2,258.1
A.J. Brown,PHI,77.8,1195.0,8.3,0.3,3.8,0.0,0.6,246.7
Jaylen Waddle,MIA,79.6,1155.5,6.4,4.1,34.0,0.3,0.7,237.1
Garrett Wilson,NYJ,83.5,1132.6,6.4,2.4,6.3,0.0,0.8,234.4
Tee Higgins,CIN,80.5,1081.5,6.7,0.5,2.4,0.0,0.3,228.3
Chris Olave,NO,81.9,1147.0,5.6,0.0,0.1,0.0,1.3,228.0
DK Metcalf,SEA,82.1,1018.4,7.2,0.1,1.1,0.0,0.8,225.7
DeVonta Smith,PHI,82.9,1049.9,6.4,0.0,0.1,0.0,0.6,224.8
Keenan Allen,LAC,89.6,993.0,5.6,1.3,7.4,0.0,0.6,222.4
Calvin Ridley,JAC,80.4,1021.3,6.5,2.2,7.7,0.0,0.5,221.8
Deebo Samuel,SF,68.9,892.5,4.1,42.3,252.4,2.4,1.4,219.5
Amari Cooper,CLE,73.5,1031.7,7.0,0.5,1.6,0.0,0.1,218.7
Christian Watson,GB,69.2,958.3,6.0,8.6,69.8,1.0,0.2,213.6
Jerry Jeudy,DEN,72.8,1050.3,5.6,1.6,15.0,0.0,0.2,212.8
Chris Godwin,TB,89.7,965.5,4.1,2.7,13.4,0.1,0.7,211.5
Terry McLaurin,WAS,73.8,1035.2,5.0,3.3,20.1,0.1,0.2,209.2
DeAndre Hopkins,TEN,78.1,993.1,5.3,0.2,1.2,0.0,0.8,207.9
Mike Williams,LAC,70.9,988.4,6.0,1.0,4.5,0.0,0.1,206.4
Mike Evans,TB,71.3,991.4,5.8,0.0,6.8,0.0,0.1,205.5
Christian Kirk,JAC,74.2,919.1,5.9,3.5,21.0,0.1,0.5,203.0
DJ Moore,CHI,67.0,940.8,6.4,6.0,37.1,0.1,0.3,202.7
Diontae Johnson,PIT,80.3,912.8,4.3,4.6,25.2,0.0,0.5,198.8
Drake London,ATL,75.9,937.2,5.5,0.0,0.1,0.0,1.8,198.7
Marquise Brown,ARI,77.8,910.5,4.8,1.4,8.3,0.0,0.3,198.4
Tyler Lockett,SEA,74.9,894.3,5.7,0.2,0.7,0.0,0.6,197.7
Brandon Aiyuk,SF,64.7,891.5,5.4,2.7,18.3,0.2,0.6,187.8
Michael Pittman Jr.,IND,75.8,857.7,4.1,2.4,20.8,0.0,0.5,187.2
Jahan Dotson,WAS,59.0,829.1,5.8,2.4,8.3,0.1,0.2,177.7
JuJu Smith-Schuster,NE,72.5,802.5,3.9,0.2,1.0,0.1,0.7,175.0
George Pickens,PIT,56.3,836.7,5.1,2.8,18.0,0.4,0.2,174.1
Brandin Cooks,DAL,62.0,812.1,4.7,3.0,19.4,0.1,0.1,173.9
Jordan Addison,MIN,61.1,813.4,4.8,2.5,14.1,0.1,0.7,171.6
Michael Thomas,NO,67.2,769.3,4.5,0.3,1.2,0.0,0.2,171.3
Gabe Davis,BUF,51.3,819.6,6.4,0.1,0.7,0.0,0.4,171.0
Treylon Burks,TEN,58.0,796.3,4.0,6.9,52.9,0.1,0.2,167.0
Jaxon Smith-Njigba,SEA,59.1,792.0,4.6,1.2,8.6,0.0,0.7,165.3
Courtland Sutton,DEN,58.1,793.0,4.2,0.5,2.7,0.0,0.1,162.7
Jakobi Meyers,LV,62.5,749.3,3.9,1.1,3.8,0.0,0.7,159.9
Zay Flowers,BAL,53.7,733.2,4.8,2.1,14.5,0.1,0.7,156.1
Nico Collins,HOU,56.8,722.0,4.4,0.0,0.2,0.0,0.1,154.9
Rondale Moore,ARI,66.6,687.3,2.2,14.2,61.6,0.2,0.4,154.8
Tyler Boyd,CIN,58.2,713.7,3.9,1.5,9.0,0.0,0.2,153.6
Kadarius Toney,KC,51.8,590.4,4.1,10.2,102.3,1.3,0.6,152.1
Zay Jones,JAC,60.3,660.6,3.9,1.9,8.4,0.0,0.2,150.3
Odell Beckham Jr.,BAL,51.1,676.5,4.4,1.6,19.2,0.2,0.2,148.4
Adam Thielen,CAR,55.8,645.3,4.2,0.6,4.1,0.0,0.2,145.9
Allen Lazard,NYJ,50.7,646.1,4.5,2.1,12.6,0.0,0.1,143.5
Darnell Mooney,CHI,52.1,661.4,4.0,2.0,9.9,0.1,0.1,143.3
Michael Gallup,DAL,49.8,658.8,4.6,0.0,0.2,0.0,0.1,142.9
Quentin Johnston,LAC,48.9,696.5,3.9,2.5,14.0,0.1,0.7,142.8
Romeo Doubs,GB,54.5,641.3,4.1,0.6,6.3,0.0,0.7,142.3
Hunter Renfrow,LV,60.6,603.9,3.6,0.4,3.8,0.0,0.6,141.6
DJ Chark Jr.,CAR,46.2,719.0,3.9,0.1,1.4,0.0,0.1,141.3
