player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,80.0,837.4,7.0,1.0,215.1
Sam LaPorta,DET,81.0,839.0,6.6,1.0,212.2
Mark Andrews,BAL,65.0,819.2,7.0,1.0,195.3
Trey McBride,ARI,80.0,795.6,3.5,1.0,186.0
Dalton Kincaid,BUF,75.3,735.8,4.0,1.0,179.8
George Kittle,SF,61.0,845.0,4.7,1.0,177.8
Evan Engram,JAC,73.0,705.0,3.1,1.0,181.5
Kyle Pitts,ATL,59.9,822.4,4.2,1.0,175.0
Jake Ferguson,DAL,65.5,675.6,5.0,1.0,171.1
David Njoku,CLE,63.9,711.0,4.9,2.0,172.3
Brock Bowers,LV,56.7,650.1,3.7,2.0,149.9
Dallas Goedert,PHI,62.0,645.8,3.0,1.0,148.1
Dalton Schultz,HOU,53.3,539.2,4.2,1.0,136.2
Pat Freiermuth,PIT,54.0,586.5,3.9,1.0,140.2
T.J. Hockenson,MIN,49.0,436.1,2.8,1.0,119.6
Tyler Conklin,NYJ,47.7,460.1,2.8,0.3,115.4
Cole Kmet,CHI,37.8,367.6,2.7,1.0,102.2
Hunter Henry,NE,44.0,437.6,2.5,0.3,113.7
Cade Otton,TB,43.2,456.0,3.2,1.0,112.2
Luke Musgrave,GB,34.7,341.4,2.1,0.2,92.9
Chigoziem Okonkwo,TEN,41.0,417.0,2.0,1.0,105.2
Noah Fant,SEA,41.0,455.7,1.9,0.2,102.8
Juwan Johnson,NO,32.0,359.0,3.0,0.2,101.7
Taysom Hill,NO,22.0,226.0,2.0,0.7,96.4
Isaiah Likely,BAL,22.0,255.0,2.0,0.2,71.7
Hayden Hurst,LAC,28.0,288.0,2.0,0.3,88.5
Jonnu Smith,MIA,31.5,364.0,2.0,1.0,88.3
Mike Gesicki,CIN,26.0,285.0,2.0,0.2,82.9
Zach Ertz,WAS,32.0,305.0,2.0,0.2,81.7
Ben Sinnott,WAS,26.0,272.0,1.8,1.0,76.0
Tucker Kraft,GB,31.2,320.8,2.0,0.3,79.7
Greg Dulcich,DEN,29.2,329.6,1.4,0.2,74.8
Tyler Higbee,LAR,23.0,241.0,1.4,0.2,74.2
Gerald Everett,CHI,25.0,254.0,2.0,0.4,71.0
Dawson Knox,BUF,22.0,215.0,2.0,0.2,61.8
Colby Parkinson,LAR,16.0,179.0,2.0,0.2,51.7
Daniel Bellinger,NYG,21.9,179.6,0.9,0.2,55.6
Theo Johnson,NYG,22.0,217.0,2.0,1.0,66.0
Ja'Tavion Sanders,CAR,19.5,197.9,1.2,1.0,56.6
Michael Mayer,LV,24.2,242.0,1.4,0.2,63.7
Tommy Tremble,CAR,16.0,170.0,1.0,0.2,66.5
Kylen Granson,IND,17.0,173.0,1.0,0.2,65.0
Noah Gray,KC,4.5,45.2,0.4,0.2,29.2
Will Dissly,LAC,10.0,102.0,1.0,0.2,36.3
Mo Alie-Cox,IND,10.0,107.0,1.0,0.1,36.4
Robert Tonyan,MIN,12.0,114.0,1.0,0.0,30.1
Durham Smythe,MIA,4.3,40.0,0.2,0.1,25.0
Tanner Hudson,CIN,12.0,113.0,0.6,0.1,28.2
Austin Hooper,NE,11.0,109.0,0.6,0.1,35.8
Donald Parham Jr.,LAC,3.5,35.8,0.4,0.0,21.2
Adam Trautman,DEN,12.3,115.5,0.7,0.1,33.1
Brevin Jordan,HOU,8.2,86.4,0.6,0.1,26.8
Jaheim Bell,NE,10.0,91.0,1.0,0.0,26.5
Elijah Higgins,ARI,3.6,33.4,0.2,0.1,20.8
Brock Wright,DET,4.1,42.3,0.3,0.1,21.9
Jeremy Ruckert,NYJ,1.9,18.1,0.2,0.2,18.8
Josh Oliver,MIN,9.0,82.3,0.5,1.0,27.5
Jelani Woods,IND,2.1,21.5,0.2,0.1,16.8
Johnny Mundt,MIN,3.4,30.3,0.2,0.1,20.9
Logan Thomas,SF,14.0,143.0,1.0,0.0,48.3
Connor Heyward,PIT,3.4,31.0,0.0,0.1,19.9
Will Mallory,IND,11.0,108.0,0.8,0.0,28.8
Davis Allen,LAR,11.0,115.0,0.8,0.1,23.1
Dallin Holker,NO,13.0,135.0,1.0,0.0,45.5
Foster Moreau,NO,11.0,116.0,0.9,0.1,23.5
Josh Whyle,TEN,1.8,18.2,0.2,0.1,14.9
Jack Stoll,NYG,9.0,95.0,0.8,0.0,32.9
Pharaoh Brown,SEA,7.0,73.0,0.6,0.1,24.0
Devin Culp,TB,11.0,113.0,1.0,0.0,22.0
Tanner McLachlan,CIN,12.0,123.0,1.0,0.0,23.0
Peyton Hendershot,DAL,8.3,84.7,0.8,0.1,24.9
Ian Thomas,CAR,6.0,66.0,0.0,0.1,23.6
AJ Barner,SEA,9.8,97.4,0.7,0.1,21.6
Darnell Washington,PIT,6.8,63.2,0.5,0.1,21.2
Luke Schoonmaker,DAL,8.0,87.0,1.0,0.1,29.2
Brayden Willis,SF,10.0,121.0,1.0,0.0,21.0
Cameron Latu,SF,10.0,88.0,1.0,0.0,22.5
Drew Ogletree,IND,3.6,36.2,0.3,0.1,15.3
John FitzPatrick,ATL,10.0,117.0,1.0,0.0,20.0
Irv Smith Jr.,KC,8.0,72.3,0.9,0.1,21.4
Travis Vokolek,ARI,11.0,102.0,1.0,0.0,21.0
Jordan Akins,CLE,7.5,75.3,0.5,0.1,20.4
Erick All Jr.,CIN,8.6,83.9,0.6,0.1,21.3
Stone Smartt,LAC,8.0,78.2,0.5,0.1,20.2
Cade Stover,HOU,3.8,38.2,0.3,0.0,15.6
Brenton Strange,JAC,2.0,18.1,0.2,0.1,12.3
Tip Reiman,ARI,7.6,74.6,0.4,0.1,20.1
Drew Sample,CIN,4.3,34.7,0.3,0.1,15.9
Jared Wiley,KC,3.9,39.5,0.4,0.0,15.8
Lucas Krull,DEN,7.0,64.6,0.4,0.1,18.5
Payne Durham,TB,1.9,18.9,0.2,0.1,11.9
Teagan Quitoriano,HOU,2.0,22.3,0.2,0.0,9.7
Quintin Morris,BUF,2.1,21.5,0.2,0.0,10.2
James Mitchell,DET,4.1,42.7,0.3,0.0,14.2
MyCole Pruitt,PIT,3.4,33.3,0.3,0.0,11.2
Miller Forristall,LAR,7.6,78.5,0.6,0.0,19.2
Harrison Bryant,LV,3.5,31.1,0.3,0.0,12.3
Eric Saubert,SF,7.0,47.0,0.0,0.0,18.5
Ben Sims,GB,2.0,20.0,0.2,0.0,9.5
Ross Dwelley,ATL,4.0,40.3,0.3,0.0,11.9
Luke Farrell,JAC,2.1,18.8,0.2,0.1,10.0
John Bates,WAS,4.0,38.7,0.0,0.1,13.3
Armani Rogers,PHI,2.0,19.9,0.2,0.0,9.2
Nick Vannett,TEN,3.5,35.7,0.2,0.0,11.1
Cole Turner,WAS,2.0,19.6,0.2,0.0,8.6
Lawrence Cager,NYG,7.6,66.4,0.4,0.0,16.4
Charlie Woerner,ATL,4.2,42.1,0.0,0.1,14.3
Albert Okwuegbunam Jr.,PHI,1.9,17.9,0.2,0.0,9.0
Josiah Deguara,JAC,4.2,36.6,0.0,0.0,12.3
Cole Fotheringham,LV,1.7,16.8,0.2,0.0,8.2
Hunter Long,LAR,1.9,19.6,0.2,0.0,8.4
Ko Kieft,TB,3.8,37.2,0.3,0.1,11.0
Charlie Kolar,BAL,2.2,22.6,0.0,0.0,8.6
Grant Calcaterra,PHI,3.7,36.1,0.3,0.1,10.5
John Stephens Jr.,DAL,4.0,41.0,0.3,0.0,10.1
Kenny Yeboah,NYJ,3.9,37.1,0.3,0.0,9.2
Anthony Firkser,NYJ,3.9,37.0,0.3,0.0,9.1
Mitchell Wilcox,NE,1.8,17.5,0.0,0.0,5.7
Dalton Keene,HOU,2.0,21.2,0.2,0.0,5.1
Tre' McKitty,BUF,2.1,20.4,0.2,0.0,5.1
Jody Fortson Jr.,MIA,2.1,19.7,0.2,0.0,4.9
Tyler Davis,GB,2.0,19.9,0.2,0.0,5.0
Shane Zylstra,DET,2.0,20.0,0.2,0.0,5.0
Julian Hill,MIA,2.1,19.2,0.2,0.0,4.8
Tommy Hudson,NO,2.0,19.6,0.2,0.0,4.8
Brady Russell,SEA,2.0,19.0,0.2,0.0,4.7
Zack Kuntz,NYJ,1.9,18.3,0.2,0.0,4.5
Eric Tomlinson,IND,1.8,17.6,0.2,0.0,4.4
Zach Gentry,LV,1.7,15.9,0.2,0.0,4.0
Nate Adkins,DEN,1.7,15.9,0.2,0.0,4.0
Rodney Williams,PIT,1.7,15.8,0.2,0.0,4.0
Chris Manhertz,NYG,1.9,16.8,0.1,0.0,4.1
