player,team,fgm,fga,xpm,fp_projection
Harrison Butker,KC,1.9,2.1,3.0,9.7
Wil Lutz,NO,1.9,2.2,3.0,9.8
Justin Tucker,BAL,1.9,2.0,3.8,9.9
Robbie Gould,SF,1.9,2.2,3.0,8.5
Nick Folk,NE,1.7,2.1,2.7,8.2
Greg Zuerlein,DAL,1.9,2.3,2.5,8.4
Jason Myers,SEA,1.8,2.2,2.9,8.5
Dan Bailey,MIN,1.9,2.2,2.7,9.3
Chris Boswell,PIT,1.9,2.3,2.7,9.4
Jake Elliott,PHI,1.8,2.1,2.3,8.7
Matt Prater,DET,2.0,2.7,2.2,8.7
Mason Crosby,GB,1.8,2.1,2.5,8.8
Michael Badgley,LAC,1.9,2.4,3.0,8.4
Younghoe Koo,ATL,1.6,1.8,2.8,8.4
Joey Slye,CAR,1.8,2.0,2.3,8.3
Daniel Carlson,LV,1.6,2.2,2.6,7.4
Randy Bullock,CIN,1.9,1.9,2.0,7.6
Brandon McManus,DEN,1.8,2.4,2.1,8.2
Stephen Gostkowski,TEN,1.7,2.0,2.7,7.6
Rodrigo Blankenship,IND,1.8,2.1,2.3,8.6
Tyler Bass,BUF,1.7,2.1,2.3,8.0
Sam Sloman,LAR,1.6,2.0,2.6,7.8
Josh Lambo,JAC,1.8,2.1,2.1,8.2
Austin Seibert,CLE,1.8,2.2,1.9,7.7
Eddy Pineiro,CHI,1.6,2.0,2.5,8.0
Ryan Succop,TB,1.7,2.3,2.4,7.6
Ka'imi Fairbairn,HOU,1.8,2.1,2.1,7.5
Jason Sanders,MIA,1.6,1.9,2.2,7.1
Zane Gonzalez,ARI,1.8,2.2,2.2,7.4
Graham Gano,NYG,1.7,2.0,2.6,7.2
Chase McLaughlin,MIN,1.4,1.7,2.1,0.0
Dustin Hopkins,WAS,1.6,1.8,1.8,7.5
Sam Ficken,NYJ,1.5,1.8,2.0,6.5
Justin Rohrwasser,NE,1.3,1.5,2.1,0.0
Cairo Santos,CHI,0.0,0.0,0.0,0.0
Greg Joseph,TB,0.0,0.0,0.0,0.0
