player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection
CeeDee Lamb,DAL,120.5,1590.0,10.8,12.6,85.7,1.0,1.0,442.0
Tyreek Hill,MIA,116.9,1598.0,11.0,6.6,39.6,0.3,0.9,437.6
Ja'Marr Chase,CIN,116.5,1437.7,10.2,4.4,24.7,0.2,0.0,396.0
Amon-Ra St. Brown,DET,115.2,1475.5,10.0,6.0,43.0,0.3,0.8,394.1
Justin Jefferson,MIN,112.8,1518.0,9.3,3.0,12.0,0.1,0.9,393.6
A.J. Brown,PHI,98.7,1365.0,9.0,0.0,6.0,0.0,1.0,364.2
Puka Nacua,LAR,101.8,1448.0,8.0,12.4,77.4,0.7,0.0,358.5
Garrett Wilson,NYJ,105.5,1256.0,9.1,7.1,40.4,0.2,0.9,368.9
Chris Olave,NO,95.3,1262.2,7.0,0.0,5.0,0.0,0.0,329.9
Marvin Harrison Jr.,ARI,97.3,1299.0,8.0,2.0,11.0,0.0,0.5,324.2
Davante Adams,LV,104.0,1213.0,8.0,0.0,5.0,0.0,0.0,327.3
Drake London,ATL,98.7,1241.0,8.3,0.0,11.0,0.0,0.8,327.0
Nico Collins,HOU,84.5,1269.4,9.0,4.4,25.0,0.2,0.0,309.5
Mike Evans,TB,80.0,1154.0,10.0,0.0,5.0,0.0,0.0,305.8
Cooper Kupp,LAR,94.0,1141.9,8.0,4.6,26.3,0.2,0.0,321.5
DeVonta Smith,PHI,88.0,1127.0,9.0,0.0,6.0,0.0,0.7,312.5
Michael Pittman Jr.,IND,100.9,1088.0,6.2,1.0,10.0,0.0,1.0,311.5
Deebo Samuel Sr.,SF,74.8,985.0,6.9,43.0,238.0,4.0,0.9,295.3
Jaylen Waddle,MIA,89.2,1211.3,6.0,4.4,25.6,0.2,0.0,313.4
DK Metcalf,SEA,79.0,1098.1,10.0,0.0,5.0,0.0,0.0,300.1
Brandon Aiyuk,SF,79.0,1201.0,8.0,2.0,11.0,0.0,0.7,302.0
Stefon Diggs,HOU,86.6,1040.4,7.3,4.4,24.9,0.2,1.0,311.1
DJ Moore,CHI,83.4,1107.3,9.0,5.0,25.0,1.0,0.7,300.4
Malik Nabers,NYG,91.1,1109.7,6.0,2.0,15.0,0.0,0.5,295.2
Amari Cooper,CLE,75.0,1245.0,7.0,0.0,5.0,0.0,0.7,298.9
Zay Flowers,BAL,82.0,1007.8,7.0,9.1,55.4,1.0,0.9,292.7
George Pickens,PIT,79.0,1153.0,8.0,4.5,28.5,0.2,0.8,283.9
Chris Godwin,TB,87.0,1038.0,5.9,4.0,27.0,1.0,0.0,298.7
Tee Higgins,CIN,78.9,1068.5,9.0,0.0,5.0,0.0,0.0,287.5
Christian Kirk,JAC,87.2,1066.0,6.0,2.0,11.9,0.1,1.0,298.2
Rashee Rice,KC,85.0,1024.8,8.0,2.3,12.9,0.1,0.9,289.7
Tank Dell,HOU,78.0,1019.9,10.0,16.0,92.9,0.6,0.0,287.3
Calvin Ridley,TEN,75.0,1024.0,9.0,8.0,34.0,0.1,0.0,277.7
Terry McLaurin,WAS,83.8,1089.4,5.0,1.0,6.0,0.0,0.0,280.0
Keenan Allen,CHI,86.2,984.1,6.0,2.1,12.4,0.1,0.9,291.7
Diontae Johnson,CAR,78.0,990.5,8.0,2.1,13.0,0.1,0.0,255.8
Jayden Reed,GB,71.0,886.0,8.0,12.3,105.0,3.0,0.0,265.4
DeAndre Hopkins,TEN,68.8,942.2,9.0,1.0,8.0,0.0,0.0,234.8
Jaxon Smith-Njigba,SEA,76.0,889.7,6.0,0.0,10.0,0.0,0.0,243.0
Jordan Addison,MIN,70.1,961.0,7.0,1.0,18.0,0.0,0.0,265.1
Courtland Sutton,DEN,71.1,899.2,9.0,0.0,5.0,0.0,0.8,239.9
Rome Odunze,CHI,71.0,961.0,6.2,2.1,12.9,0.1,0.4,264.0
Ladd McConkey,LAC,73.3,890.5,6.0,2.2,13.7,0.1,0.0,245.1
Christian Watson,GB,56.7,843.6,10.0,6.2,38.1,1.0,0.0,223.5
Xavier Worthy,KC,64.0,929.0,6.3,5.7,35.2,0.3,0.0,244.6
Brian Thomas Jr.,JAC,68.5,885.0,5.2,2.0,15.0,0.0,0.4,232.1
Jerry Jeudy,CLE,63.5,920.1,5.0,1.0,13.0,0.0,0.0,228.0
Hollywood Brown,KC,65.6,832.4,8.0,2.0,19.0,0.1,0.0,228.4
Tyler Lockett,SEA,69.3,781.0,6.0,0.0,5.0,0.0,0.0,234.8
