player,team,defense_sk,defense_int,defense_frec,defense_ffum,defense_td,defense_safe,defense_pa,defense_lost_yds,fp_projection
Chicago Bears,,39.2,15.4,10.2,16.7,1.6,0.6,301.1,5248.0,108.5
Los Angeles Rams,,39.7,14.4,9.0,13.8,1.6,0.6,331.3,5868.2,105.5
Baltimore Ravens,,31.8,14.8,7.8,12.0,1.6,0.0,295.0,5639.1,93.9
Cleveland Browns,,39.1,14.2,9.3,14.4,1.6,0.0,337.1,6259.2,101.4
New Orleans Saints,,38.9,13.6,9.0,15.2,1.6,0.6,310.8,5865.6,105.6
Philadelphia Eagles,,39.2,11.4,8.9,13.7,1.6,0.6,324.8,5649.6,102.5
Los Angeles Chargers,,37.4,12.0,6.8,10.5,1.6,0.6,321.2,5631.9,99.8
Minnesota Vikings,,40.1,11.9,6.9,10.7,1.6,0.5,326.2,5404.2,95.0
Pittsburgh Steelers,,41.7,11.0,8.2,12.6,1.6,0.0,314.3,5675.2,102.3
New England Patriots,,35.0,15.0,7.5,11.6,1.6,0.5,300.1,5703.6,99.1
Jacksonville Jaguars,,36.1,11.3,6.6,10.1,1.6,0.6,313.5,5261.5,95.1
Carolina Panthers,,35.0,11.8,10.0,15.4,1.6,0.6,366.0,5870.0,98.0
Indianapolis Colts,,35.0,12.0,9.8,15.4,1.6,0.6,333.7,5871.2,100.3
Buffalo Bills,,30.8,14.8,9.9,15.3,1.6,0.0,327.8,5486.2,95.4
Denver Broncos,,39.1,11.5,8.6,13.3,1.6,0.5,341.5,5851.2,96.5
Houston Texans,,31.2,11.4,10.0,15.4,1.6,0.0,304.0,5726.4,89.7
Kansas City Chiefs,,32.7,12.0,8.2,12.6,1.0,0.7,330.7,6019.2,97.9
Arizona Cardinals,,39.0,10.0,8.0,15.3,1.6,0.5,376.8,5922.1,90.0
Seattle Seahawks,,35.6,12.2,7.7,11.9,1.6,0.0,329.6,5954.9,92.6
Washington Redskins,,39.0,10.0,8.8,13.8,0.0,0.0,363.9,5779.2,83.0
Dallas Cowboys,,35.0,10.5,8.6,13.2,1.6,0.0,339.0,5716.1,90.0
Tennessee Titans,,35.2,12.0,8.0,13.0,1.6,0.0,323.0,5752.0,92.0
Atlanta Falcons,,33.0,11.0,9.0,14.3,1.6,0.5,370.0,6370.1,81.6
New York Jets,,33.0,12.0,8.0,12.4,1.6,0.5,352.4,5996.8,91.2
Green Bay Packers,,31.4,10.0,5.9,9.1,1.5,0.0,360.9,6030.9,86.5
New York Giants,,31.0,10.2,6.8,10.4,1.0,0.6,354.1,6120.0,81.0
San Francisco 49ers,,32.3,9.0,9.2,14.2,1.6,0.0,376.4,6017.5,86.5
Detroit Lions,,34.1,9.0,7.5,11.6,1.6,0.5,355.3,5994.8,89.1
Cincinnati Bengals,,32.0,13.0,5.0,10.2,1.6,0.0,366.2,6034.8,80.0
Tampa Bay Buccaneers,,30.6,9.6,7.5,11.5,1.7,0.6,374.2,6270.5,68.3
Miami Dolphins,,19.8,12.0,6.0,9.3,1.6,0.6,392.1,6222.4,78.0
Oakland Raiders,,24.7,10.6,6.2,9.5,1.0,0.0,395.6,6235.4,66.9
