player,team,fgm,fga,xpm,fp_projection
Justin Tucker,BAL,25.8,31.0,36.9,117.1
Harrison Butker,KC,26.0,29.0,40.3,118.1
Daniel Carlson,LV,24.2,33.1,33.0,111.3
Matt Gay,LAR,24.0,32.0,34.3,111.9
Ryan Succop,TB,24.8,30.0,42.8,122.6
Tyler Bass,BUF,23.0,31.4,36.3,105.4
Greg Joseph,MIN,27.7,32.7,27.5,111.0
Matt Prater,ARI,25.0,31.0,42.4,118.9
Mason Crosby,GB,24.0,30.0,42.5,116.0
Evan McPherson,CIN,25.1,32.0,29.8,105.1
Nick Folk,NE,23.5,32.9,35.0,108.7
Rodrigo Blankenship,IND,25.3,31.8,28.3,104.1
Robbie Gould,SF,23.0,27.0,35.0,111.0
Brandon McManus,DEN,23.7,32.0,34.7,110.4
Dustin Hopkins,LAC,25.0,29.9,28.2,103.6
Chris Boswell,PIT,25.0,32.4,27.8,114.6
Randy Bullock,TEN,23.0,28.0,38.0,107.0
Younghoe Koo,ATL,24.0,30.0,26.9,113.3
Jake Elliott,PHI,27.4,31.0,3.7,85.9
Wil Lutz,NO,25.0,30.0,30.5,111.7
Jason Sanders,MIA,22.2,26.7,32.3,103.9
Graham Gano,NYG,24.5,31.0,26.6,101.3
Cairo Santos,CHI,23.6,30.0,28.6,106.0
Austin Seibert,DET,23.0,27.0,30.1,103.0
Joey Slye,WAS,24.0,30.0,28.0,104.5
Cade York,CLE,21.0,25.0,31.4,99.0
Zane Gonzalez,CAR,24.0,28.0,26.0,105.0
Eddy Pineiro,NYJ,24.0,28.0,35.0,107.0
Jason Myers,SEA,18.0,23.0,29.0,83.0
Ka'imi Fairbairn,HOU,22.0,26.0,26.0,92.0
Greg Zuerlein,NYJ,22.0,27.0,29.0,95.0
Ryan Santoso,JAC,21.0,26.0,19.8,90.4
Riley Patterson,DET,21.9,0.0,30.2,95.8
Brett Maher,DAL,1.7,28.0,3.1,8.1
Lirim Hajrullahu,DAL,0.0,0.0,0.0,0.0
