player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,6.2,77.8,0.5,0.0,17.2
George Kittle,SF,5.9,71.3,0.5,0.0,16.0
Zach Ertz,PHI,5.8,61.6,0.4,0.0,14.1
Mark Andrews,BAL,4.2,56.7,0.5,0.0,12.6
Tyler Higbee,LAR,5.1,55.9,0.3,0.0,12.4
Darren Waller,LV,4.8,57.8,0.2,0.0,12.0
Hunter Henry,LAC,4.1,50.4,0.3,0.0,11.0
Evan Engram,NYG,4.4,50.8,0.2,0.0,10.9
Jared Cook,NO,3.7,49.3,0.2,0.0,10.1
Mike Gesicki,MIA,4.1,43.9,0.2,0.1,9.5
Dallas Goedert,PHI,4.1,42.8,0.2,0.1,9.4
Hayden Hurst,ATL,3.8,43.2,0.2,0.0,9.2
Austin Hooper,CLE,3.8,42.2,0.2,0.0,9.0
T.J. Hockenson,DET,3.7,41.7,0.2,0.0,8.8
Noah Fant,DEN,3.5,44.0,0.2,0.1,8.8
Rob Gronkowski,TB,3.2,43.2,0.2,0.0,8.5
Jack Doyle,IND,3.7,36.5,0.2,0.0,8.3
Ian Thomas,CAR,3.6,35.2,0.2,0.0,8.2
Chris Herndon IV,NYJ,3.2,38.4,0.2,0.0,8.0
Jonnu Smith,TEN,3.4,38.2,0.1,0.0,8.0
Blake Jarwin,DAL,3.3,37.4,0.1,0.0,7.9
Greg Olsen,SEA,2.9,34.9,0.2,0.0,7.4
Eric Ebron,PIT,3.0,35.1,0.1,0.0,7.4
Kyle Rudolph,MIN,3.0,30.7,0.2,0.0,7.1
Tyler Eifert,JAC,2.6,32.0,0.1,0.0,6.6
Irv Smith Jr.,MIN,3.0,28.4,0.1,0.0,6.4
Jimmy Graham,CHI,2.4,26.9,0.1,0.0,5.7
Dawson Knox,BUF,2.1,27.3,0.1,0.0,5.5
C.J. Uzomah,CIN,2.5,23.1,0.1,0.0,5.5
O.J. Howard,TB,2.0,28.6,0.1,0.0,5.4
Darren Fells,HOU,2.3,22.7,0.1,0.0,5.3
Devin Asiasi,NE,2.1,22.7,0.1,0.0,5.1
Will Dissly,SEA,2.1,22.9,0.1,0.0,4.9
David Njoku,CLE,1.9,21.9,0.1,0.0,4.6
Vance McDonald,PIT,2.0,18.8,0.1,0.0,4.5
Logan Thomas,WAS,1.9,20.4,0.1,0.0,4.5
Nick Boyle,BAL,2.0,18.2,0.1,0.0,4.4
Gerald Everett,LAR,1.7,19.1,0.1,0.0,4.3
Jason Witten,LV,2.0,18.3,0.1,0.0,4.2
Dan Arnold,ARI,1.6,19.3,0.1,0.0,4.2
Jordan Akins,HOU,1.8,19.7,0.1,0.0,4.2
Robert Tonyan,GB,1.7,18.8,0.1,0.0,4.1
Jordan Reed,SF,1.7,18.0,0.1,0.0,4.1
Jace Sternberger,GB,1.7,17.9,0.1,0.0,4.0
Cole Kmet,CHI,1.4,15.0,0.1,0.0,3.2
Cameron Brate,TB,1.3,14.1,0.1,0.0,3.1
