player,team,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles_lost,fp_projection

Antonio Brown,PIT,105.3,1474.0,10.1,0.3,1.9,0.0,0.3,260.5
DeAndre Hopkins,HOU,94.5,1322.3,9.6,0.0,0.0,0.0,0.6,236.0
Julio Jones,ATL,93.7,1435.7,7.0,0.9,8.4,0.0,0.4,232.6
Odell Beckham Jr.,NYG,97.2,1252.4,8.3,2.3,16.4,0.0,0.6,224.0
Michael Thomas,NO,99.3,1248.7,7.6,0.2,0.8,0.0,0.4,219.4
Keenan Allen,LAC,95.9,1271.3,7.1,1.2,5.6,0.0,0.4,217.6
Davante Adams,GB,85.4,1075.7,9.1,0.0,0.0,0.0,0.3,203.9
A.J. Green,CIN,85.4,1180.4,7.4,0.0,0.0,0.0,1.2,202.6
Mike Evans,TB,81.6,1128.6,6.9,0.0,0.0,0.0,0.3,194.4
Tyreek Hill,KC,76.1,1015.3,6.4,16.4,100.3,0.8,0.4,191.5
Stefon Diggs,MIN,78.9,1018.2,6.7,5.8,26.1,0.1,0.4,183.6
T.Y. Hilton,IND,72.3,1083.5,6.4,0.0,0.5,0.0,0.7,181.4
Amari Cooper,OAK,78.1,1032.8,6.5,0.9,6.0,0.0,0.4,181.3
Doug Baldwin,SEA,77.1,1001.7,7.0,2.0,5.6,0.0,0.3,180.9
Larry Fitzgerald,ARI,96.3,1009.7,5.5,0.0,0.1,0.0,0.8,180.6
Adam Thielen,MIN,80.8,1068.6,5.5,1.2,7.4,0.0,1.2,178.9
Demaryius Thomas,DEN,82.5,982.8,5.9,0.0,0.0,0.0,0.8,173.4
Golden Tate,DET,89.6,982.8,4.9,5.1,20.2,0.0,0.8,173.4
JuJu Smith-Schuster,PIT,66.0,926.8,7.1,0.2,2.0,0.0,0.3,167.9
Jarvis Landry,CLE,87.5,937.1,5.3,1.1,4.4,0.0,1.5,166.7
Allen Robinson,CHI,69.3,952.2,5.8,0.2,0.8,0.0,0.3,164.3
Marvin Jones,DET,61.2,938.3,6.6,0.0,0.5,0.0,0.3,163.5
Brandin Cooks,LAR,61.1,889.2,6.0,6.9,36.4,0.3,0.4,159.8
Josh Gordon,CLE,62.5,952.2,5.4,0.6,3.0,0.0,0.4,158.3
Michael Crabtree,BAL,74.1,832.9,6.0,0.0,0.1,0.0,0.3,155.6
Marquise Goodwin,SF,59.6,920.4,5.2,3.4,25.8,0.0,0.4,155.1
Chris Hogan,NE,60.0,839.1,6.4,2.8,14.9,0.0,0.4,153.3
