player,team,rec,rec_yds,rec_td,fumbles_lost,fp_projection
Travis Kelce,KC,95.0,1220.0,8.0,1.0,282.3
Darren Waller,LV,94.0,1064.6,7.0,1.0,249.9
George Kittle,SF,82.4,1006.5,5.7,1.0,230.2
Mark Andrews,BAL,66.0,816.0,6.1,1.0,190.5
T.J. Hockenson,DET,68.0,787.0,5.0,1.0,184.4
Logan Thomas,WAS,55.0,558.0,5.0,1.0,153.1
Kyle Pitts,ATL,26.2,225.0,1.6,2.0,93.2
Noah Fant,DEN,59.0,655.0,4.0,1.0,154.2
Tyler Higbee,LAR,52.2,591.4,4.1,1.0,146.0
Robert Tonyan,GB,46.0,488.0,5.7,0.3,149.3
Dallas Goedert,PHI,51.1,641.1,4.0,1.0,149.1
Mike Gesicki,MIA,51.0,608.1,4.8,1.0,144.9
Jared Cook,LAC,40.2,492.5,4.2,1.0,123.6
Eric Ebron,PIT,45.9,465.3,4.0,1.0,127.9
Jonnu Smith,NE,47.2,464.1,4.0,1.0,128.2
Evan Engram,NYG,53.4,543.3,3.0,1.0,134.0
Austin Hooper,CLE,48.0,466.0,3.9,1.0,122.8
Anthony Firkser,TEN,44.0,515.0,3.0,0.2,122.6
Rob Gronkowski,TB,37.8,463.0,5.0,0.3,120.4
Blake Jarwin,DAL,30.9,351.8,1.8,1.0,92.8
Hunter Henry,NE,24.9,269.5,1.7,1.0,83.8
Jordan Akins,HOU,39.8,427.6,2.0,0.2,102.1
Cole Kmet,CHI,38.0,377.0,2.0,2.0,98.1
Zach Ertz,PHI,24.9,354.6,1.6,1.0,90.3
Dawson Knox,BUF,33.0,378.5,3.0,1.0,97.7
Hayden Hurst,ATL,29.0,306.0,2.0,0.1,85.1
Gerald Everett,SEA,28.6,278.7,1.6,1.0,79.2
Adam Trautman,NO,22.5,243.6,1.3,1.0,68.2
C.J. Uzomah,CIN,23.9,233.5,2.0,0.2,71.6
Jack Doyle,IND,26.9,274.4,2.6,0.3,76.9
Tommy Hudson,TEN,34.9,361.5,2.5,0.0,86.4
Tyler Conklin,MIN,25.0,267.0,2.0,0.2,72.5
Dan Arnold,CAR,23.6,250.4,1.0,1.0,65.0
Donald Parham Jr.,LAC,23.0,287.0,2.0,0.2,68.7
Ryan Izzo,NYG,25.0,417.0,2.0,1.0,78.7
O.J. Howard,TB,9.8,105.3,1.0,1.0,43.3
Mo Alie-Cox,IND,22.4,258.9,1.9,1.0,65.9
Juwan Johnson,NO,23.2,267.8,1.9,0.2,67.2
Will Dissly,SEA,14.6,161.5,1.6,0.2,53.4
Albert Okwuegbunam,DEN,8.5,82.4,0.6,0.1,38.6
Chris Herndon IV,MIN,19.0,189.0,1.0,3.0,53.5
Dalton Schultz,DAL,8.7,90.5,0.7,0.2,40.8
Jimmy Graham,CHI,21.0,216.0,2.1,0.2,60.5
Jacob Hollister,JAC,10.3,95.3,0.8,1.0,43.7
David Njoku,CLE,13.9,157.6,1.5,0.1,47.7
Stephen Carlson,CLE,20.0,218.0,3.0,0.0,59.8
Geoff Swaim,TEN,15.7,136.5,1.4,0.1,46.3
Drew Sample,CIN,17.0,161.2,1.0,1.0,48.1
Nick Boyle,BAL,14.1,124.2,1.3,0.1,43.0
Darren Fells,DET,17.4,181.3,1.0,0.1,48.8
James O'Shaughnessy,JAC,19.0,185.0,0.0,0.1,43.0
Maxx Williams,ARI,16.0,192.0,1.4,0.2,51.9
Tyler Kroft,NYJ,0.9,8.0,0.0,0.1,22.0
Brevin Jordan,HOU,18.0,187.3,1.0,1.0,47.0
Kyle Rudolph,NYG,8.0,73.0,0.6,0.1,32.8
Cameron Brate,TB,8.7,91.8,0.9,0.1,35.1
Pat Freiermuth,PIT,4.5,43.6,0.4,1.0,28.6
Pharaoh Brown,HOU,8.0,86.1,0.6,0.1,31.0
Harrison Bryant,CLE,13.0,136.7,0.0,2.0,32.8
Hunter Long,MIA,8.2,84.0,0.5,1.0,30.0
Foster Moreau,LV,12.0,134.6,1.2,0.1,34.2
Kylen Granson,IND,17.0,177.0,1.0,0.1,40.9
Ian Thomas,CAR,1.8,14.7,0.2,0.1,20.7
Hunter Bryant,DET,12.0,159.0,1.0,0.0,37.6
Chris Manhertz,JAC,2.9,30.6,0.2,0.1,20.9
Adam Shaheen,MIA,13.0,112.9,1.0,1.0,33.3
Noah Gray,KC,4.2,42.1,0.4,1.0,20.7
Matt Sokol,JAC,13.0,140.0,1.0,0.0,33.0
Luke Farrell,JAC,7.7,77.5,0.4,1.0,25.1
Marcedes Lewis,GB,6.3,67.9,0.6,0.0,22.0
Thaddeus Moss,CIN,13.0,121.0,1.0,0.0,31.1
Kahale Warring,BUF,12.0,129.0,1.0,0.0,30.9
Reggie Gilliam,BUF,11.0,77.0,2.0,0.0,30.7
Durham Smythe,MIA,0.9,6.8,0.0,0.1,14.3
Brycen Hopkins,LAR,8.0,82.0,0.0,0.1,20.7
Jacob Harris,LAR,8.3,85.2,0.6,0.1,22.4
Darrell Daniels,ARI,7.8,79.8,0.7,0.1,23.3
Ross Dwelley,SF,7.1,75.8,0.6,0.1,22.5
John Bates,WAS,7.8,82.4,0.5,1.0,23.6
Devin Asiasi,NE,0.7,6.8,0.0,1.0,11.5
Ryan Griffin,NYJ,0.6,5.8,0.1,0.0,11.0
Derek Carrier,LV,1.0,9.9,0.1,0.0,11.1
Jace Sternberger,GB,0.7,7.3,0.0,0.0,10.8
Blake Bell,KC,0.9,8.9,0.1,0.1,11.4
Tommy Sweeney,BUF,0.8,8.7,0.1,0.1,10.2
Tommy Tremble,CAR,3.0,33.0,0.0,1.0,11.9
Tre' McKitty,LAC,4.1,39.7,0.0,0.0,13.2
Antony Auclair,HOU,4.0,40.6,0.3,0.0,12.0
Jeremy Sprinkle,DAL,0.9,8.9,0.0,0.0,8.3
J.P. Holtz,CHI,0.8,8.3,0.0,0.0,7.2
Daniel Brown,NYJ,0.9,8.1,0.0,0.0,6.7
Zach Gentry,PIT,0.9,8.7,0.0,0.0,7.5
Charlie Woerner,SF,0.7,7.9,0.0,0.0,6.6
Josh Oliver,BAL,3.8,37.4,0.4,0.1,11.6
Stephen Anderson,LAC,0.8,9.1,0.1,0.0,6.7
Jesse James,CHI,1.4,14.8,0.2,0.0,8.3
Nick Vannett,NO,3.9,44.0,0.4,0.0,11.8
Brandon Dillon,MIN,3.7,40.9,0.4,0.0,10.5
Josiah Deguara,GB,0.8,8.3,0.0,0.1,5.7
Johnny Mundt,LAR,4.3,46.4,0.3,0.0,10.7
Demetrius Harris,ARI,3.6,38.6,0.4,0.0,10.2
Jordan Franks,CLE,3.7,41.0,0.4,0.0,9.8
